asset,timeframe,transition_count,top_pair,pressure_delta,sharpness_delta,rekopplung_delta
DOGE,2024_5M_10K,386,dio_mcm_episode_0mji3u6->dio_mcm_episode_0e7qvj1 (28/386),0.007168,-0.020745,-0.005760
DOGE,2025_5M_10K,390,dio_mcm_episode_0e7qvj1->dio_mcm_episode_1jwnjz4 (15/390),0.006332,0.006811,-0.004348
