world,source,rekopplung_factor,candles,unique_symbols,episodes,dominant_effect_class,dominant_episode_state,unique_episode_families,top_family_count,avg_mcm_carry_quality,avg_mcm_strain_quality,avg_mcm_rekopplung_quality,avg_mcm_adaptive_rekopplung_quality,avg_mcm_sensory_coupling,avg_mini_afterimage,avg_mini_temporal_trust_support,avg_mini_temporal_caution_support
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,1.0,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.707487,0.742768,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.5,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.353743,0.744165,0.842395,0.659037,0.819309,0.179513
BTC_2025_5M_10K,data/kontrolliert_btc_2025_5m_10k_BTCUSDT.csv,0.3,10000,677,9994,stabil,-,674,665,0.552888,0.1698,0.212246,0.744615,0.842395,0.659037,0.819309,0.179513
DOGE_2025_5M_10K,data/kontrolliert_doge_2025_5m_10k_DOGEUSDT.csv,1.0,10000,673,9994,stabil,-,670,710,0.552619,0.17057,0.706893,0.741448,0.841279,0.658525,0.819327,0.178891
DOGE_2025_5M_10K,data/kontrolliert_doge_2025_5m_10k_DOGEUSDT.csv,0.5,10000,673,9994,stabil,-,670,710,0.552619,0.17057,0.353446,0.735037,0.841279,0.658525,0.819327,0.178891
DOGE_2025_5M_10K,data/kontrolliert_doge_2025_5m_10k_DOGEUSDT.csv,0.3,10000,673,9994,stabil,-,670,710,0.552619,0.17057,0.212068,0.738864,0.841279,0.658525,0.819327,0.178891
NULL_RANDOM_2400,data/synthetic_1527_null_random_sign_2400_5m.csv,1.0,2400,221,2394,stabil,-,221,205,0.543672,0.152092,0.712321,0.717427,0.855439,0.51122,0.750814,0.168385
NULL_RANDOM_2400,data/synthetic_1527_null_random_sign_2400_5m.csv,0.5,2400,221,2394,stabil,-,221,205,0.543672,0.152092,0.356161,0.656495,0.855439,0.51122,0.750814,0.168385
NULL_RANDOM_2400,data/synthetic_1527_null_random_sign_2400_5m.csv,0.3,2400,221,2394,stabil,-,221,205,0.543672,0.152092,0.213696,0.640276,0.855439,0.51122,0.750814,0.168385
NULL_SHUFFLE_2400,data/synthetic_1526_null_shuffle_order_2400_5m.csv,1.0,2400,224,2394,stabil,-,222,140,0.534597,0.165282,0.7028,0.707808,0.844419,0.510674,0.744528,0.191694
NULL_SHUFFLE_2400,data/synthetic_1526_null_shuffle_order_2400_5m.csv,0.5,2400,224,2394,stabil,-,222,140,0.534597,0.165282,0.3514,0.635303,0.844419,0.510674,0.744528,0.191694
NULL_SHUFFLE_2400,data/synthetic_1526_null_shuffle_order_2400_5m.csv,0.3,2400,224,2394,stabil,-,222,140,0.534597,0.165282,0.21084,0.723943,0.844419,0.510674,0.744528,0.191694
PAXG_2025_5M_10K,data/kontrolliert_paxg_2025_5m_10k_PAXGUSDT.csv,1.0,10000,577,9994,stabil,-,573,725,0.558251,0.165142,0.717131,0.753144,0.853071,0.683773,0.837645,0.16614
PAXG_2025_5M_10K,data/kontrolliert_paxg_2025_5m_10k_PAXGUSDT.csv,0.5,10000,577,9994,stabil,-,573,725,0.558251,0.165142,0.358565,0.753304,0.853071,0.683773,0.837645,0.16614
PAXG_2025_5M_10K,data/kontrolliert_paxg_2025_5m_10k_PAXGUSDT.csv,0.3,10000,577,9994,stabil,-,573,725,0.558251,0.165142,0.215139,0.753283,0.853071,0.683773,0.837645,0.16614
XRP_2025_5M_10K,data/kontrolliert_xrp_2025_5m_10k_XRPUSDT.csv,1.0,10000,665,9994,stabil,-,661,688,0.553628,0.169888,0.707669,0.742803,0.842186,0.661229,0.821807,0.175833
XRP_2025_5M_10K,data/kontrolliert_xrp_2025_5m_10k_XRPUSDT.csv,0.5,10000,665,9994,stabil,-,661,688,0.553628,0.169888,0.353835,0.739378,0.842186,0.661229,0.821807,0.175833
XRP_2025_5M_10K,data/kontrolliert_xrp_2025_5m_10k_XRPUSDT.csv,0.3,10000,665,9994,stabil,-,661,688,0.553628,0.169888,0.212301,0.744639,0.842186,0.661229,0.821807,0.175833
