welt,struktur,amplitude,dominant_symbol,dominant_count,dio_0v65_count,dio_0ein_count,dio_1fll_count,symbole,stabil,tragend_unruhig,rekopplung,nachhall,focus_tone,observation_tone,befund
1484_BROKEN095,broken_irregular_middle,0.00095,dio_1fllaqz,132,127,126,132,52,1121,73,0.732478,0.539627,970,224,bruch_zu_leise_fuer_0v65_hauptanker
1485_BROKEN120,broken_irregular_middle,0.00120,dio_0v65ujo,146,146,140,134,58,1113,81,0.729790,0.517597,1041,153,0v65_hauptanker
1486_BROKEN135,broken_irregular_middle,0.00135,dio_0v65ujo,147,147,142,133,61,1107,87,0.728812,0.509364,1062,132,0v65_hauptanker_verstaerkt
