welt,typ,family,count,avg_abs_ret,avg_range,edge_share_delta,reversal_share_delta,focus_delta,observation_delta,afterimage_delta,visual_gap_delta,hearing_gap_delta,rekopplung_delta,strain_delta,sensory_coupling_delta,felt_tension_delta,stable_share,unrest_share,kippend_share
1511,paxg2024_5m,dio_0l7p,76,0.000338,0.000728,-0.0510,0.1096,0.0461,0.0627,0.1480,0.0302,-0.0618,0.0258,-0.0164,0.0127,-0.0464,1.0000,0.0000,0.0000
1511,paxg2024_5m,dio_14wj,109,0.000272,0.000630,0.0356,-0.0111,0.0567,0.1068,0.3071,0.0205,-0.0839,0.0367,-0.0221,0.0234,-0.0660,1.0000,0.0000,0.0000
