preview_symbol,field_function_class,field_function_variant,field_function_confidence,depth_score,depth_state,world_count,count,avg_afterimage,avg_recurrence,avg_rekopplung,avg_strain,avg_sensory_coupling,last_world,world_binding_quality,world_binding_confidence,real_world_count,null_world_count,synthetic_world_count,real_observation_share,null_observation_share,synthetic_observation_share,worlds,effects,passive_only,influences_action,is_gate,is_motoric
dio_mcm_episode_05w9z7v,milieu_island,quiet_deep_recoupling,0.732362,0.742123,local_depth_seed,1,3,0.860192,0.959794,0.754886,0.148611,0.89075,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.731781,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:3,stabil:3,1,0,0,0
dio_mcm_episode_0uohah2,milieu_island,quiet_deep_recoupling,0.72967,0.739579,local_depth_seed,1,1,0.845024,0.982079,0.742342,0.136475,0.872927,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.731101,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:1,stabil:1,1,0,0,0
dio_mcm_episode_01h2hhh,milieu_island,quiet_deep_recoupling,0.731697,0.739517,local_depth_seed,1,1,0.909565,0.926471,0.738019,0.149986,0.896762,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.731336,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:1,stabil:1,1,0,0,0
dio_mcm_episode_08g2xgt,milieu_island,quiet_deep_recoupling,0.732121,0.739493,local_depth_seed,1,3,0.877891,0.960419,0.737766,0.146098,0.874344,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.731383,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:3,stabil:3,1,0,0,0
dio_mcm_episode_1xlv7yw,milieu_island,quiet_deep_recoupling,0.731605,0.738012,local_depth_seed,1,2,0.91028,0.942039,0.728275,0.162508,0.867769,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.731114,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:2,stabil:2,1,0,0,0
dio_mcm_episode_12fuh1y,milieu_island,quiet_deep_recoupling,0.727953,0.736879,local_depth_seed,1,1,0.893625,0.920635,0.743664,0.136699,0.889015,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.730517,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:1,stabil:1,1,0,0,0
dio_mcm_episode_1dnxhy9,milieu_island,quiet_deep_recoupling,0.725828,0.732668,local_depth_seed,1,2,0.873622,0.965866,0.72127,0.170626,0.850644,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.729673,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:2,stabil:2,1,0,0,0
dio_mcm_episode_15jz0fg,milieu_island,quiet_deep_recoupling,0.723827,0.731981,local_depth_seed,1,3,0.852879,0.951568,0.736244,0.14669,0.870139,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.729337,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:3,stabil:3,1,0,0,0
dio_mcm_episode_06eyd53,milieu_island,quiet_deep_recoupling,0.72277,0.731202,local_depth_seed,1,2,0.835754,0.982094,0.728269,0.15769,0.849431,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.729101,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:2,stabil:2,1,0,0,0
dio_mcm_episode_1i07qau,milieu_island,quiet_deep_recoupling,0.721066,0.731029,local_depth_seed,1,1,0.816206,0.989011,0.732693,0.149794,0.856877,WB_FRESH_NULL_BTC_10K,field_internal_null_order,0.728872,0,1,0,0.0,1.0,0.0,WB_FRESH_NULL_BTC_10K:1,stabil:1,1,0,0,0
