row_type,condition,asset,core_pairs,state_profile,quality_profile,family,phase,baseline_quality,followup_state,followup_quality,first_core_quality,second_core_quality
worldstate_core_summary,p24_1h_5000_6000,PAXG,31,fehlt_im_folgefenster:14; lokale_qualitaet_reproduziert:6; lokale_qualitaet_wird_offen:5; lokale_qualitaet_wird_nullnah:3; lokale_qualitaet_driftet:3,fehlt:14; phase_offen_gemischt:7; phase_ohne_nullfamilie:6; phase_nullnah:4,,,,,,,
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_04uf,spaet,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_06er,spaet,phase_offen_gemischt,fehlt_im_folgefenster,fehlt,phase_offen_gemischt,phase_offen_gemischt
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_07o8,frueh,phase_ohne_nullfamilie,fehlt_im_folgefenster,fehlt,phase_ohne_nullfamilie,phase_ohne_nullfamilie
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_07o8,mitte,phase_ohne_nullfamilie,fehlt_im_folgefenster,fehlt,phase_ohne_nullfamilie,phase_ohne_nullfamilie
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_07o8,spaet,phase_ohne_nullfamilie,fehlt_im_folgefenster,fehlt,phase_ohne_nullfamilie,phase_ohne_nullfamilie
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_09bn,mitte,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_0dd2,frueh,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_0l7p,mitte,phase_offen_gemischt,lokale_qualitaet_wird_nullnah,phase_nullnah,phase_offen_gemischt,phase_offen_gemischt
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_0nlj,frueh,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_0pz6,frueh,phase_nullnah,fehlt_im_folgefenster,fehlt,phase_nullnah,phase_nullnah
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_0pz6,mitte,phase_nullnah,fehlt_im_folgefenster,fehlt,phase_nullnah,phase_nullnah
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_0pz6,spaet,phase_nullnah,fehlt_im_folgefenster,fehlt,phase_nullnah,phase_nullnah
worldstate_core_detail,p24_1h_5000_6000,PAXG,,,,dio_0z9t,spaet,phase_offen_gemischt,lokale_qualitaet_driftet,phase_ohne_nullfamilie,phase_offen_gemischt,phase_offen_gemischt
