metric,real_a,real_b_after_sleep,delta
candles,1000.0,1000.0,0.0
episodes,994.0,994.0,0.0
unique_symbols,219.0,219.0,0.0
episode_memory_written,259.0,259.0,0.0
mcm_field_episode_written,259.0,259.0,0.0
avg_mcm_carry_quality,0.503975,0.504829,0.000854
avg_mcm_rekopplung_quality,0.694509,0.693637,-0.000872
avg_mcm_strain_quality,0.153329,0.152787,-0.000542
avg_mcm_sensory_coupling,0.846174,0.845358,-0.000816
avg_mini_afterimage,0.133242,0.133242,0.0
avg_mini_neuro_load,0.097815,0.096546,-0.00127
avg_mini_neuro_balance,0.321275,0.323414,0.002139
