pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,97,4,9,rekoppelnd_offen,0.175258,stark_fragmentiert
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,103,3,8,rekoppelnd_stabil,0.378641,breit_driftend
