asset,label,families,kernfamilien,brueckenfamilien,oberflaechen,source_family_overlap,source_kern_overlap,avg_afterimage_delta,avg_temporal_delta,dominant_reading,reproduction_state,kind,window_start,row_type,worlds,avg_kernfamilien,avg_source_family_overlap,avg_source_kern_overlap,states,source_edge,kern_edge,afterimage_edge,temporal_edge,field_edge_score,reading,source_year,family,total_count,phase_presence,dominant_role,count_frueh,share_frueh,rekopplung_frueh,strain_frueh,afterimage_frueh,temporal_frueh,count_mitte,share_mitte,rekopplung_mitte,strain_mitte,afterimage_mitte,temporal_mitte,count_spaet,share_spaet,rekopplung_spaet,strain_spaet,afterimage_spaet,temporal_spaet,share_delta_spaet_frueh,afterimage_delta_spaet_frueh,temporal_delta_spaet_frueh,strain_delta_spaet_frueh,family_reading
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1fll,131,3,field_stabil,29,0.014514514514514515,0.7831538275862069,0.12148886206896552,0.572726448275862,0.8100307586206896,39,0.01951951951951952,0.792851641025641,0.13026164102564103,0.8449518205128206,0.9397480769230768,63,0.03153153153153153,0.7957321904761906,0.13004773015873014,0.8595189365079365,0.9518873809523809,0.017017017017017015,0.2867924882320745,0.14185662233169127,0.008558868089764624,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_00ja,104,3,field_stabil,34,0.01701701701701702,0.7371103529411764,0.1730049705882353,0.6108360882352941,0.8228743823529412,41,0.02052052052052052,0.7388094634146342,0.1812771463414634,0.8479973414634147,0.9371832926829268,29,0.014514514514514515,0.741039275862069,0.18537817241379312,0.8733266551724138,0.9496176896551725,-0.0025025025025025033,0.2624905669371197,0.12674330730223127,0.012373201825557817,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_06er,101,3,field_stabil,37,0.018518518518518517,0.766054,0.13719551351351353,0.6371026216216217,0.8371161891891892,31,0.015515515515515516,0.786431935483871,0.14351893548387096,0.866249064516129,0.9452032258064517,33,0.016516516516516516,0.7852712727272728,0.1431660909090909,0.8659476060606061,0.9519924848484849,-0.002002002002002002,0.22884498443898438,0.11487629565929569,0.005970577395577381,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_00ly,95,3,field_stabil,30,0.015015015015015015,0.7570199,0.15145953333333334,0.5980555666666666,0.8136981666666666,33,0.016516516516516516,0.7653710303030303,0.1607908787878788,0.878861606060606,0.9411708484848484,32,0.016016016016016016,0.76678584375,0.1590001875,0.88978071875,0.95301578125,0.001001001001001001,0.2917251520833334,0.13931761458333336,0.0075406541666666604,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1lsu,83,3,field_stabil,38,0.01901901901901902,0.7520680263157895,0.16880655263157895,0.6417952631578947,0.8340763684210526,26,0.013013013013013013,0.7514685000000001,0.1766911923076923,0.8774299615384616,0.9426621153846154,19,0.00950950950950951,0.7626231578947369,0.17768947368421054,0.9009405263157895,0.9531396315789474,-0.00950950950950951,0.25914526315789477,0.11906326315789484,0.008882921052631582,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1ewh,82,3,field_stabil,26,0.013013013013013013,0.7428698076923077,0.163139,0.5689484615384616,0.8017016923076923,22,0.011011011011011011,0.7506350454545454,0.17063181818181816,0.8495982727272726,0.9329157272727273,34,0.01701701701701702,0.7497520882352942,0.17499979411764707,0.8819284411764706,0.9516280882352942,0.004004004004004006,0.31297997963800905,0.14992639592760193,0.011860794117647067,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_0oc3,75,3,field_stabil,20,0.01001001001001001,0.7342262500000001,0.18387789999999998,0.51453895,0.7692723499999999,23,0.011511511511511512,0.7392400434782609,0.19265821739130434,0.8409405217391305,0.9272039130434784,32,0.016016016016016016,0.74456421875,0.19634121875,0.88286884375,0.94875021875,0.006006006006006006,0.3683298937499999,0.17947786875000005,0.012463318750000008,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_06s7,73,3,field_stabil,29,0.014514514514514515,0.7668931379310344,0.14009237931034482,0.5818280689655173,0.8124253793103449,21,0.010510510510510511,0.7716075714285715,0.15064561904761906,0.8762288571428571,0.9407329523809524,23,0.011511511511511512,0.7732732608695653,0.14774204347826086,0.8921148695652173,0.953766,-0.003003003003003003,0.31028680059970004,0.14134062068965514,0.007649664167916043,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1gp2,72,3,field_stabil,22,0.011011011011011011,0.7420736363636364,0.16031086363636363,0.504606409090909,0.7694687727272727,34,0.01701701701701702,0.749253794117647,0.1694454705882353,0.8409710294117647,0.9295362058823529,16,0.008008008008008008,0.7521321875,0.1720244375,0.871969375,0.94416675,-0.003003003003003003,0.367362965909091,0.1746979772727274,0.011713573863636362,kernfamilie_mit_feldzeitverdichtung
PAXG,start0_real_6000,,,,,,,,,,,real,0,detail,,,,,,,,,,,,2025,dio_1kpz,71,3,field_stabil,17,0.00850850850850851,0.7672965294117647,0.1362700588235294,0.45072658823529416,0.7445025294117646,39,0.01951951951951952,0.7695338974358974,0.14576761538461538,0.821614076923077,0.9251226153846154,15,0.0075075075075075074,0.772657,0.1483204,0.882121,0.9491366666666666,-0.0010010010010010019,0.4313944117647059,0.20463413725490198,0.01205034117647058,kernfamilie_mit_feldzeitverdichtung
