pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,80,4,9,rekoppelnd_offen,0.262500,stark_fragmentiert
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,91,4,7,rekoppelnd_stabil,0.637363,breit_driftend
