holdout_group,asset,world,start_tick,end_tick,base_sequence,phase_role,compact_sensory_phase,candidate_score,episode_rows,top_symbol_family,top_episode_symbol,top_mcm_episode_symbol,top_preview_symbol,top_meaning_state,avg_carry,avg_strain,avg_rekopplung,avg_sensory_coupling,symbol_diversity,meaning_diversity,mapping_status
HOLDOUT2,BTC,BTC_2024_5M,5800,5900,normale_weltspannung->lauter_feldkontakt,brueckenuebergang_zum_lauten_kontakt,1,0.459802,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.521329,0.164281,0.698453,0.850244,53,3,mapped
CONTRAST,DOGE,DOGE_2024_5M_CONTRAST,9600,9700,ruhig_zentrumsnah->lauter_feldkontakt,zentrumskontakt_mit_hoeranstieg,0,0.446154,100,dio_0m9z,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550999,0.148394,0.714878,0.858307,50,2,mapped
HOLDOUT1,DOGE,DOGE_2024_5M,9600,9700,ruhig_zentrumsnah->lauter_feldkontakt,zentrumskontakt_mit_hoeranstieg,0,0.446154,100,dio_0m9z,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550999,0.148394,0.714878,0.858307,50,2,mapped
HOLDOUT2,BTC,BTC_2024_5M,9600,9700,lauter_feldkontakt->lauter_feldkontakt,randnaher_kontaktdruck,1,0.438516,100,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.529382,0.165507,0.700788,0.846609,61,3,mapped
HOLDOUT2,BTC,BTC_2024_5M,9800,9900,lauter_feldkontakt->lauter_feldkontakt,randnaher_kontaktdruck,1,0.436326,100,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.530995,0.166425,0.701257,0.844897,52,3,mapped
CONTRAST,DOGE,DOGE_2024_5M_CONTRAST,9600,9800,ruhig_zentrumsnah->lauter_feldkontakt,zentrumskontakt_mit_hoeranstieg,0,0.42631,200,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550786,0.147796,0.714691,0.856996,76,2,mapped
HOLDOUT1,DOGE,DOGE_2024_5M,9600,9800,ruhig_zentrumsnah->lauter_feldkontakt,zentrumskontakt_mit_hoeranstieg,0,0.42631,200,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550786,0.147796,0.714691,0.856996,76,2,mapped
CONTRAST,XRP,XRP_2024_5M_CONTRAST,7800,7900,ruhig_zentrumsnah->lauter_feldkontakt,zentrumskontakt_mit_hoeranstieg,0,0.409247,100,dio_0l7p,-,-,dio_mcm_episode_0geqqo3,meaning_stable_inner_field,0.549703,0.149244,0.713095,0.853845,55,3,mapped
HOLDOUT2,BTC,BTC_2024_5M,9600,9800,lauter_feldkontakt->lauter_feldkontakt,randnaher_kontaktdruck,1,0.39902,200,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.533772,0.163553,0.702976,0.847170,90,3,mapped
CONTRAST,XRP,XRP_2024_5M_CONTRAST,5500,5600,lauter_feldkontakt->lauter_feldkontakt,lauter_kontakt_bleibt_offen,1,0.345891,100,dio_1lsu,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.543626,0.150725,0.708659,0.847745,65,2,mapped
CONTRAST,XRP,XRP_2024_5M_CONTRAST,9200,9300,offen_suchend->lauter_feldkontakt,brueckenuebergang_zum_lauten_kontakt,1,0.339483,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.552148,0.152001,0.712094,0.843805,54,2,mapped
CONTRAST,XRP,XRP_2024_5M_CONTRAST,5700,5800,normale_weltspannung->lauter_feldkontakt,brueckenuebergang_zum_lauten_kontakt,1,0.33778,100,dio_104t,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.549092,0.153440,0.710916,0.844747,56,2,mapped
CONTRAST,SOL,SOL_2023_POS_EXP,2700,2800,ruhig_zentrumsnah->lauter_feldkontakt,zentrumskontakt_wird_aktiviert,1,0.336146,100,dio_1q7h,-,-,-,meaning_stable_inner_field,0.351981,0.170724,0.633054,0.817038,98,5,mapped
CONTRAST,SOL,SOL_2023_NEG_STRESS,2100,2200,lauter_feldkontakt->lauter_feldkontakt,randnaher_kontaktdruck,1,0.333876,100,dio_0ypg,-,-,dio_mcm_episode_183drjy,-,0.405772,0.181591,0.652175,0.868535,98,1,mapped
HOLDOUT2,SOL,SOL_2023_ALT_A_FOLLOW,2200,2300,normale_weltspannung->lauter_feldkontakt,brueckenuebergang_zum_lauten_kontakt,1,0.325518,100,dio_0m9z,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.540554,0.150315,0.708554,0.850755,52,2,mapped
HOLDOUT1,SOL,SOL_2025_REC,1300,1400,ruhig_zentrumsnah->lauter_feldkontakt,zentrumskontakt_wird_aktiviert,1,0.314235,100,dio_0m9z,-,-,dio_mcm_episode_1hdpu9s,meaning_stable_inner_field,0.517267,0.156727,0.698612,0.854119,62,3,mapped
HOLDOUT2,PAXG,PAXG_2024_5M,9800,10000,lauter_feldkontakt->lauter_feldkontakt,randnaher_kontaktdruck,1,0.267617,194,dio_0m9z,-,-,dio_mcm_episode_1eju9g0,meaning_stable_inner_field,0.534152,0.162774,0.713714,0.843779,92,3,mapped
