pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,64,4,8,rekoppelnd_stabil,0.203125,stark_fragmentiert
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,77,4,5,rekoppelnd_stabil,0.519481,breit_driftend
