source,asset,shift_label,base_sequence,holdout_sequence,dominant_raw_class,raw_class_counts,delta_auditory,delta_visual,delta_pressure,delta_range,holdout_auditory,holdout_visual,holdout_pressure,holdout_range,passive_only,influences_action
FIRST,BTC,hoerbarer_schmaler_folgeschift,offen_suchend->offen_suchend,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,gemischte_rohwelt:21;laute_oder_druckvolle_rohwelt:3;bewegungsreiche_rohwelt:2,0.052998,0.02554,0.009889,-0.076172,0.462492,0.673598,0.11452,0.139723,1,0
FIRST,DOGE,oberflaeche_veraendert,normale_weltspannung->normale_weltspannung,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,gemischte_rohwelt:23;bewegungsreiche_rohwelt:3,-0.016541,-0.012711,-0.003692,-0.14488,0.42069,0.647424,0.105993,0.287117,1,0
FIRST,PAXG,druck_entlasteter_normalisierungsshift,ruhig_zentrumsnah->normale_weltspannung,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,gemischte_rohwelt:26,-0.020367,0.008735,-0.00668,0.010812,0.399272,0.662322,0.10273,0.092614,1,0
SECOND,BTC,folgefaerbung_veraendert,offen_suchend->offen_suchend,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,gemischte_rohwelt:62;bewegungsreiche_rohwelt:10;laute_oder_druckvolle_rohwelt:1,-2.2e-05,0.000933,-2.2e-05,-0.003397,0.409472,0.648991,0.104609,0.212498,1,0
CONTRAST,BTC,folgefaerbung_veraendert,offen_suchend->offen_suchend,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,gemischte_rohwelt:69;bewegungsreiche_rohwelt:15;laute_oder_druckvolle_rohwelt:3,0.02068,0.017254,0.003464,-0.033624,0.430174,0.665312,0.108095,0.182271,1,0
CONTRAST,DOGE,folgefaerbung_veraendert,normale_weltspannung->normale_weltspannung,offen_suchend->offen_suchend,gemischte_rohwelt,gemischte_rohwelt:71;bewegungsreiche_rohwelt:15;laute_oder_druckvolle_rohwelt:1,-0.010962,-0.010657,-0.001998,-0.133502,0.426269,0.649478,0.107687,0.298495,1,0
CONTRAST,PAXG,druck_entlasteter_normalisierungsshift,ruhig_zentrumsnah->normale_weltspannung,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,gemischte_rohwelt:87,-0.024152,0.003014,-0.007246,0.027129,0.395487,0.656601,0.102164,0.108931,1,0
CONTRAST,XRP,oberflaeche_veraendert,normale_weltspannung->normale_weltspannung,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,gemischte_rohwelt:76;bewegungsreiche_rohwelt:11,-0.017393,-0.00391,-0.003054,-0.19885,0.412702,0.657718,0.104935,0.226379,1,0
