world,start_tick,end_tick,duration,center_tick,previous_role,next_role,previous_duration,next_duration,avg_raw_field_intake,avg_auditory_loudness,avg_visual_sharpness,avg_rekopplung,avg_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class
BTC_STRESS_CURRENT,3620,3620,1,3620,zentrum_stabil,offene_variante,17,5,0.551347,0.970924,0.604405,0.548862,0.336404,71,0.03446562,0.05889942,0.00189973,0.17142857,4.48562451,0.50187477,bewegungsbruch
BTC_STRESS_CURRENT,3510,3510,1,3510,offene_variante,offene_variante,2,2,0.537023,0.957961,0.502746,0.555424,0.324648,71,0.03114711,0.04438517,0.00194046,0.11428571,5.48003675,0.48602156,bewegungsbruch
SOL_STRESS_CURRENT,1776,1776,1,1776,zentrum_stabil,offene_variante,4,2,0.553704,0.955199,0.640521,0.550798,0.330183,71,-0.01109483,0.0497174,0.00283784,0.05714286,5.29688298,0.49182422,bewegungsbruch
BTC_STRESS_CURRENT,481,481,1,481,offene_variante,offene_variante,1,4,0.541672,0.947676,0.528549,0.557773,0.318737,71,0.0228663,0.02696194,0.00119091,0.10144928,4.91840654,0.63026127,bewegungsbruch
BTC_QUIET_CURRENT,1555,1555,1,1555,zentrum_stabil,offene_variante,3,1,0.526944,0.928871,0.512528,0.561839,0.314131,71,0.00224454,0.01388646,0.00069901,0.2173913,4.77936177,0.65525373,bewegungsbruch
SOL_QUIET_CURRENT,3902,3902,1,3902,zentrum_stabil,offene_variante,1,1,0.536303,0.927664,0.588734,0.558924,0.313318,71,-0.00773513,0.0108995,0.00091531,0.04347826,4.76533076,0.5354901,bewegungsbruch
BTC_QUIET_CURRENT,3189,3189,1,3189,offene_variante,zentrum_stabil,1,1,0.544584,0.919285,0.725481,0.559776,0.317767,71,-0.00075672,0.00506271,0.00033148,0.14285714,5.77321262,0.669521,bewegungsbruch
BTC_QUIET_CURRENT,1338,1338,1,1338,zentrum_stabil,offene_variante,1,3,0.527381,0.918078,0.618916,0.558787,0.320357,71,0.00142019,0.00918695,0.0004898,0.11428571,4.93184321,0.64614469,bewegungsbruch
BTC_STRESS_CURRENT,48,48,1,48,offene_variante,offene_variante,2,6,0.537693,0.918062,0.688181,0.556118,0.322957,71,0.01286486,0.02137455,0.00081334,0.02857143,3.86435659,0.60743246,bewegungsbruch
SOL_STRESS_CURRENT,276,276,1,276,rekopplungsnaehe,offene_variante,2,2,0.537943,0.917603,0.716493,0.555214,0.325456,71,0.01911413,0.05541261,0.00259506,0.01449275,3.20244097,0.53197135,bewegungsbruch
