role_family,symbol_family,follow_status,seed_ratio,seed_real_events,seed_null_events,follow_events,follow_field,follow_reifung,carry,strain,rekopplung,follow_labels,boundary
rf_01,dio_00ja,folge_stabil_feldgleich,1.535636,1764,1034,1284,tragende_rekopplung,weltuebergreifend_feldstabil,0.539000,0.169000,0.697000,doge2025:1;paxg2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_02,dio_00m4,folge_stabil_feldgleich,3.143346,220,63,157,tragende_rekopplung,weltuebergreifend_feldstabil,0.432000,0.224000,0.633000,doge2025:2;paxg2025:2;xrp2025_clean:2;btc2025_current:2;doge2025_clean:2;sol2026_stable:2;xrp2025_follow:2;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_03,dio_02vn,folge_stabil_feldgleich,1.957447,137,63,99,tragende_rekopplung,weltuebergreifend_feldstabil,0.463000,0.189000,0.654000,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_04,dio_04i1,folge_offen_feldgleich,17.102662,114,6,75,tragende_rekopplung,weltuebergreifend_feldoffen,0.419000,0.247000,0.624000,doge2025:2;paxg2025:2;xrp2025_clean:2;btc2025_current:1,passive_role_family_trace_no_action_no_direction
rf_05,dio_0fe7,folge_stabil_feldgleich,1.715228,726,381,636,tragende_rekopplung,weltuebergreifend_feldstabil,0.520000,0.145000,0.702000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_05,dio_1xrt,folge_stabil_feldgleich,1.677534,697,374,567,tragende_rekopplung,weltuebergreifend_feldstabil,0.514000,0.147000,0.699000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;doge2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_05,dio_17dc,folge_stabil_feldgleich,1.533871,380,223,317,tragende_rekopplung,weltuebergreifend_feldstabil,0.513000,0.150000,0.699000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;sol2026_stable:1;btc2025_current:1;btc2025_follow:1;xrp2025_follow:1;doge2025_follow:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_05,dio_1ba6,folge_stabil_feldgleich,1.586261,252,143,269,tragende_rekopplung,weltuebergreifend_feldstabil,0.517000,0.132000,0.706000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_05,dio_0v65,folge_stabil_feldgleich,1.552848,364,211,253,tragende_rekopplung,weltuebergreifend_feldstabil,0.524000,0.135000,0.705000,xrp2025_clean:1;doge2025_clean:1;doge2025:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1,passive_role_family_trace_no_action_no_direction
rf_05,dio_0ein,folge_stabil_feldgleich,1.556021,344,199,196,tragende_rekopplung,weltuebergreifend_feldstabil,0.518000,0.137000,0.702000,doge2025:1;doge2025_clean:1;paxg2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1,passive_role_family_trace_no_action_no_direction
