group,asset,world,candles,rekopplung,strain,sensory_coupling,stable_share,unrest_share,tilt_share,top_family_1,top_family_1_count,top_family_2,top_family_2_count,data_path
10K_5M_HARD,BTC,BTC_2024_5M_10K,10000,0.704055,0.156998,0.844386,0.830398,0.159596,0.010006,dio_104t,864,dio_155c,475,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv
10K_5M_HARD,BTC,BTC_2025_5M_10K,10000,0.704535,0.156394,0.845859,0.840604,0.148489,0.010907,dio_104t,824,dio_155c,492,data\kontrolliert_btc_2025_5m_10k_BTCUSDT.csv
10K_5M_HARD,PAXG,PAXG_2024_5M_10K,10000,0.713904,0.15251,0.854857,0.879628,0.114169,0.006204,dio_104t,732,dio_14wj,530,data\kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv
10K_5M_HARD,PAXG,PAXG_2025_5M_10K,10000,0.714382,0.151728,0.85609,0.872524,0.120172,0.007304,dio_104t,860,dio_14wj,708,data\kontrolliert_paxg_2025_5m_10k_PAXGUSDT.csv
2K_5M_BROAD,BTC,BTC_2024_5M_2K,2000,0.695686,0.154998,0.841849,0.793882,0.197091,0.009027,dio_104t,147,dio_155c,93,data\kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv
2K_5M_BROAD,SOL,SOL_2024_5M_2K,2000,0.693318,0.157341,0.83793,0.754263,0.237212,0.008526,dio_104t,113,dio_0m9z,98,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv
2K_5M_BROAD,KAS,KAS_2024_5M_2K,2000,0.693981,0.156209,0.840389,0.778335,0.212638,0.009027,dio_104t,111,dio_0m9z,80,data\kontrolliert_kas_2024_5m_test1_2000_KASUSDT.csv
2K_5M_BROAD,PAXG,PAXG_2024_5M_2K,2000,0.703694,0.15202,0.851128,0.831494,0.161484,0.007021,dio_104t,125,dio_14wj,109,data\kontrolliert_paxg_2024_5m_test1_2000_PAXGUSDT.csv
1H_LONG,BTC,BTC_2025_1H_FULL,8760,0.706716,0.152034,0.843761,0.807174,0.18483,0.007996,dio_104t,703,dio_155c,458,data\1-12_2025_1h_BTCUSDT.csv
1H_LONG,PAXG,PAXG_2024_1H_10K,8784,0.704917,0.153514,0.84119,0.792208,0.201527,0.006266,dio_104t,578,dio_155c,386,data\kontrolliert_paxg_2024_1h_10k_PAXGUSDT.csv
1H_LONG,PAXG,PAXG_2025_1H_10K,8760,0.706106,0.151946,0.843674,0.809801,0.185744,0.004455,dio_104t,624,dio_155c,382,data\kontrolliert_paxg_2025_1h_10k_PAXGUSDT.csv
