world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
DOGE,dio_06jk,offen_und_gereift,9,3,5,0.333333,0.555556,0.693057,0.732531,0.153948,0.546296,0.333333
DOGE,dio_0h9h,offen_und_gereift,134,19,113,0.141791,0.843284,0.723821,0.760690,0.138467,0.824005,0.000000
DOGE,dio_17dc,offen_und_gereift,10,1,8,0.100000,0.800000,0.702093,0.741419,0.144031,0.808333,0.125000
DOGE,dio_104t,offen_und_gereift,272,29,241,0.106618,0.886029,0.720622,0.755114,0.149838,0.876838,0.012868
DOGE,dio_0l7p,offen_und_gereift,122,86,35,0.704918,0.286885,0.725206,0.761895,0.135227,0.467896,0.043033
DOGE,dio_0kx9,offen_und_gereift,44,35,8,0.795455,0.181818,0.731710,0.771840,0.114380,0.327652,0.181818
DOGE,dio_155c,offen_und_gereift,154,19,133,0.123377,0.863636,0.712765,0.748214,0.155754,0.816558,0.050325
DOGE,dio_06er,offen_und_gereift,16,2,13,0.125000,0.812500,0.723522,0.765001,0.118461,0.807292,0.250000
DOGE,dio_00hc,nur_offen,2,1,0,0.500000,0.000000,0.586867,0.604653,0.284247,0.000000,0.000000
DOGE,dio_1nqd,offen_und_gereift,4,2,2,0.500000,0.500000,0.651844,0.694932,0.200528,0.000000,0.500000
DOGE,dio_0g2r,offen_und_gereift,70,63,7,0.900000,0.100000,0.708106,0.744634,0.150135,0.234524,0.042857
DOGE,dio_0oc3,offen_und_gereift,48,31,17,0.645833,0.354167,0.694372,0.732684,0.168421,0.381944,0.052083
DOGE,dio_06qi,offen_und_gereift,24,8,16,0.333333,0.666667,0.709128,0.751453,0.143293,0.701389,0.072917
DOGE,dio_0rog,offen_und_gereift,6,3,3,0.500000,0.500000,0.671915,0.714428,0.176852,0.194444,0.333333
DOGE,dio_07uk,offen_und_gereift,29,25,4,0.862069,0.137931,0.715852,0.759875,0.135320,0.316092,0.103448
DOGE,dio_1q85,offen_und_gereift,49,26,23,0.530612,0.469388,0.704295,0.742231,0.160055,0.450680,0.137755
DOGE,dio_087m,offen_und_gereift,25,20,5,0.800000,0.200000,0.725726,0.771184,0.117999,0.390000,0.170000
DOGE,dio_1lsu,offen_und_gereift,51,45,6,0.882353,0.117647,0.706616,0.745587,0.151519,0.218954,0.029412
DOGE,dio_13o0,offen_und_gereift,16,1,15,0.062500,0.937500,0.730350,0.776602,0.104535,0.947917,0.390625
DOGE,dio_0uuz,offen_und_gereift,2,1,1,0.500000,0.500000,0.671334,0.721385,0.169675,0.583333,0.125000
DOGE,dio_17ct,offen_und_gereift,39,15,24,0.384615,0.615385,0.713502,0.754161,0.146046,0.675214,0.137821
DOGE,dio_14wj,offen_und_gereift,71,59,12,0.830986,0.169014,0.727183,0.766368,0.124447,0.311033,0.158451
DOGE,dio_0d03,offen_und_gereift,16,5,11,0.312500,0.687500,0.711050,0.754534,0.127178,0.718750,0.328125
DOGE,dio_1yt8,offen_und_gereift,8,1,7,0.125000,0.875000,0.698790,0.742167,0.135414,0.895833,0.281250
DOGE,dio_0gh3,nur_offen,1,1,0,1.000000,0.000000,0.651655,0.706154,0.192550,0.166667,0.250000
DOGE,dio_0gaw,nur_offen,1,1,0,1.000000,0.000000,0.636669,0.689657,0.209184,0.166667,0.250000
DOGE,dio_1jc2,offen_und_gereift,38,28,10,0.736842,0.263158,0.730702,0.773365,0.112374,0.346491,0.085526
DOGE,dio_1sub,offen_und_gereift,4,3,1,0.750000,0.250000,0.646261,0.687900,0.206268,0.062500,0.250000
DOGE,dio_0f4r,offen_und_gereift,13,4,9,0.307692,0.692308,0.713080,0.759424,0.133335,0.730769,0.000000
DOGE,dio_1492,offen_und_gereift,39,29,10,0.743590,0.256410,0.730829,0.773270,0.118903,0.418803,0.128205
DOGE,dio_1yoi,nur_offen,10,10,0,1.000000,0.000000,0.649352,0.688111,0.214256,0.041667,0.000000
DOGE,dio_1o4z,offen_und_gereift,43,41,2,0.953488,0.046512,0.709160,0.747186,0.148013,0.158915,0.020349
DOGE,dio_1mwv,nur_offen,15,15,0,1.000000,0.000000,0.712595,0.759809,0.135923,0.177778,0.000000
DOGE,dio_00ly,offen_und_gereift,76,71,5,0.934211,0.065789,0.721336,0.760261,0.136788,0.377193,0.029605
DOGE,dio_1vdo,offen_und_gereift,12,7,5,0.583333,0.416667,0.710209,0.754829,0.126094,0.409722,0.156250
DOGE,dio_0m9z,offen_und_gereift,162,97,65,0.598765,0.401235,0.706676,0.741178,0.164762,0.319444,0.165895
DOGE,dio_033x,offen_und_gereift,6,4,2,0.666667,0.333333,0.637269,0.674368,0.227643,0.125000,0.250000
DOGE,dio_07r3,nur_gereift,1,0,1,0.000000,1.000000,0.597533,0.639539,0.257182,0.333333,0.500000
DOGE,dio_12fw,offen_und_gereift,44,22,22,0.500000,0.500000,0.690120,0.726547,0.170431,0.369318,0.198864
DOGE,dio_1xrt,offen_und_gereift,24,19,5,0.791667,0.208333,0.709084,0.750660,0.136941,0.309028,0.125000
DOGE,dio_19pg,offen_und_gereift,51,39,12,0.764706,0.235294,0.698560,0.734865,0.160354,0.142157,0.151961
DOGE,dio_09bn,offen_und_gereift,52,48,4,0.923077,0.076923,0.726233,0.767399,0.128630,0.221154,0.057692
DOGE,dio_0nlj,offen_und_gereift,39,36,3,0.923077,0.076923,0.730798,0.774380,0.116887,0.207265,0.044872
DOGE,dio_1i76,nur_gereift,4,0,4,0.000000,1.000000,0.673024,0.720869,0.172281,0.875000,0.437500
DOGE,dio_06zw,nur_offen,3,3,0,1.000000,0.000000,0.610844,0.650138,0.250217,0.166667,0.000000
DOGE,dio_0rgc,offen_und_gereift,12,6,6,0.500000,0.500000,0.709324,0.752888,0.130739,0.527778,0.083333
DOGE,dio_0a5r,nur_gereift,3,0,3,0.000000,1.000000,0.697332,0.747397,0.132038,0.861111,0.958333
DOGE,dio_0pz6,offen_und_gereift,53,29,24,0.547170,0.452830,0.724333,0.765528,0.129913,0.512579,0.186321
DOGE,dio_1fll,nur_gereift,9,0,9,0.000000,1.000000,0.725064,0.772730,0.106993,0.953704,0.319444
DOGE,dio_1vsj,nur_gereift,8,0,8,0.000000,1.000000,0.686263,0.731480,0.159014,0.947917,0.359375
DOGE,dio_0seu,nur_gereift,2,0,2,0.000000,1.000000,0.701930,0.755898,0.128136,0.833333,0.500000
DOGE,dio_0gzn,nur_gereift,2,0,2,0.000000,1.000000,0.706261,0.760263,0.120791,0.833333,0.500000
DOGE,dio_16yy,nur_gereift,3,0,3,0.000000,1.000000,0.679891,0.729247,0.160481,0.888889,0.333333
DOGE,dio_0z3k,offen_und_gereift,11,6,5,0.545455,0.454545,0.711302,0.759472,0.133737,0.469697,0.272727
DOGE,dio_169a,offen_und_gereift,17,3,14,0.176471,0.823529,0.687680,0.729182,0.167032,0.808824,0.235294
DOGE,dio_1kpz,offen_und_gereift,67,34,33,0.507463,0.492537,0.728547,0.768947,0.123622,0.449005,0.044776
DOGE,dio_1j37,offen_und_gereift,14,4,10,0.285714,0.714286,0.707524,0.750162,0.132199,0.714286,0.250000
DOGE,dio_00pl,offen_und_gereift,17,4,13,0.235294,0.764706,0.705016,0.746902,0.135131,0.715686,0.117647
DOGE,dio_0v2o,offen_und_gereift,4,3,1,0.750000,0.250000,0.643657,0.686415,0.212946,0.187500,0.000000
DOGE,dio_1yme,offen_und_gereift,7,1,6,0.142857,0.857143,0.702474,0.749937,0.139616,0.833333,0.142857
DOGE,dio_1r55,nur_gereift,4,0,4,0.000000,1.000000,0.689907,0.738239,0.148113,0.937500,0.250000
DOGE,dio_0dd2,nur_gereift,21,0,21,0.000000,1.000000,0.715201,0.758154,0.133209,0.988095,0.261905
DOGE,dio_1w2r,offen_und_gereift,3,2,1,0.666667,0.333333,0.625722,0.667810,0.230762,0.277778,0.000000
DOGE,dio_00ja,offen_und_gereift,110,64,46,0.581818,0.418182,0.701081,0.734211,0.164684,0.309848,0.131818
DOGE,dio_1ewh,offen_und_gereift,69,48,21,0.695652,0.304348,0.709444,0.746625,0.148035,0.475846,0.028986
DOGE,dio_01q0,offen_und_gereift,12,7,5,0.583333,0.416667,0.715217,0.761100,0.122930,0.465278,0.166667
DOGE,dio_05yg,offen_und_gereift,49,33,16,0.673469,0.326531,0.685877,0.720687,0.178991,0.180272,0.244898
DOGE,dio_0cky,offen_und_gereift,11,3,8,0.272727,0.727273,0.656943,0.694344,0.201432,0.393939,0.454545
DOGE,dio_1772,offen_und_gereift,26,13,13,0.500000,0.500000,0.689248,0.727619,0.167062,0.429487,0.197115
DOGE,dio_0fe7,offen_und_gereift,25,15,10,0.600000,0.400000,0.707091,0.748159,0.139914,0.513333,0.040000
DOGE,dio_0tay,offen_und_gereift,27,7,20,0.259259,0.740741,0.710166,0.750712,0.144084,0.759259,0.115741
DOGE,dio_10a7,nur_gereift,1,0,1,0.000000,1.000000,0.627358,0.677751,0.225670,1.000000,0.000000
DOGE,dio_05gr,offen_und_gereift,12,6,6,0.500000,0.500000,0.673289,0.713540,0.184926,0.361111,0.250000
DOGE,dio_1rqi,offen_und_gereift,13,6,7,0.461538,0.538462,0.721572,0.768478,0.117395,0.602564,0.115385
DOGE,dio_0ly7,nur_gereift,9,0,9,0.000000,1.000000,0.721503,0.769298,0.114918,1.000000,0.555556
DOGE,dio_0g3b,nur_gereift,5,0,5,0.000000,1.000000,0.721983,0.772108,0.104747,1.000000,0.275000
DOGE,dio_010q,nur_offen,2,2,0,1.000000,0.000000,0.600861,0.643644,0.269703,0.041667,0.000000
DOGE,dio_08l0,offen_und_gereift,17,3,14,0.176471,0.823529,0.700016,0.740355,0.144012,0.833333,0.117647
DOGE,dio_1e0y,nur_gereift,9,0,9,0.000000,1.000000,0.686462,0.730174,0.164639,0.888889,0.444444
DOGE,dio_1cic,offen_und_gereift,32,24,8,0.750000,0.250000,0.712935,0.753515,0.132757,0.369792,0.218750
DOGE,dio_02xf,offen_und_gereift,30,15,15,0.500000,0.500000,0.703053,0.741006,0.146943,0.505556,0.150000
DOGE,dio_00m4,offen_und_gereift,7,5,2,0.714286,0.285714,0.646667,0.684966,0.210378,0.285714,0.000000
DOGE,dio_18im,nur_gereift,6,0,6,0.000000,1.000000,0.686386,0.733162,0.156617,1.000000,0.500000
DOGE,dio_14d9,offen_und_gereift,31,27,4,0.870968,0.129032,0.705066,0.746247,0.146884,0.252688,0.032258
DOGE,dio_0obq,offen_und_gereift,39,34,5,0.871795,0.128205,0.700717,0.739912,0.156452,0.247863,0.025641
DOGE,dio_1f23,nur_gereift,1,0,1,0.000000,1.000000,0.662219,0.716103,0.180628,1.000000,1.000000
DOGE,dio_1aeg,nur_gereift,10,0,10,0.000000,1.000000,0.695931,0.741327,0.152364,1.000000,0.300000
