row_type,asset,condition,source_label,core_pairs,carried_count,opened_count,shifted_count,hidden_count,carried_share,opened_share,shifted_share,hidden_share,world_fit_score,world_fit_reading
world_fit_metric,BTC,ruhig,BTC,27,16,3,6,2,0.5925925925925926,0.1111111111111111,0.2222222222222222,0.07407407407407407,0.6388888888888888,kern_getragen
world_fit_metric,BTC,stress,BTC,27,19,2,6,0,0.7037037037037037,0.07407407407407407,0.2222222222222222,0.0,0.7925925925925925,kern_getragen
world_fit_metric,DOGE,real2024,DOGE,34,16,8,7,3,0.47058823529411764,0.23529411764705882,0.20588235294117646,0.08823529411764706,0.5205882352941176,kern_getragen
world_fit_metric,PAXG,real2024_1h,PAXG,31,12,3,3,13,0.3870967741935484,0.0967741935483871,0.0967741935483871,0.41935483870967744,0.1629032258064516,kern_ausgeblendet
world_fit_metric,PAXG,real2024_5m,PAXG,31,4,5,6,16,0.12903225806451613,0.16129032258064516,0.1935483870967742,0.5161290322580645,-0.11451612903225808,kern_ausgeblendet
world_fit_metric,PAXG,real2025_1h,PAXG,31,14,3,5,9,0.45161290322580644,0.0967741935483871,0.16129032258064516,0.2903225806451613,0.3338709677419355,kern_getragen
world_fit_metric,PAXG,real2025_5m,PAXG,31,12,5,9,5,0.3870967741935484,0.16129032258064516,0.2903225806451613,0.16129032258064516,0.4080645161290323,kern_getragen
world_fit_metric,PAXG,shift2024_5m,PAXG,31,12,2,5,12,0.3870967741935484,0.06451612903225806,0.16129032258064516,0.3870967741935484,0.2016129032258065,kern_ausgeblendet
world_fit_metric,SOL,expansion,SOL,27,18,3,3,3,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.65,kern_getragen
world_fit_metric,SOL,ruhig,SOL,27,18,4,1,4,0.6666666666666666,0.14814814814814814,0.037037037037037035,0.14814814814814814,0.6055555555555555,kern_getragen
world_fit_metric,SOL,stress,SOL,27,20,3,3,1,0.7407407407407407,0.1111111111111111,0.1111111111111111,0.037037037037037035,0.7722222222222223,kern_getragen
world_fit_metric,XRP,real2024,XRP,28,19,3,5,1,0.6785714285714286,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.7339285714285714,kern_getragen
