symbol_family,events,holdout_labels,dominant_field_contact_class,dominant_field_share,field_classes,syntax_reifung,avg_carry,avg_strain,avg_rekopplung
dio_104t,3380,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:3380,weltuebergreifend_feldstabil,0.5772539747416763,0.15001540473001296,0.7242968347502414
dio_155c,1872,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1872,weltuebergreifend_feldstabil,0.56293815854463,0.15990546919191917,0.7156778663059162
dio_0m9z,1734,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1734,weltuebergreifend_feldstabil,0.5583724739276781,0.16749077535123197,0.7095305878532276
dio_0h9h,1318,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1318,weltuebergreifend_feldstabil,0.5725773116350519,0.1395357834561944,0.7263972456660331
dio_0l7p,1046,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1046,weltuebergreifend_feldstabil,0.5748753134907868,0.13308591452910207,0.7292978680973969
dio_14wj,964,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:964,weltuebergreifend_feldstabil,0.5774978431604789,0.12675591154276855,0.7325399590963907
dio_00ly,852,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:852,weltuebergreifend_feldstabil,0.5681544410267195,0.13605555315121864,0.7256944928552453
dio_1pij,708,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:708,weltuebergreifend_feldstabil,0.5331337215189873,0.17883624278287263,0.6964863434997417
dio_00ja,684,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:684,weltuebergreifend_feldstabil,0.5508127679386432,0.162889452661199,0.703864217923201
dio_1ewh,642,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:642,weltuebergreifend_feldstabil,0.5561358266653681,0.14851782124074797,0.7146049754674717
dio_0dd2,616,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:616,weltuebergreifend_feldstabil,0.5708953677905946,0.13648026375332742,0.7289641759094942
dio_0pz6,586,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:586,weltuebergreifend_feldstabil,0.5717383743992084,0.13216009844736593,0.7298489299901046
dio_1lsu,566,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:566,weltuebergreifend_feldstabil,0.5514903175967822,0.1545636900955254,0.7117411247234791
dio_17ct,550,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:550,weltuebergreifend_feldstabil,0.5595654729422344,0.15025700556760474,0.7173578956173297
dio_0obq,542,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:542,weltuebergreifend_feldstabil,0.5423615166999003,0.16147676507976072,0.7063170427467598
dio_1q85,526,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:526,weltuebergreifend_feldstabil,0.5510354647964797,0.1611630660982765,0.7085030334311209
dio_0tay,470,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:470,weltuebergreifend_feldstabil,0.5623697978421971,0.14128078038724207,0.7209117646214763
dio_09bn,444,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:444,weltuebergreifend_feldstabil,0.5682340433427526,0.1294724124418218,0.7287273612450134
dio_06er,370,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:370,weltuebergreifend_feldstabil,0.5735715376164319,0.1198949654287079,0.7358067645091951
dio_0g2r,354,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:354,weltuebergreifend_feldstabil,0.5482024430424226,0.1489062648862765,0.7095449539355994
dio_19pg,352,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:352,weltuebergreifend_feldstabil,0.5446604988664334,0.15837389088612513,0.703059989571188
dio_06s7,342,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:342,weltuebergreifend_feldstabil,0.5664238828947368,0.12152139605263158,0.7303370973684211
dio_1gp2,330,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:330,weltuebergreifend_feldstabil,0.5485692254194878,0.15038658146894318,0.7094803524065352
dio_1jc2,308,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:308,weltuebergreifend_feldstabil,0.5679434147966339,0.11347613025946704,0.733480349403927
dio_0jkk,294,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:294,weltuebergreifend_feldstabil,0.5254384149350649,0.1846552909090909,0.6848493701298701
dio_04uf,290,xrp2025:1;xrp2024:1,tragende_rekopplung,1.0,tragende_rekopplung:290,weltuebergreifend_feldstabil,0.536015342846271,0.1707528030346271,0.6961532027207002
dio_05yg,290,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:290,weltuebergreifend_feldstabil,0.5295869895953202,0.18114916623513616,0.6886447388281549
dio_1kpz,290,xrp2024:1;xrp2025:1,tragende_rekopplung,1.0,tragende_rekopplung:290,weltuebergreifend_feldstabil,0.5638841164285715,0.1200046419047619,0.7295434552380953
