world,role,delta_share,delta_avg_rekopplung,delta_avg_carry,delta_avg_strain,delta_avg_sensory,delta_rekopplung_top_share,delta_strain_top_share
BTC_2024_1H_2K,zentrum_stabil,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BTC_2024_1H_2K,offene_variante,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BTC_2024_1H_2K,spannungsrand_kippnaehe,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BTC_2025_1H_2K,zentrum_stabil,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BTC_2025_1H_2K,offene_variante,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
BTC_2025_1H_2K,spannungsrand_kippnaehe,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SOL_2024_1H_2K,zentrum_stabil,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SOL_2024_1H_2K,offene_variante,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SOL_2024_1H_2K,spannungsrand_kippnaehe,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SOL_2025_1H_2K,zentrum_stabil,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SOL_2025_1H_2K,offene_variante,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
SOL_2025_1H_2K,spannungsrand_kippnaehe,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
