world,family,relation,total,open_count,mature_count,open_share,mature_share,avg_rekopplung,avg_adaptive_rekopplung,avg_strain,avg_role_experience,avg_path_experience
BTC_2024_5M,dio_1nmh,nur_gereift,14,0,13,0.000000,0.928571,0.694997,0.734826,0.155947,0.928571,0.366071
BTC_2024_5M,dio_0z03,sonstig,1,0,0,0.000000,0.000000,0.690904,0.690904,0.136966,0.000000,0.000000
BTC_2024_5M,dio_0l7p,offen_und_gereift,212,47,163,0.221698,0.768868,0.727816,0.763916,0.136022,0.679638,0.002948
BTC_2024_5M,dio_0m9z,offen_und_gereift,218,89,128,0.408257,0.587156,0.708697,0.742543,0.164350,0.479740,0.225344
BTC_2024_5M,dio_1ewh,offen_und_gereift,65,55,9,0.846154,0.138462,0.710053,0.746295,0.147527,0.279487,0.092308
BTC_2024_5M,dio_0pz6,nur_offen,73,72,0,0.986301,0.000000,0.727468,0.767341,0.129423,0.183790,0.000000
BTC_2024_5M,dio_0g2r,offen_und_gereift,39,18,20,0.461538,0.512821,0.705090,0.742016,0.147391,0.504273,0.176282
BTC_2024_5M,dio_155c,offen_und_gereift,254,20,232,0.078740,0.913386,0.716256,0.751512,0.155404,0.893373,0.031004
BTC_2024_5M,dio_1q85,offen_und_gereift,55,49,5,0.890909,0.090909,0.705734,0.742389,0.158682,0.175758,0.061364
BTC_2024_5M,dio_104t,offen_und_gereift,354,26,325,0.073446,0.918079,0.722121,0.756241,0.149370,0.925377,0.075918
BTC_2024_5M,dio_1cic,offen_und_gereift,30,5,24,0.166667,0.800000,0.712681,0.751606,0.132632,0.811111,0.304167
BTC_2024_5M,dio_14wj,offen_und_gereift,116,101,14,0.870690,0.120690,0.731541,0.769444,0.123871,0.352011,0.112069
BTC_2024_5M,dio_0fl2,nur_gereift,10,0,9,0.000000,0.900000,0.717754,0.759172,0.119768,0.900000,0.400000
BTC_2024_5M,dio_1i76,offen_und_gereift,6,1,4,0.166667,0.666667,0.677231,0.715026,0.172074,0.638889,0.333333
BTC_2024_5M,dio_1w73,sonstig,1,0,0,0.000000,0.000000,0.578394,0.578394,0.295788,0.000000,0.000000
BTC_2024_5M,dio_0jkk,offen_und_gereift,31,18,13,0.580645,0.419355,0.681631,0.717589,0.177934,0.317204,0.225806
BTC_2024_5M,dio_19pg,offen_und_gereift,29,14,15,0.482759,0.517241,0.697800,0.735730,0.154216,0.405172,0.267241
BTC_2024_5M,dio_04uf,offen_und_gereift,40,20,20,0.500000,0.500000,0.694363,0.731783,0.165569,0.400000,0.240625
BTC_2024_5M,dio_10dv,offen_und_gereift,20,7,13,0.350000,0.650000,0.716832,0.761247,0.134869,0.679167,0.100000
BTC_2024_5M,dio_0tay,offen_und_gereift,45,23,22,0.511111,0.488889,0.715789,0.755770,0.140503,0.538889,0.219444
BTC_2024_5M,dio_1mwv,offen_und_gereift,15,12,3,0.800000,0.200000,0.709316,0.754540,0.139562,0.350000,0.141667
BTC_2024_5M,dio_17ct,nur_offen,71,71,0,1.000000,0.000000,0.716516,0.755891,0.145836,0.335681,0.001761
BTC_2024_5M,dio_1tiu,offen_und_gereift,27,8,19,0.296296,0.703704,0.725137,0.768376,0.124184,0.731481,0.416667
