symbol_family,events,holdout_labels,dominant_field_contact_class,dominant_field_share,field_classes,syntax_reifung,avg_carry,avg_strain,avg_rekopplung
dio_104t,9249,doge_real:1;xrp_real:1;paxg_real:1;xrp_adapted:1;doge_ff:1;btc_ff:1;paxg_ff:1;kas_equal:1,tragende_rekopplung,1.0,tragende_rekopplung:9249,weltuebergreifend_feldstabil,0.5814959431555708,0.15618714714304255,0.7256107308131233
dio_155c,4820,doge_real:1;xrp_adapted:1;xrp_real:1;btc_ff:1;kas_equal:1;paxg_real:1;doge_ff:1;paxg_ff:1,tragende_rekopplung,1.0,tragende_rekopplung:4820,weltuebergreifend_feldstabil,0.5704852834127864,0.16467112033166076,0.7185951409901958
dio_0m9z,4789,xrp_adapted:1;xrp_real:1;doge_real:1;paxg_real:1;kas_equal:1;btc_ff:1;doge_ff:1;paxg_ff:1,tragende_rekopplung,1.0,tragende_rekopplung:4789,weltuebergreifend_feldstabil,0.5660689172459984,0.17376981318277673,0.7119560692077423
dio_0l7p,4606,xrp_adapted:1;btc_ff:1;doge_ff:1;paxg_ff:1;xrp_real:1;doge_real:1;paxg_real:1;kas_equal:1,tragende_rekopplung,1.0,tragende_rekopplung:4606,weltuebergreifend_feldstabil,0.5836047514313826,0.14267979753934384,0.731145943376542
dio_14wj,4427,paxg_real:1;paxg_ff:1;xrp_adapted:1;xrp_real:1;btc_ff:1;doge_ff:1;doge_real:1;kas_equal:1,tragende_rekopplung,1.0,tragende_rekopplung:4427,weltuebergreifend_feldstabil,0.5882554682786292,0.13541288250796776,0.7365664522941767
dio_0h9h,3626,xrp_real:1;doge_real:1;paxg_real:1;xrp_adapted:1;btc_ff:1;paxg_ff:1;doge_ff:1;kas_equal:1,tragende_rekopplung,1.0,tragende_rekopplung:3626,weltuebergreifend_feldstabil,0.5798600305613602,0.14796824303238493,0.7282762846107074
dio_00ly,2365,doge_real:1;paxg_real:1;xrp_real:1;xrp_adapted:1;doge_ff:1;btc_ff:1;paxg_ff:1;kas_equal:1,tragende_rekopplung,1.0,tragende_rekopplung:2365,weltuebergreifend_feldstabil,0.5769435161049365,0.14602402309777926,0.7278809096069814
dio_00ja,1764,paxg_real:1;xrp_real:1;doge_real:1;xrp_adapted:1;kas_equal:1;doge_ff:1;btc_ff:1;paxg_ff:1,tragende_rekopplung,1.0,tragende_rekopplung:1764,weltuebergreifend_feldstabil,0.5574426061968721,0.17237619818039893,0.7042773912022455
dio_1lsu,1730,doge_real:1;xrp_adapted:1;xrp_real:1;paxg_real:1;doge_ff:1;paxg_ff:1;btc_ff:1;kas_equal:1,tragende_rekopplung,1.0,tragende_rekopplung:1730,weltuebergreifend_feldstabil,0.5626995208961579,0.1635022745021397,0.7151479543815316
dio_0pz6,1688,xrp_real:1;doge_real:1;xrp_adapted:1;doge_ff:1;btc_ff:1;paxg_real:1;kas_equal:1;paxg_ff:1,tragende_rekopplung,1.0,tragende_rekopplung:1688,weltuebergreifend_feldstabil,0.5806082260422369,0.14180148255962072,0.7314931879620187
dio_1ewh,1684,paxg_real:1;doge_real:1;xrp_real:1;xrp_adapted:1;kas_equal:1;paxg_ff:1;doge_ff:1;btc_ff:1,tragende_rekopplung,1.0,tragende_rekopplung:1684,weltuebergreifend_feldstabil,0.5596063321724764,0.15841561189730963,0.713576996042609
