lauf,welt,daten,candles,unique_symbols,stable_ratio,carried_unrest_ratio,tipping_ratio,avg_afterimage,avg_temporal_trust,avg_temporal_caution,display_found,display_unavailable,map_similarity_avg,map_similarity_min,dio_0m9z,dio_104t,dio_0l7p,dio_155c,dio_14wj,befund
A_stress_fresh,positiver_stress_frisch,data/kontrolliert_2024_positive_stress_test1_2000_5m_SOLUSDT.csv,2000,345,0.7638,0.2312,0.005015,0.1448,0.5958,0.2489,0,1994,0.0000,0.0000,122,119,83,77,41,stress_memory_frisch_mit_hoher_symbolstreuung_und_niedriger_feldzeit
B_stress_reuse,positiver_stress_gleiche_memory,data/kontrolliert_2024_positive_stress_test1_2000_5m_SOLUSDT.csv,2000,345,0.7633,0.2317,0.005015,0.1448,0.5958,0.2489,1532,462,0.9995,0.9995,244,238,166,154,82,stress_memory_wird_wiederverwendet_ohne_neue_symbolstreuung
C_negative_holdout,negative_stress_holdout_gleiche_memory,data/kontrolliert_2024_negative_stress_test1_1000_5m_SOLUSDT.csv,1000,266,0.7586,0.2344,0.007042,0.1062,0.5098,0.3030,761,233,0.9965,0.9948,283,287,192,204,98,verwandter_stressraum_bleibt_gekoppelt_aber_mit_weniger_nachhall_und_mehr_vorsicht
