world_class,family,pattern,events,field,target_tension,target_rekopplung,target_strain,delta_tension,delta_rekopplung,delta_strain,visual,tone
PAXG 2024 5m,dio_00ly,tragende_verarbeitung,3,rekoppelt:3,0.07691266666666667,0.724322,0.12965266666666667,-0.09229308333333335,0.04507408333333337,-0.048181208333333336,wechselnde_form:2;stabile_scharfe_form:1,geordnetes_hinhoeren_mit_wechsel:2;geordnetes_hinhoeren:1
PAXG 2024 5m,dio_0pq6,kippnaehe,4,offen:4,0.0889615,0.6789115,0.15991775,0.008834250000000002,-0.027473625,0.022693687500000004,wechselnde_form:2;stabile_scharfe_form:2,geordnetes_hinhoeren:2;geordnetes_hinhoeren_mit_wechsel:2
BTC 2024 1h,dio_00ly,tragende_verarbeitung,14,rekoppelt:14,0.07132242857142858,0.7264747142857143,0.1285907857142857,-0.034213,0.023617089285714266,-0.02236628571428571,wechselnde_form:14,geordnetes_hinhoeren_mit_wechsel:12;geordnetes_hinhoeren:2
KAS 2024 5m,dio_00ly,tragende_verarbeitung,26,rekoppelt:19;offen:7,0.07603507692307693,0.723367423076923,0.13323396153846154,-0.028989360576923077,0.02173377403846153,-0.017189658653846154,wechselnde_form:17;stabile_scharfe_form:9,geordnetes_hinhoeren_mit_wechsel:26
Positive Expansion 2023,dio_00ly,tragende_verarbeitung,6,offen:4;rekoppelt:2,0.07566233333333333,0.7175851666666667,0.13107783333333334,-0.026852875000000002,0.03496387500000003,-0.030109374999999997,wechselnde_form:4;stabile_scharfe_form:2,geordnetes_hinhoeren_mit_wechsel:4;geordnetes_hinhoeren:2
SOL 2026 Seitwaerts,dio_00ly,tragende_verarbeitung,12,rekoppelt:8;offen:4,0.07304116666666667,0.7223614166666666,0.13150183333333335,-0.023907666666666664,0.014882385416666663,-0.01760983333333333,wechselnde_form:12,geordnetes_hinhoeren_mit_wechsel:12
SOL 2026 Seitwaerts,dio_0pq6,kippnaehe,2,offen:2,0.083625,0.6626075,0.167481,-0.051405375,-0.025861437499999973,0.00711068749999999,stabile_scharfe_form:2,geordnetes_hinhoeren:2
BTC 2024 Quiet 5m,dio_00ly,tragende_verarbeitung,20,rekoppelt:18;offen:2,0.07276540000000001,0.7254793,0.1319955,-0.0453075875,0.025456012499999996,-0.0241592,wechselnde_form:16;stabile_scharfe_form:4,geordnetes_hinhoeren_mit_wechsel:16;geordnetes_hinhoeren:4
BTC 2024 Quiet 5m,dio_0pq6,tragende_verarbeitung,2,offen:2,0.064771,0.719031,0.1309165,-0.06068337500000001,0.008306624999999956,-0.0172898125,stabile_scharfe_form:2,geordnetes_hinhoeren_mit_wechsel:2
Negative Stress 2024,dio_00ly,tragende_verarbeitung,11,offen:9;rekoppelt:2,0.074398,0.713577,0.12966709090909093,-0.03816344318181818,0.02315367045454547,-0.02695344318181818,wechselnde_form:11,geordnetes_hinhoeren_mit_wechsel:11
Positive Recovery 2025,dio_00ly,tragende_verarbeitung,6,offen:4;rekoppelt:2,0.06926433333333333,0.7203594999999999,0.13032533333333332,-0.04768066666666667,0.026512666666666667,-0.031319270833333336,wechselnde_form:4;stabile_scharfe_form:2,geordnetes_hinhoeren_mit_wechsel:6
