asset,world,start_tick,end_tick,phase_role,base_sequence,compact_sensory_phase,pre_window,during_window,post_window,pre_episode_rows,pre_top_symbol_family,pre_top_episode_symbol,pre_top_mcm_episode_symbol,pre_top_preview_symbol,pre_top_meaning_state,pre_avg_carry,pre_avg_strain,pre_avg_rekopplung,pre_avg_sensory_coupling,pre_symbol_diversity,pre_meaning_diversity,pre_mapping_status,during_episode_rows,during_top_symbol_family,during_top_episode_symbol,during_top_mcm_episode_symbol,during_top_preview_symbol,during_top_meaning_state,during_avg_carry,during_avg_strain,during_avg_rekopplung,during_avg_sensory_coupling,during_symbol_diversity,during_meaning_diversity,during_mapping_status,post_episode_rows,post_top_symbol_family,post_top_episode_symbol,post_top_mcm_episode_symbol,post_top_preview_symbol,post_top_meaning_state,post_avg_carry,post_avg_strain,post_avg_rekopplung,post_avg_sensory_coupling,post_symbol_diversity,post_meaning_diversity,post_mapping_status,preview_pre_carry,preview_post_carry,family_pre_carry,family_post_carry,post_rekopplung_delta,post_strain_delta
BTC,BTC_2024_5M,5800,5900,brueckenuebergang_zum_lauten_kontakt,normale_weltspannung->lauter_feldkontakt,1,5700-5800,5800-5900,5900-6000,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.544830,0.155935,0.709869,0.852474,51,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.521329,0.164281,0.698453,0.850244,53,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.546242,0.154096,0.711003,0.854845,52,3,mapped,1,1,1,1,0.012550,-0.010185
DOGE,DOGE_2024_5M_CONTRAST,9600,9700,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0,9500-9600,9600-9700,9700-9800,100,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.551385,0.146764,0.715222,0.855221,51,2,mapped,100,dio_0m9z,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550999,0.148394,0.714878,0.858307,50,2,mapped,100,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550573,0.147198,0.714504,0.855684,56,2,mapped,1,1,0,0,-0.000374,-0.001196
DOGE,DOGE_2024_5M,9600,9700,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0,9500-9600,9600-9700,9700-9800,100,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.551385,0.146764,0.715222,0.855221,51,2,mapped,100,dio_0m9z,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550999,0.148394,0.714878,0.858307,50,2,mapped,100,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550573,0.147198,0.714504,0.855684,56,2,mapped,1,1,0,0,-0.000374,-0.001196
BTC,BTC_2024_5M,9600,9700,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,1,9500-9600,9600-9700,9700-9800,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.539673,0.157384,0.707670,0.853543,57,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.529382,0.165507,0.700788,0.846609,61,3,mapped,100,dio_0m9z,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.538163,0.161599,0.705165,0.847731,59,3,mapped,0,1,1,0,0.004377,-0.003908
BTC,BTC_2024_5M,9800,9900,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,1,9700-9800,9800-9900,9900-10000,100,dio_0m9z,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.538163,0.161599,0.705165,0.847731,59,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.530995,0.166425,0.701257,0.844897,52,3,mapped,94,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.553012,0.153387,0.714178,0.857786,46,2,mapped,1,1,0,1,0.012921,-0.013038
DOGE,DOGE_2024_5M_CONTRAST,9600,9800,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0,9400-9600,9600-9800,9800-10000,200,dio_104t,-,-,dio_mcm_episode_1jwnjz4,meaning_stable_inner_field,0.556959,0.145896,0.717442,0.855877,77,2,mapped,200,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550786,0.147796,0.714691,0.856996,76,2,mapped,194,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.555793,0.148785,0.716039,0.854829,67,2,mapped,0,1,1,1,0.001348,0.000989
DOGE,DOGE_2024_5M,9600,9800,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0,9400-9600,9600-9800,9800-10000,200,dio_104t,-,-,dio_mcm_episode_1jwnjz4,meaning_stable_inner_field,0.556959,0.145896,0.717442,0.855877,77,2,mapped,200,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.550786,0.147796,0.714691,0.856996,76,2,mapped,194,dio_104t,-,-,dio_mcm_episode_14coypf,meaning_stable_inner_field,0.555793,0.148785,0.716039,0.854829,67,2,mapped,0,1,1,1,0.001348,0.000989
XRP,XRP_2024_5M_CONTRAST,7800,7900,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0,7700-7800,7800-7900,7900-8000,100,dio_104t,-,-,dio_mcm_episode_0geqqo3,meaning_stable_inner_field,0.558150,0.140082,0.721451,0.866052,51,2,mapped,100,dio_0l7p,-,-,dio_mcm_episode_0geqqo3,meaning_stable_inner_field,0.549703,0.149244,0.713095,0.853845,55,3,mapped,100,dio_0m9z,-,-,dio_mcm_episode_0geqqo3,meaning_stable_inner_field,0.555596,0.149688,0.715711,0.849624,54,2,mapped,1,1,0,0,0.002616,0.000444
BTC,BTC_2024_5M,9600,9800,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,1,9400-9600,9600-9800,9800-10000,200,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.545948,0.156056,0.709647,0.850656,89,3,mapped,200,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.533772,0.163553,0.702976,0.847170,90,3,mapped,194,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.541663,0.160107,0.707517,0.851142,75,3,mapped,0,1,1,1,0.004541,-0.003446
DOGE,DOGE_2024_5M_CONTRAST,4900,5000,brueckenuebergang_zum_lauten_kontakt,normale_weltspannung->lauter_feldkontakt,1,4800-4900,4900-5000,5000-5100,100,dio_104t,-,-,dio_mcm_episode_0ykar6i,meaning_stable_inner_field,0.550803,0.148605,0.713669,0.851012,55,3,mapped,100,dio_155c,-,-,dio_mcm_episode_0ykar6i,meaning_stable_inner_field,0.544310,0.151853,0.709444,0.849737,54,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.542251,0.153765,0.706955,0.845110,58,2,mapped,1,0,0,0,-0.002489,0.001912
DOGE,DOGE_2024_5M,4900,5000,brueckenuebergang_zum_lauten_kontakt,normale_weltspannung->lauter_feldkontakt,1,4800-4900,4900-5000,5000-5100,100,dio_104t,-,-,dio_mcm_episode_0ykar6i,meaning_stable_inner_field,0.550803,0.148605,0.713669,0.851012,55,3,mapped,100,dio_155c,-,-,dio_mcm_episode_0ykar6i,meaning_stable_inner_field,0.544310,0.151853,0.709444,0.849737,54,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.542251,0.153765,0.706955,0.845110,58,2,mapped,1,0,0,0,-0.002489,0.001912
BTC,BTC_2024_5M,9600,10000,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,1,9200-9600,9600-10000,10000-10400,400,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.547357,0.156134,0.710021,0.849553,133,4,mapped,394,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.537658,0.161856,0.705212,0.849126,121,3,mapped,0,-,-,-,-,-,0.000000,0.000000,0.000000,0.000000,0,0,no_window_rows,0,0,1,0,-0.705212,-0.161856
BTC,BTC_2024_5M,9800,10000,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,1,9600-9800,9800-10000,10000-10200,200,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.533772,0.163553,0.702976,0.847170,90,3,mapped,194,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.541663,0.160107,0.707517,0.851142,75,3,mapped,0,-,-,-,-,-,0.000000,0.000000,0.000000,0.000000,0,0,no_window_rows,1,0,1,0,-0.707517,-0.160107
BTC,BTC_2024_5M,9700,9800,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,0,9600-9700,9700-9800,9800-9900,100,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.529382,0.165507,0.700788,0.846609,61,3,mapped,100,dio_0m9z,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.538163,0.161599,0.705165,0.847731,59,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0lfde2c,meaning_stable_inner_field,0.530995,0.166425,0.701257,0.844897,52,3,mapped,1,1,0,0,-0.003908,0.004826
XRP,XRP_2024_5M_CONTRAST,5500,5600,lauter_kontakt_bleibt_offen,lauter_feldkontakt->lauter_feldkontakt,1,5400-5500,5500-5600,5600-5700,100,dio_0m9z,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.539728,0.154283,0.705195,0.839959,71,2,mapped,100,dio_1lsu,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.543626,0.150725,0.708659,0.847745,65,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.549312,0.151194,0.710814,0.843005,57,2,mapped,1,1,0,0,0.002155,0.000469
XRP,XRP_2024_5M_CONTRAST,9200,9300,brueckenuebergang_zum_lauten_kontakt,offen_suchend->lauter_feldkontakt,1,9100-9200,9200-9300,9300-9400,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.549261,0.156527,0.707375,0.831318,55,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.552148,0.152001,0.712094,0.843805,54,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.552573,0.154541,0.710542,0.837403,55,3,mapped,1,1,1,1,-0.001552,0.002540
XRP,XRP_2024_5M_CONTRAST,5700,5800,brueckenuebergang_zum_lauten_kontakt,normale_weltspannung->lauter_feldkontakt,1,5600-5700,5700-5800,5800-5900,100,dio_104t,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.549312,0.151194,0.710814,0.843005,57,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.549092,0.153440,0.710916,0.844747,56,2,mapped,100,dio_0m9z,-,-,dio_mcm_episode_0b7nep9,meaning_stable_inner_field,0.551602,0.143758,0.716349,0.861790,55,2,mapped,1,1,1,0,0.005433,-0.009682
