world,episodes,open_share,target_count,target_share,target_share_of_open,target_symbol_variants,target_top_symbol,top_preview,target_center,target_open,target_rand,target_rekopplung,target_strain,target_sensory,target_visual_gap,target_hearing_gap
BTC2024_5M,1994,0.132397,314,0.157472,0.083333,309,dio_19h3 (2/314),dio_mcm_episode_1t5bcxp (779/1994),285,22,7,0.655592,0.163730,0.870180,0.055437,0.078701
BTC2024_15M,1994,0.111334,705,0.353561,0.315315,638,dio_1qlh (4/705),dio_mcm_episode_183drjy (705/1994),626,70,9,0.653836,0.167304,0.867737,0.057069,0.079960
BTC2024_1H,1994,0.138917,781,0.391675,0.285199,707,dio_0qck (4/781),dio_mcm_episode_1t5bcxp (936/1994),668,79,34,0.652612,0.171845,0.867522,0.057093,0.083627
SOL2024_5M,1994,0.145436,6,0.003009,0.000000,6,dio_1ba2 (1/6),dio_mcm_episode_1t5bcxp (1700/1994),5,0,1,0.662762,0.165557,0.864048,0.073892,0.076488
SOL2024_15M,1994,0.148947,510,0.255767,0.185185,491,dio_0pda (4/510),dio_mcm_episode_1t5bcxp (1047/1994),442,55,13,0.651874,0.173982,0.871119,0.055484,0.076505
SOL2024_1H,1994,0.151454,284,0.142427,0.092715,271,dio_1370 (3/284),dio_mcm_episode_1t5bcxp (1444/1994),250,28,6,0.653747,0.169597,0.870486,0.054047,0.078071
KAS2024_5M,1994,0.157472,0,0.000000,0.000000,0,-,dio_mcm_episode_1t5bcxp (1195/1994),0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
KAS2024_15M,1994,0.154463,0,0.000000,0.000000,0,-,dio_mcm_episode_1t5bcxp (1629/1994),0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000
KAS2024_1H,1994,0.155968,2,0.001003,0.000000,2,dio_1rw0 (1/2),dio_mcm_episode_1t5bcxp (1794/1994),2,0,0,0.658488,0.151467,0.872214,0.055849,0.020158
STABLE10K,9994,0.127877,6107,0.611067,0.538341,4358,dio_1xk5 (19/6107),dio_mcm_episode_183drjy (6107/9994),5190,688,229,0.658442,0.171057,0.868561,0.058651,0.081695
STRESS10K,9994,0.127777,5933,0.593656,0.498042,4192,dio_1yp1 (17/5933),dio_mcm_episode_183drjy (5933/9994),5133,636,164,0.658572,0.169046,0.867390,0.059019,0.079172
EXPANSION10K,9994,0.138983,5779,0.578247,0.480922,4204,dio_1yp1 (13/5779),dio_mcm_episode_183drjy (5779/9994),4946,668,165,0.657739,0.171334,0.868565,0.058877,0.081945
