pair,signature,events,worlds,share,pressure_delta,rekopplung_delta
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,65,3,0.613208,0.011845,-0.002485
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->rekoppelnde_lage,13,3,0.122642,-0.042096,0.010510
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->druck_lage,8,3,0.075472,0.158685,-0.058957
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->offene_lage,7,3,0.066038,0.086125,-0.033249
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->rekoppelnde_lage->rekoppelnde_lage,3,2,0.028302,-0.095666,0.020687
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->bewegungsbruch,2,2,0.018868,0.058329,-0.026434
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->rekoppelnde_lage->offene_lage,2,2,0.018868,-0.085520,0.031942
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->offene_lage->rekoppelnde_lage,2,2,0.018868,-0.024203,0.025883
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->druck_lage,1,1,0.009434,0.058178,-0.017112
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->bewegungsbruch,1,1,0.009434,-0.004002,-0.002453
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->rekoppelnde_lage,1,1,0.009434,-0.030172,0.006350
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->offene_lage->druck_lage,1,1,0.009434,0.131497,-0.011773
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->rekoppelnde_lage,12,3,0.127660,0.017770,-0.013960
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,11,3,0.117021,0.003721,0.000626
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->offene_lage->rekoppelnde_lage,9,3,0.095745,-0.005350,0.004044
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->bewegungsbruch,8,3,0.085106,0.081453,-0.023874
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->offene_lage,7,2,0.074468,0.088262,-0.031071
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->rekoppelnde_lage->rekoppelnde_lage,5,3,0.053191,-0.034782,0.006965
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,5,3,0.053191,-0.019575,-0.003620
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->rekoppelnde_lage,4,3,0.042553,0.007869,-0.002608
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->offene_lage->bewegungsbruch,4,2,0.042553,0.056146,-0.019807
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->druck_lage,3,1,0.031915,0.097319,-0.028047
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->bewegungsbruch,2,2,0.021277,0.068844,-0.018850
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->bewegungsbruch->offene_lage,2,2,0.021277,-0.086751,0.003417
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->offene_lage,2,2,0.021277,0.078576,-0.026874
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->offene_lage->offene_lage,1,1,0.010638,-0.007324,0.002072
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->druck_lage->rekoppelnde_lage,1,1,0.010638,-0.158012,0.040733
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->rekoppelnde_lage->rekoppelnde_lage,1,1,0.010638,-0.073555,0.039173
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->gehaltene_form->druck_lage,1,1,0.010638,-0.080377,0.003759
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->offene_lage->rekoppelnde_lage,1,1,0.010638,-0.072570,-0.005130
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->druck_lage->offene_lage,1,1,0.010638,-0.003678,-0.026615
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->bewegungsbruch->gehaltene_form,1,1,0.010638,-0.071485,0.020415
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->bewegungsbruch->offene_lage,1,1,0.010638,-0.005132,-0.010996
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->offene_lage->rekoppelnde_lage,1,1,0.010638,-0.064863,0.013759
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->bewegungsbruch->rekoppelnde_lage,1,1,0.010638,-0.165227,0.049457
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->offene_lage,1,1,0.010638,-0.027008,0.014619
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->rekoppelnde_lage->offene_lage,1,1,0.010638,-0.089969,0.026240
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->gehaltene_form,1,1,0.010638,0.036437,-0.022641
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->druck_lage,1,1,0.010638,-0.016068,-0.009891
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,bewegungsbruch->bewegungsbruch->rekoppelnde_lage,1,1,0.010638,-0.103057,0.032757
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->bewegungsbruch->bewegungsbruch,1,1,0.010638,0.006822,-0.018945
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->offene_lage,1,1,0.010638,-0.068801,-0.016984
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->druck_lage->rekoppelnde_lage,1,1,0.010638,-0.011399,0.009155
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,druck_lage->druck_lage->gehaltene_form,1,1,0.010638,-0.056419,0.045192
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,offene_lage->bewegungsbruch->druck_lage,1,1,0.010638,0.140197,-0.058776
