type;group;world;worlds;raw_runs;avg_total_ticks;avg_max_duration;avg_long_segments;avg_strained_segments;avg_carried_tick_share;avg_carry;avg_rekopplung;avg_strain;avg_afterimage;avg_temporal_trust;dominant_pattern;source
summary;asset_mixed_2k;GROUP;4;12;1994.0;861.25;0.25;5.0;0.9973671013039118;0.509677626922434;0.6928080518221331;0.1603338247241725;0.14883223696088263;0.5937573583249749;kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;-
summary;kurz_normal;GROUP;4;4;1994.0;1271.5;0.75;1.0;0.9994984954864594;0.5106915887662988;0.6948877429789369;0.155653847668004;0.13868675288365095;0.5918490468906721;kurz_getragen -> spannungsbruch -> lang_getragen;-
summary;kurz_stress;GROUP;4;4;1494.0;1338.75;0.5;1.25;0.9987424547283702;0.5051207544701509;0.6929036191814881;0.1563296419061006;0.13328143111275476;0.5619558640052451;lang_getragen;-
summary;lang_10k;GROUP;4;4;9994.0;4558.25;3.25;3.5;0.9996497898739244;0.5370605261907144;0.7057360212627577;0.15264174579747847;0.17303728752251352;0.7044587351911147;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;-
detail;asset_mixed_2k;BTC_2025_1H_2000;1;3;1994.0;516.0;0.0;7.0;0.9964894684052158;0.5134167622868606;0.696129777331996;0.15781916850551655;0.16882420611835505;0.6036554137412237;kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\_codex_sensesplit_axis_validate\BTC_2025_1H_2000\dio_mini_lauf_1\episodes.csv | debug\_codex_sensesplit_axis_validate\BTC_2025_1H_2000\dio_mini_lauf_2\episodes.csv | debug\_codex_sensesplit_axis_validate\BTC_2025_1H_2000\dio_mini_lauf_3\episodes.csv
detail;asset_mixed_2k;KAS_2024_1H_2000;1;3;1994.0;1348.0;1.0;4.0;0.997492477432297;0.5089251033099298;0.6917212825142093;0.16187244299565362;0.15252949899699098;0.5919027111334002;kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\_codex_sensesplit_axis_validate\KAS_2024_1H_2000\dio_mini_lauf_1\episodes.csv | debug\_codex_sensesplit_axis_validate\KAS_2024_1H_2000\dio_mini_lauf_2\episodes.csv | debug\_codex_sensesplit_axis_validate\KAS_2024_1H_2000\dio_mini_lauf_3\episodes.csv
detail;asset_mixed_2k;KAS_2024_5M_2000;1;3;1994.0;836.0;0.0;4.0;0.9979939819458375;0.5092728542293548;0.6924197769976597;0.1602790640254096;0.14199931344032093;0.5931056519558676;kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\_codex_sensesplit_axis_validate\KAS_2024_5M_2000\dio_mini_lauf_1\episodes.csv | debug\_codex_sensesplit_axis_validate\KAS_2024_5M_2000\dio_mini_lauf_2\episodes.csv | debug\_codex_sensesplit_axis_validate\KAS_2024_5M_2000\dio_mini_lauf_3\episodes.csv
detail;asset_mixed_2k;SOL_2025_5M_2000;1;3;1994.0;745.0;0.0;5.0;0.997492477432297;0.5070957878635908;0.6909613704446674;0.16136462337011034;0.13197592928786356;0.5863656564694082;kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\_codex_sensesplit_axis_validate\SOL_2025_5M_2000\dio_mini_lauf_1\episodes.csv | debug\_codex_sensesplit_axis_validate\SOL_2025_5M_2000\dio_mini_lauf_2\episodes.csv | debug\_codex_sensesplit_axis_validate\SOL_2025_5M_2000\dio_mini_lauf_3\episodes.csv
detail;kurz_normal;kontrolliert_2026_sideways_test1_2000_5m_solusdt;1;1;1994.0;1145.0;1.0;1.0;0.9994984954864594;0.5099531218655968;0.6949029122367101;0.15529579989969908;0.13813857572718155;0.5877297221664995;kurz_getragen -> spannungsbruch -> lang_getragen;debug\block_k_multiworld\kontrolliert_2026_sideways_test1_2000_5m_solusdt\dio_mini_lauf_1\episodes.csv
detail;kurz_normal;kontrolliert_btc_2025_1h_test1_2000_btcusdt;1;1;1994.0;854.0;0.0;2.0;0.9989969909729187;0.5148834483450351;0.6979195697091275;0.15397360982948846;0.16322759779338017;0.6049330010030091;kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_multiworld\kontrolliert_btc_2025_1h_test1_2000_btcusdt\dio_mini_lauf_1\episodes.csv
