name,group,run,window,tick_start,tick_end,local_role,hearing_load,visual_load,field_pressure,relief,sensory_conflict,kipp_pressure,fit,rekopplung,field_strain,field_carry,afterimage
PREVIEW_EXP_2023,preview,1,1,1,80,lokal_offen,0.19894714650000003,0.216678070375,0.19213155475000004,0.7097854635,0.02347973512499997,0.17267416938000002,0.9843189463125,0.632967725,0.1857021875,0.363474675,0.0014
PREVIEW_EXP_2023,preview,1,2,41,120,lokal_offen,0.18973778775000005,0.23100535774999997,0.19446651875000004,0.7043721565000001,0.04517256812499992,0.17821391257,0.984094946,0.6289308499999999,0.1809914125,0.3486357875,0.0014
PREVIEW_EXP_2023,preview,1,3,81,160,lokale_multisensorische_kippnaehe,0.1994340735,0.24476389775000001,0.19733043250000004,0.698208705,0.04862652675000001,0.18542671308000003,0.9752314468750001,0.625046025,0.17700565,0.33220221250000004,0.00011475000000000001
PREVIEW_EXP_2023,preview,1,4,121,200,lokale_multisensorische_kippnaehe,0.22548089825000003,0.23871128575000003,0.19919567875,0.70035888125,0.014035431249999996,0.18536223751000003,0.96709958675,0.6256791625,0.18950828749999998,0.34337070000000003,0.0005177875
PREVIEW_EXP_2023,preview,1,5,161,240,lokale_multisensorische_kippnaehe,0.21994147975,0.2387757555,0.19744908000000003,0.70901965625,0.02329314887499999,0.18490070907999998,0.9680904623750001,0.6299308375,0.20145827500000002,0.3673166625,0.0006575875
PREVIEW_EXP_2023,preview,1,6,201,280,lokal_rekoppelnd,0.17335766125000002,0.24100851724999997,0.19204230849999998,0.71362309925,0.07122766349999995,0.17997954006,0.98485921925,0.6354571875,0.18893189999999999,0.36642406250000004,0.0007651125
PREVIEW_EXP_2023,preview,1,7,241,320,lokal_rekoppelnd,0.1616159645,0.2262899165,0.189503741,0.71281901625,0.06783078575000001,0.17217168391999998,0.9955508005,0.6368341625,0.17908649999999998,0.36072735,0.000962175
PREVIEW_EXP_2023,preview,1,8,281,360,lokal_offen,0.19614011225000003,0.231099849,0.19443917975000002,0.7062210864999999,0.03843911737499997,0.17868595419000002,0.980819199125,0.6303441249999999,0.1858245875,0.35529295,0.0008783625
PREVIEW_EXP_2023,preview,1,9,321,400,lokale_multisensorische_kippnaehe,0.21794004,0.254264744,0.19989938775,0.7021578195000001,0.03689999899999998,0.19119692759,0.96379699575,0.625899575,0.1946879875,0.34839315000000004,0.00070085
PREVIEW_EXP_2023,preview,1,10,361,440,lokale_multisensorische_kippnaehe,0.22244673250000002,0.26182952425,0.20124119950000002,0.7012880315,0.04092714049999998,0.19522147592,0.959103071125,0.624857775,0.196453575,0.34593575,0.0006573
PREVIEW_EXP_2023,preview,1,11,401,480,lokal_offen,0.21892319024999998,0.2320074285,0.19806652000000002,0.70072181425,0.015628642000000015,0.18202787841999998,0.972601210625,0.6260226125,0.1885803,0.347026775,0.000582
PREVIEW_EXP_2023,preview,1,12,441,520,lokal_offen,0.19015009050000004,0.21307032325000003,0.19087755550000005,0.7050987325,0.027484110249999995,0.16988627692000002,0.989267348625,0.63221915,0.17375685000000002,0.3503358875,0.000531225
PREVIEW_EXP_2023,preview,1,13,481,560,lokal_offen,0.17224599999999998,0.20979828099999998,0.18748338475,0.70961401375,0.040471381625,0.16566006700999997,0.99646124425,0.6364855125,0.17049691250000001,0.35664521250000003,0.0008069999999999999
PREVIEW_EXP_2023,preview,1,14,521,600,lokal_offen,0.16584740950000001,0.20526032775,0.1880977815,0.7089563102499999,0.042918483249999986,0.1636480156,0.997456087125,0.6358690874999999,0.17083375,0.3548855625,0.002487425
PREVIEW_EXP_2023,preview,1,15,561,640,lokal_offen,0.16048085674999998,0.20145127599999998,0.18613628675000002,0.70795428325,0.044585687375,0.16100648506999998,0.994829779625,0.6364531875,0.1627465125,0.3502438125,0.0052206375
PREVIEW_EXP_2023,preview,1,16,601,680,lokal_rekoppelnd,0.18497157025000002,0.20266925175,0.18674441725000002,0.710674497,0.023323668999999977,0.16399357453,0.99292400625,0.6372065499999999,0.1718065125,0.361701125,0.0036611375000000002
PREVIEW_EXP_2023,preview,1,17,641,720,lokal_rekoppelnd,0.19127058450000003,0.19592466825,0.18705905500000003,0.71259324625,0.009327594374999953,0.16176053556,0.9934614286250001,0.6375324375,0.177144875,0.3688120875,0.00133685
PREVIEW_EXP_2023,preview,1,18,681,760,lokal_offen,0.20808961700000003,0.2070986735,0.19144583175000002,0.7068943765,0.0017018503750000364,0.16883798521,0.9838516865,0.6325645,0.1806602625,0.3588158875,0.0018226
PREVIEW_EXP_2023,preview,1,19,721,800,lokal_offen,0.19037797899999997,0.21562757850000003,0.188427225,0.7105578,0.026376293250000054,0.16949534172,0.98542444625,0.6362243750000001,0.17666837500000002,0.3627308625,0.0019736625
PREVIEW_EXP_2023,preview,1,20,761,840,lokal_rekoppelnd,0.16276748349999998,0.20576568925,0.1831745965,0.7170698485,0.04319087637500002,0.16130135642,0.9989080101250001,0.642047375,0.168417975,0.370437575,0.001490425
PREVIEW_EXP_2023,preview,1,21,801,880,lokal_rekoppelnd,0.17590766125,0.181440087,0.18151000000000003,0.7211496832500001,0.0062458919999999855,0.15210640230000003,0.997163874125,0.6450184625000001,0.17015675000000002,0.381716475,0.0011893
PREVIEW_EXP_2023,preview,1,22,841,920,lokal_rekoppelnd,0.202255325,0.1801249835,0.18257694075000003,0.71724582725,0.023485270250000013,0.16125661595,0.9913867865,0.6424871624999999,0.1703604875,0.37672812499999997,0.0010741499999999998
PREVIEW_EXP_2023,preview,1,23,881,960,lokal_offen,0.18709016950000001,0.20557046725,0.18514267100000004,0.71009449575,0.019221895249999982,0.16396541762,0.988812352625,0.6379564875,0.1649042,0.357076,0.0006072
