token,world,start_tick,end_tick,duration,entry_token,exit_token,role_profile,avg_rekopplung,avg_strain,avg_loudness,avg_blur,avg_tension
dio_mcm_episode_0ykar6i,DOGE_2024_5M,3236,3286,51,dio_mcm_episode_1qqnvqf,dio_mcm_episode_0b7nep9,zentrum_stabil:37; offene_variante:14,0.7066676470588236,0.15107666666666666,0.20606899999999997,0.35152792156862744,0.10599880392156863
dio_mcm_episode_0ykar6i,DOGE_2024_5M,3289,3299,11,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:10; offene_variante:1,0.7193971818181818,0.14003163636363636,0.1900589090909091,0.28819163636363637,0.09666254545454546
dio_mcm_episode_0ykar6i,DOGE_2024_5M,3339,3339,1,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:1,0.726838,0.135202,0.134856,0.24139,0.07131
dio_mcm_episode_0ykar6i,DOGE_2024_5M,3341,3341,1,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:1,0.733508,0.115726,0.107441,0.286226,0.064265
dio_mcm_episode_0ykar6i,DOGE_2024_5M,3344,3347,4,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:2; offene_variante:2,0.70145575,0.14898525,0.11909425,0.40351775,0.0722285
dio_mcm_episode_0ykar6i,DOGE_2024_5M,3350,3350,1,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:1,0.732893,0.125541,0.074999,0.266747,0.044245
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4415,4427,13,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:13,0.7205233076923077,0.13679992307692307,0.1861486153846154,0.30263138461538464,0.09343338461538461
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4672,4677,6,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:5; offene_variante:1,0.7235536666666667,0.13757966666666666,0.18599983333333334,0.23564716666666666,0.09538233333333333
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4714,4791,78,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:64; offene_variante:14,0.7113652179487179,0.14981248717948717,0.21351233333333333,0.32584661538461535,0.10686141025641027
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4794,4794,1,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:1,0.727342,0.136354,0.210457,0.300275,0.099871
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4797,4811,15,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:14; offene_variante:1,0.7137632666666666,0.1438922,0.1918018,0.3250269333333333,0.096697
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4841,4936,96,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:78; offene_variante:18,0.712793125,0.14928930208333333,0.2133746875,0.31754755208333335,0.10694292708333332
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4938,4942,5,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:4; offene_variante:1,0.7165250000000001,0.1494786,0.2130576,0.3377184,0.1082602
dio_mcm_episode_0ykar6i,DOGE_2024_5M,4955,5038,84,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:77; offene_variante:7,0.7108864404761904,0.14944267857142857,0.2361617619047619,0.29531335714285717,0.11722854761904762
dio_mcm_episode_0ykar6i,DOGE_2024_5M,5379,5395,17,dio_mcm_episode_0geqqo3,dio_mcm_episode_0b7nep9,zentrum_stabil:10; offene_variante:7,0.6873743529411764,0.15972258823529412,0.20995023529411766,0.3728955882352941,0.11147176470588235
dio_mcm_episode_0ykar6i,DOGE_2024_5M,5403,5405,3,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:3,0.7083733333333333,0.14514866666666668,0.20532433333333333,0.3205746666666667,0.10128333333333334
dio_mcm_episode_0ykar6i,DOGE_2024_5M,5407,5407,1,dio_mcm_episode_0b7nep9,dio_mcm_episode_0b7nep9,zentrum_stabil:1,0.706458,0.124052,0.091912,0.270281,0.058702
