pair,world,quality,events,share
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,bruchuebergang,11,0.354839
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,rekoppelnd_offen,7,0.225806
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,druckbruch,6,0.193548
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,druckuebergang,4,0.129032
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,rekoppelnd_stabil,2,0.064516
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_QUIET_4000,offen_rekoppelnd,1,0.032258
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,bruchuebergang,4,0.400000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,rekoppelnd_offen,3,0.300000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,rekoppelnd_stabil,1,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,druckuebergang,1,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_BTC_STRESS_4000,druckbruch,1,0.100000
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,druckuebergang,9,0.264706
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,rekoppelnd_offen,6,0.176471
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,bruchuebergang,6,0.176471
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,rekoppelnd_stabil,4,0.117647
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,LONG2025_SOL_QUIET_4000,druckbruch,4,0.117647
