phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
ruhig_vorlast,1400,0.994286,0.002143,0.000714,0.002857,0.760299,0.622143,0.119675,0.015066,0.018438,0.840297
oeffnung,1400,0.988571,0.005714,0.000714,0.005,0.758267,0.619465,0.119839,0.018778,0.022277,0.835917
bruch_impuls,1400,0.947143,0.023571,0.0,0.029286,0.744858,0.596214,0.122336,0.040698,0.054459,0.81467
randflackern,1400,0.389286,0.350714,0.001429,0.258571,0.701731,0.53012,0.149618,0.0945,0.147615,0.625509
gegenpol,1400,0.991429,0.003571,0.000714,0.004286,0.752008,0.609513,0.120291,0.03129,0.039982,0.824531
rekopplung,1400,0.996429,0.002143,0.000714,0.000714,0.759573,0.622302,0.119871,0.018275,0.022191,0.837748
ruhe_nachhall,1400,0.997143,0.001429,0.000714,0.000714,0.760752,0.623661,0.120051,0.016129,0.020171,0.839085
zweiter_kippimpuls,1000,0.994,0.003,0.001,0.002,0.748565,0.606025,0.123952,0.043181,0.061478,0.812547
zweite_rekopplung,1194,0.997487,0.002513,0.0,0.0,0.759596,0.622367,0.120292,0.018806,0.024113,0.83711
