phase,episodes,zentrum,offen,rand_kipp,rekopplungsnaehe,rekopplung,carry,strain,raw_field_intake,auditory_loudness,visual_sharpness
zweiter_kippimpuls,500,0.826,0.066,0.002,0.106,0.733741,0.56903,0.124653,0.052053,0.079168,0.804208
ruhe_nachhall,700,0.985714,0.007143,0.001429,0.005714,0.758724,0.619868,0.120865,0.019038,0.025862,0.837866
oeffnung,700,0.987143,0.008571,0.0,0.004286,0.756709,0.616733,0.12,0.020865,0.026529,0.834443
rekopplung,700,0.998571,0.0,0.001429,0.0,0.758973,0.621489,0.120419,0.020029,0.025715,0.836733
randflackern,700,0.264286,0.512857,0.004286,0.218571,0.69602,0.513461,0.151347,0.09493,0.148214,0.628295
ruhig_vorlast,700,0.994286,0.004286,0.001429,0.0,0.759763,0.622064,0.120616,0.018344,0.024649,0.838005
gegenpol,700,0.96,0.011429,0.001429,0.027143,0.747587,0.598994,0.120212,0.036315,0.050082,0.821992
bruch_impuls,700,0.982857,0.005714,0.001429,0.01,0.744665,0.597904,0.124309,0.047911,0.068568,0.807636
zweite_rekopplung,394,0.98731,0.007614,0.0,0.005076,0.755869,0.615412,0.121376,0.026856,0.039728,0.83204
