world;segments;total_ticks;max_duration;long_segments;strained_segments;carried_tick_share;avg_carry;avg_rekopplung;avg_strain;avg_afterimage;avg_temporal_trust;dominant_pattern;source
kontrolliert_2023_negative_stress_10k_5m_solusdt;5;9994;5176;3;2;0.9997998799279568;0.5374608957374425;0.7059521623974384;0.15288528467080248;0.1767536405843506;0.7068354972983791;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_10k_multiworld\kontrolliert_2023_negative_stress_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
kontrolliert_2023_positive_expansion_10k_5m_solusdt;9;9994;4514;4;4;0.9995997598559135;0.5362232078246948;0.7053783463077846;0.15301433980388232;0.1707276330798479;0.7020176854112468;lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_10k_multiworld\kontrolliert_2023_positive_expansion_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
kontrolliert_2026_sideways_10k_5m_solusdt;7;9994;5929;2;3;0.9996998198919351;0.5376194085451271;0.7057799244546729;0.15264242675605363;0.1726665869521713;0.7066567067240344;kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> kurz_getragen;debug\block_k_10k_multiworld\kontrolliert_2026_sideways_10k_5m_solusdt\dio_mini_lauf_1\episodes.csv
kontrolliert_btc_2025_5m_10k_btcusdt;11;9994;2614;4;5;0.999499699819892;0.5369385926555933;0.7058336518911347;0.1520249319591755;0.17200128947368423;0.7023250513307986;lang_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> kurz_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen -> spannungsbruch -> lang_getragen;debug\block_k_10k_multiworld\kontrolliert_btc_2025_5m_10k_btcusdt\dio_mini_lauf_1\episodes.csv
