pair,events,worlds,quality_count,top_quality,top_share,drift_quality
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,73,10,6,offen_stabil,0.342466,breit_driftend
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,78,9,5,offen_stabil,0.794872,breit_driftend
