name,group,role,contrast,field_strain,memory_load,rekopplung,world_compaction,drift,abs_drift,avg_abs_return,p95_abs_return,avg_range,p95_range,avg_volume_change,direction_change_ratio,direction_persistence
SIDEWAYS_2024,sonstige,reiz_aktiv_rekoppelnd,-0.608337,0.005030,0.011066,0.642210,3.142008,-0.021215,0.021215,0.001553,0.003894,0.002946,0.006353,0.684171,0.476954,0.523046
SIDEWAYS_2026,sonstige,nachhall_rekoppelnd,-0.599870,0.003018,0.007042,0.643330,7.742633,-0.043664,0.043664,0.003525,0.010395,0.006917,0.016076,0.542964,0.472946,0.527054
NEG_STRESS_2023,stress,reiz_aktiv_rekoppelnd,-0.614458,0.006036,0.013078,0.644143,3.416854,-0.029304,0.029304,0.001579,0.004353,0.003167,0.006923,0.946737,0.395792,0.604208
NEG_STRESS_2024,stress,reiz_aktiv_rekoppelnd,-0.595377,0.006036,0.013078,0.641425,3.370290,-0.052755,0.052755,0.001670,0.004411,0.003240,0.006465,0.624909,0.484970,0.515030
