role_family,families,members,total_follow_events,avg_seed_ratio,avg_carry,avg_strain,avg_rekopplung,top_follow_labels
rf_05,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2397,1.706192,0.516500,0.136250,0.703750,paxg2025:8;doge2025_clean:8;doge2025:8;xrp2025_clean:8;btc2025_current:8;sol2026_stable:8;btc2025_follow:7;doge2025_follow:7
rf_06,8,dio_0s8r;dio_1xme;dio_0f8s;dio_0nx9;dio_0gh3;dio_1ejq;dio_0lr0;dio_1yhs,800,2.264892,0.471750,0.176250,0.675250,paxg2025:8;doge2025_clean:8;doge2025:8;xrp2025_clean:8;btc2025_current:8;sol2026_stable:5;paxg2025_follow:3;btc2025_follow:2
rf_13,3,dio_1sub;dio_1t9l;dio_14l0,434,2.993350,0.454333,0.202000,0.652333,paxg2025:3;doge2025_clean:3;paxg2025_follow:3;doge2025:3;xrp2025_clean:3;btc2025_current:3;xrp2025_follow:2;sol2026_stable:2
rf_07,2,dio_1ewh;dio_0g2r,2342,1.608081,0.531500,0.154500,0.701500,paxg2025:2;doge2025_clean:2;paxg2025_follow:2;btc2025_follow:2;doge2025:2;xrp2025_follow:2;xrp2025_clean:2;btc2025_current:2
rf_21,2,dio_1pij;dio_1v2w,1446,3.668667,0.503000,0.183500,0.677500,paxg2025:2;doge2025_clean:2;doge2025:2;xrp2025_follow:2;xrp2025_clean:2;btc2025_current:2;sol2026_stable:2;paxg2025_follow:1
rf_10,2,dio_0jsd;dio_0ioc,435,2.974489,0.468500,0.198500,0.661000,paxg2025:2;doge2025_clean:2;doge2025:2;xrp2025_clean:2;btc2025_current:2;sol2026_stable:2;paxg2025_follow:1;doge2025_follow:1
rf_08,2,dio_0h6t;dio_1w94,307,1.722433,0.504500,0.142000,0.695500,paxg2025:2;doge2025_clean:2;doge2025:2;sol2026_stable:2;xrp2025_clean:2;btc2025_current:2;btc2025_follow:2;doge2025_follow:2
rf_17,2,dio_1udx;dio_1cmd,307,2.312988,0.444000,0.200500,0.655000,paxg2025:2;doge2025_clean:2;doge2025:2;xrp2025_clean:2;btc2025_current:2;btc2025_follow:1;sol2026_stable:1
rf_01,1,dio_00ja,1284,1.535636,0.539000,0.169000,0.697000,paxg2025:1;doge2025_clean:1;paxg2025_follow:1;btc2025_follow:1;doge2025:1;xrp2025_follow:1;xrp2025_clean:1;btc2025_current:1
rf_16,1,dio_18v0,501,2.436159,0.481000,0.191000,0.669000,paxg2025:1;doge2025_clean:1;paxg2025_follow:1;btc2025_follow:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1
rf_18,1,dio_1i76,211,2.179287,0.506000,0.173000,0.688000,paxg2025:1;doge2025_clean:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1
rf_11,1,dio_0trm,196,1.721068,0.443000,0.218000,0.645000,paxg2025:1;doge2025_clean:1;paxg2025_follow:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1
rf_15,1,dio_18po,189,1.860290,0.478000,0.182000,0.674000,paxg2025:1;doge2025_clean:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1
rf_02,1,dio_00m4,157,3.143346,0.432000,0.224000,0.633000,paxg2025:1;doge2025_clean:1;btc2025_follow:1;doge2025:1;xrp2025_follow:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1
rf_12,1,dio_13it,121,1.678039,0.455000,0.205000,0.642000,paxg2025:1;doge2025_clean:1;btc2025_follow:1;doge2025:1;xrp2025_follow:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1
rf_09,1,dio_0if9,112,3.032051,0.481000,0.162000,0.679000,paxg2025:1;doge2025_clean:1;btc2025_follow:1;doge2025:1;xrp2025_follow:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1
rf_22,1,dio_1xkg,112,1.562008,0.439000,0.208000,0.649000,paxg2025:1;doge2025_clean:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;doge2025_follow:1
rf_20,1,dio_1l7p,108,6.429572,0.436000,0.212000,0.640000,paxg2025:1;doge2025_clean:1;paxg2025_follow:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1
rf_03,1,dio_02vn,99,1.957447,0.463000,0.189000,0.654000,paxg2025:1;doge2025_clean:1;paxg2025_follow:1;btc2025_follow:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1
rf_19,1,dio_1kue,93,1.650257,0.492000,0.163000,0.677000,paxg2025:1;doge2025_clean:1;btc2025_follow:1;doge2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1
rf_04,1,dio_04i1,75,17.102662,0.419000,0.247000,0.624000,xrp2025_clean:1;paxg2025:1;btc2025_current:1;doge2025:1
rf_14,1,dio_17j2,18,1.592556,0.480000,0.139000,0.695000,xrp2025_clean:1;paxg2025:1;doge2025_clean:1;doge2025:1
