source,world,data_file,pair,events,tick_min,tick_mid,tick_max,chart_zone,dominant_movement,typology,reference_state,main_return_pct,main_range_pct,before_return_pct,after_return_pct,pressure_delta_abs_avg,rekopplung_delta_abs_avg,note,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
ASSET_ZEIT,SOL_2024_30M,data\kontrolliert_sol_2024_30m_test1_2000_SOLUSDT.csv,183drjy->1t5bcxp,6,1603,1630,1721,abverkauf_getragen,offene_uebergangszone,abverkauf_mit_bruch,known_reference_type,-3.229713,5.308841,-0.492116,0.34418,0.059744,0.014851,Abverkauf wird als Bewegungsbruch oder Druckbruch gelesen.,1,0,0,0,0,0,0
ASSET_ZEIT,SOL_2024_30M,data\kontrolliert_sol_2024_30m_test1_2000_SOLUSDT.csv,1t5bcxp->183drjy,7,1594,1631,1724,abverkauf_getragen,offene_uebergangszone,abverkauf_mit_bruch,known_reference_type,-5.078792,6.002208,-0.429785,0.412393,0.066932,0.017988,Abverkauf wird als Bewegungsbruch oder Druckbruch gelesen.,1,0,0,0,0,0,0
ASSET_ZEIT,KAS_2024_30M,data\kontrolliert_kas_2024_30m_test1_2000_KASUSDT.csv,183drjy->1t5bcxp,4,1528,1570,1897,expansion_getragen,bewegungsbruch_zone,getragene_expansion,known_reference_type,33.575069,39.063113,3.20623,1.350062,0.138771,0.029117,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
ASSET_ZEIT,SOL_2024_1H,data\kontrolliert_sol_2024_1h_test1_2000_SOLUSDT.csv,183drjy->1t5bcxp,19,929,1118,1674,expansion_getragen,offene_uebergangszone,getragene_expansion,known_reference_type,40.518749,52.613173,5.861183,1.845835,0.082388,0.014259,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
ASSET_ZEIT,SOL_2024_1H,data\kontrolliert_sol_2024_1h_test1_2000_SOLUSDT.csv,1t5bcxp->183drjy,20,933,1123,1671,expansion_getragen,offene_uebergangszone,getragene_expansion,known_reference_type,38.801476,52.602953,4.804071,2.903926,0.077712,0.016452,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
ASSET_ZEIT,BTC_2024_15M,data\kontrolliert_btc_2024_15m_test1_2000_BTCUSDT.csv,1t5bcxp->183drjy,2,1175,1175,1195,ruhige_konsolidierung,offene_uebergangszone,konsolidierung_mit_bruchnaehe,known_reference_type,-0.844699,1.456743,0.742164,0.457329,0.036316,0.013302,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,1,0,0,0,0,0,0
ASSET_ZEIT,BTC_2024_5M,data\kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,1t5bcxp->183drjy,5,1313,1794,1816,konsolidierung_mit_spannung,offene_uebergangszone,konsolidierung_mit_bruchnaehe,known_reference_type,0.250338,2.862767,0.180383,-0.115682,0.060363,0.01108,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,1,0,0,0,0,0,0
ASSET_ZEIT,SOL_2024_15M,data\kontrolliert_sol_2024_15m_test1_2000_SOLUSDT.csv,183drjy->1t5bcxp,10,1521,1639,1698,konsolidierung_mit_spannung,offene_uebergangszone,konsolidierung_mit_bruchnaehe,known_reference_type,-0.845797,7.828778,1.000104,-1.581192,0.052222,0.01511,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,1,0,0,0,0,0,0
ASSET_ZEIT,SOL_2024_5M,data\kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,1t5bcxp->183drjy,2,1979,1979,1982,ruhige_konsolidierung,offene_uebergangszone,konsolidierung_mit_bruchnaehe,known_reference_type,-0.074365,0.754276,-0.444209,-4.816587,0.068846,0.027083,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,1,0,0,0,0,0,0
ASSET_ZEIT,BTC_2024_5M,data\kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,183drjy->1t5bcxp,3,1314,1799,1815,konsolidierung_mit_spannung,druck_uebergang,konsolidierung_unter_druck,known_reference_type,0.310162,2.863132,0.138286,-0.116331,0.089113,0.010302,Seitwaerts-/Ruhefenster traegt innere Druckspannung.,1,0,0,0,0,0,0
