row_type,condition,asset,core_pairs,state_profile,quality_profile,family,phase,baseline_quality,followup_state,followup_quality,first_core_quality,second_core_quality
worldstate_core_summary,d25_1h_4000_5000,DOGE,34,fehlt_im_folgefenster:9; lokale_qualitaet_wird_offen:8; lokale_qualitaet_reproduziert:6; lokale_qualitaet_wird_nachhallnah:5; lokale_qualitaet_wird_nullnah:4; lokale_qualitaet_wird_kernnah:2,phase_nullnah:10; fehlt:9; phase_offen_gemischt:8; phase_nachhallnah_ohne_kern:5; phase_kernnah:2,,,,,,,
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_00ly,frueh,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_06er,spaet,phase_nullnah,fehlt_im_folgefenster,fehlt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_06s7,frueh,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_06s7,mitte,phase_nullnah,lokale_qualitaet_wird_nachhallnah,phase_nachhallnah_ohne_kern,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_06s7,spaet,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0dd2,frueh,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0dd2,spaet,phase_nullnah,lokale_qualitaet_wird_nachhallnah,phase_nachhallnah_ohne_kern,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0h9h,frueh,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0h9h,mitte,phase_nullnah,lokale_qualitaet_wird_nachhallnah,phase_nachhallnah_ohne_kern,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0jkk,frueh,phase_nullnah,fehlt_im_folgefenster,fehlt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0l7p,frueh,phase_nullnah,lokale_qualitaet_wird_kernnah,phase_kernnah,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0nlj,mitte,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0nlj,spaet,phase_nullnah,lokale_qualitaet_wird_nachhallnah,phase_nachhallnah_ohne_kern,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0obq,mitte,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0oc3,frueh,phase_offen_gemischt,lokale_qualitaet_wird_nullnah,phase_nullnah,phase_offen_gemischt,phase_offen_gemischt
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0oc3,spaet,phase_offen_gemischt,lokale_qualitaet_wird_nullnah,phase_nullnah,phase_offen_gemischt,phase_offen_gemischt
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0pz6,frueh,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0pz6,mitte,phase_nullnah,lokale_qualitaet_wird_offen,phase_offen_gemischt,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_0tay,spaet,phase_nullnah,lokale_qualitaet_reproduziert,phase_nullnah,phase_nullnah,phase_nullnah
worldstate_core_detail,d25_1h_4000_5000,DOGE,,,,dio_1492,frueh,phase_nullnah,fehlt_im_folgefenster,fehlt,phase_nullnah,phase_nullnah
