preview_symbol,world,rows,world_avg_afterimage,world_p90_afterimage,world_p99_afterimage,world_avg_recurrence,world_p90_recurrence,world_p99_recurrence,anchor_avg_afterimage,anchor_afterimage_vs_p90,anchor_avg_recurrence,anchor_recurrence_vs_p90,scale_reading
dio_mcm_episode_183drjy,SIDEWAYS,1994,0.001604,0.001220,0.043109,0.023752,0.166667,0.285714,0.002413,1.977869,0.042945,0.257669,rekurrenz_unter_weltskala
dio_mcm_episode_1t5bcxp,SIDEWAYS,1994,0.001604,0.001220,0.043109,0.023752,0.166667,0.285714,0.001525,1.250000,0.014881,0.089286,rekurrenz_unter_weltskala
dio_mcm_episode_02xikfk,SIDEWAYS,1994,0.001604,0.001220,0.043109,0.023752,0.166667,0.285714,0.000000,0.000000,0.000000,0.000000,anker_unter_weltskala
dio_mcm_episode_0vkdfwc,SIDEWAYS,1994,0.001604,0.001220,0.043109,0.023752,0.166667,0.285714,0.000000,0.000000,0.000000,0.000000,anker_unter_weltskala
dio_mcm_episode_183drjy,EXPANSION10K_AFTER,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.002879,0.727204,0.106681,0.373384,rekurrenz_unter_weltskala
dio_mcm_episode_1t5bcxp,EXPANSION10K_AFTER,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.001777,0.448851,0.072012,0.252042,rekurrenz_unter_weltskala
dio_mcm_episode_02xikfk,EXPANSION10K_AFTER,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.001002,0.253094,0.066806,0.233821,rekurrenz_unter_weltskala
dio_mcm_episode_0vkdfwc,EXPANSION10K_AFTER,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.001482,0.374337,0.050737,0.177580,rekurrenz_unter_weltskala
dio_mcm_episode_183drjy,STABLE10K_AFTER,9994,0.002813,0.005064,0.057269,0.097676,0.375000,0.666667,0.003282,0.648104,0.120595,0.321587,rekurrenz_unter_weltskala
dio_mcm_episode_1t5bcxp,STABLE10K_AFTER,9994,0.002813,0.005064,0.057269,0.097676,0.375000,0.666667,0.001687,0.333136,0.049774,0.132731,rekurrenz_unter_weltskala
dio_mcm_episode_02xikfk,STABLE10K_AFTER,9994,0.002813,0.005064,0.057269,0.097676,0.375000,0.666667,0.004242,0.837678,0.089590,0.238907,rekurrenz_unter_weltskala
dio_mcm_episode_0vkdfwc,STABLE10K_AFTER,9994,0.002813,0.005064,0.057269,0.097676,0.375000,0.666667,0.001523,0.300750,0.046474,0.123931,rekurrenz_unter_weltskala
dio_mcm_episode_183drjy,STRESS10K_AFTER,9994,0.003112,0.005391,0.068208,0.098867,0.375000,0.666667,0.003793,0.703580,0.126699,0.337864,rekurrenz_unter_weltskala
dio_mcm_episode_1t5bcxp,STRESS10K_AFTER,9994,0.003112,0.005391,0.068208,0.098867,0.375000,0.666667,0.001953,0.362270,0.050867,0.135645,rekurrenz_unter_weltskala
dio_mcm_episode_02xikfk,STRESS10K_AFTER,9994,0.003112,0.005391,0.068208,0.098867,0.375000,0.666667,0.002290,0.424782,0.056038,0.149435,rekurrenz_unter_weltskala
dio_mcm_episode_0vkdfwc,STRESS10K_AFTER,9994,0.003112,0.005391,0.068208,0.098867,0.375000,0.666667,0.000107,0.019848,0.021739,0.057971,anker_unter_weltskala
dio_mcm_episode_183drjy,EXPANSION10K_REPRO,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.002879,0.727204,0.106681,0.373384,rekurrenz_unter_weltskala
dio_mcm_episode_1t5bcxp,EXPANSION10K_REPRO,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.001777,0.448851,0.072012,0.252042,rekurrenz_unter_weltskala
dio_mcm_episode_02xikfk,EXPANSION10K_REPRO,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.001002,0.253094,0.066806,0.233821,rekurrenz_unter_weltskala
dio_mcm_episode_0vkdfwc,EXPANSION10K_REPRO,9994,0.002307,0.003959,0.048102,0.086104,0.285714,0.583333,0.001482,0.374337,0.050737,0.177580,rekurrenz_unter_weltskala
