asset,event_count,dominant_world,dominant_movement,dominant_window_reading,dominant_phase,avg_loudness,avg_intake,avg_sharpness,avg_rekopplung,avg_strain,avg_delta_next_rekopplung,avg_delta_next_strain,avg_raw_return,avg_range_ratio,avg_expansion_ratio,avg_direction_consistency,movement_counts,reading_counts,world_counts,response_class
BTC,9,BTC_1H_2K,bewegungsbruch,lastkontakt_entlastet,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.807921,0.459629,0.586203,0.564829,0.31252,0.095786,-0.128138,0.017879,0.067108,4.906961,0.111111,bewegungsbruch:9,lastkontakt_entlastet:9,BTC_1H_2K:5; BTC_5M_2K:4,entlastender_bruchkontakt
DOGE,9,DOGE_5M_10K,bewegungsbruch,lastkontakt_entlastet,offene_variante->spannungsrand_kippnaehe->offene_variante,0.813875,0.464957,0.53737,0.553148,0.323473,0.101828,-0.133154,-0.007587,0.037299,4.921677,0.10001,bewegungsbruch:9,lastkontakt_entlastet:9,DOGE_5M_10K:9,stark_entlastender_bruchkontakt
KAS,9,KAS_5M_2K,bewegungsbruch,lastkontakt_entlastet,offene_variante->spannungsrand_kippnaehe->offene_variante,0.735785,0.421677,0.548884,0.566794,0.302648,0.085716,-0.112279,-0.055199,0.160276,6.728902,0.085714,bewegungsbruch:9,lastkontakt_entlastet:8; rekopplung_bricht_in_last:1,KAS_5M_2K:9,entlastender_bruchkontakt
PAXG,9,PAXG_5M_10K,bewegungsbruch,lastkontakt_entlastet,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.809601,0.461313,0.594942,0.562597,0.309595,0.100909,-0.121383,-0.000107,0.007453,6.54947,0.0823,bewegungsbruch:9,lastkontakt_entlastet:9,PAXG_5M_10K:9,stark_entlastender_bruchkontakt
SOL,9,SIDEWAYS_10K,bewegungsbruch,lastkontakt_entlastet,zentrum_stabil->spannungsrand_kippnaehe->offene_variante,0.90667,0.51534,0.579735,0.545242,0.333783,0.112178,-0.142433,-0.002296,0.066006,3.839803,0.114746,bewegungsbruch:9,lastkontakt_entlastet:9,SIDEWAYS_10K:3; POS_EXPANSION_10K:3; NEG_STRESS_10K:2; SOL_5M_2K:1,stark_entlastender_bruchkontakt
XRP,9,XRP_5M_10K,bewegungsbruch,lastkontakt_entlastet,offene_variante->spannungsrand_kippnaehe->offene_variante,0.841853,0.477008,0.52075,0.549331,0.325701,0.09927,-0.127147,-0.000461,0.033008,5.428114,0.050841,bewegungsbruch:9,lastkontakt_entlastet:9,XRP_5M_10K:9,entlastender_bruchkontakt
