neighbor_token,dio1492_neighbor_stability,dio1492_link_count,dio1492_link_world_count,own_record_count,own_world_count,own_worlds,own_source_count,dominant_family_counts,dominant_role_counts,condensation_zone_counts,observations_total,avg_center_share,avg_open_share,avg_rand_share,avg_rekopplung,avg_strain,avg_neighbor_count,role_quality_reading
dio_mcm_episode_0e7qvj1,stabil_mehrweltlich,3,3,7,31,"BTC2024,BTC2024_CROSS,BTC2025_CROSS,BTC_2024_5M,BTC_FIELD,DOGE_2024_5M,DOGE_2025_5M,DOGE_FIELD,EXPANSION2023,IND_BTC_1H,IND_BTC_5M,IND_SOL_1H,IND_SOL_5M,NEG_STRESS,PAXG2024,POS_STRESS,QUIET2026,SIDEWAYS,SOL2024,SOL_2024_5M,SOL_BREAK,SOL_QUIET,STRESS2025,SYNTH_RAND,XRP2024_1H,XRP2024_5M,XRP2025_1H,XRP2025_5M,XRP_2024_5M,XRP_2025_5M,XRP_FIELD",7,dio_104t:7,zentrum_stabil:7,hoeherer_cluster_uebergang:4;rekopplungszone:3,101963,0.791927,0.199331,0.008742,0.702548,0.155037,18.428571,rekoppelnder_anschlussraum
dio_mcm_episode_1aavr7r,stabil_mehrweltlich,4,2,5,7,"BTC2025_CROSS,EXPANSION2023,NEG_STRESS,POS_STRESS,SIDEWAYS,SYNTH_BRUCH_RAND,XRP2025_5M",5,dio_1492:2;dio_05ap:1;dio_104t:1;dio_0h9h:1,zentrum_stabil:5,junge_spur:3;rekopplungszone:2,21,1.0,0.0,0.0,0.730824,0.130282,2.8,zentrumsnaher_anschlussraum
dio_mcm_episode_0a5a0d4,mehrweltlich_duenn,2,6,2,2,"PAXG_2024_5M,PAXG_FIELD",2,dio_155c:2,zentrum_stabil:2,junge_spur:2,2,1.0,0.0,0.0,0.719494,0.147347,2.0,zentrumsnaher_anschlussraum
dio_mcm_episode_0k1pid9,mehrweltlich_duenn,2,2,6,10,"BTC2025_CROSS,DOGE_2024_5M,DOGE_FIELD,IND_BTC_1H,IND_BTC_5M,IND_SOL_5M,SYNTH_BRUCH_RAND,SYNTH_RAND,XRP2025_1H,XRP2025_5M",6,dio_1fll:2;dio_1oc2:1;dio_17ct:1;dio_1rrr:1;dio_0ly7:1,zentrum_stabil:6,rekopplungszone:4;junge_spur:1;hoeherer_cluster_uebergang:1,24,0.944445,0.055556,0.0,0.711525,0.141132,4.333333,zentrumsnaher_anschlussraum
dio_mcm_episode_1pmt8u2,mehrweltlich_duenn,2,6,4,7,"DOGE_2024_5M,DOGE_FIELD,EXPANSION2023,PAXG_2025_5M,XRP_2024_5M,XRP_2025_5M,XRP_FIELD",4,dio_0l7p:3;dio_1u5i:1,zentrum_stabil:4,rekopplungszone:2;offene_bedeutungszone:1;junge_spur:1,11,1.0,0.0,0.0,0.729126,0.130633,3.5,zentrumsnaher_anschlussraum
dio_mcm_episode_1q3us3f,mehrweltlich_duenn,2,2,7,21,"BTC2025_CROSS,DOGE_2024_5M,DOGE_2025_5M,DOGE_FIELD,EXPANSION2023,IND_BTC_1H,IND_BTC_5M,IND_SOL_1H,NEG_STRESS,PAXG2024,SIDEWAYS,SOL_BREAK,STRESS2025,SYNTH_RAND,XRP2024_1H,XRP2024_5M,XRP2025_1H,XRP2025_5M,XRP_2024_5M,XRP_2025_5M,XRP_FIELD",7,dio_104t:4;dio_0pz6:2;dio_0l7p:1,zentrum_stabil:7,rekopplungszone:4;stabile_bedeutungsinsel:3,4419,0.902021,0.095594,0.002385,0.712408,0.146733,4.714286,zentrumsnaher_anschlussraum
