world,feature,fixed_state,relative_state,state_change,fixed_p95_abs,relative_p95_abs,fixed_saturation_ratio,relative_saturation_ratio,fixed_flat_ratio,relative_flat_ratio,fixed_mean_abs,relative_mean_abs
SOL_2023_5M_REAL1,sehen.form_flow,tragbar,grenznah,tragbar->grenznah,0.8606975013930185,0.9978878198534672,0.043,0.053,0.091,0.091,0.26239355328486536,0.2971388390944428
SOL_2023_5M_REAL1,sehen.form_stability,uebersteuert,uebersteuert,uebersteuert->uebersteuert,1.0,1.0,0.317,0.304,0.337,0.077,0.4898333333333333,0.5606002172544123
SOL_2023_5M_REAL1,sehen.form_change,grenznah,grenznah,grenznah->grenznah,1.0,0.9996250225553727,0.058,0.052,0.059,0.059,0.30557100202091697,0.29042204655335513
SOL_2023_5M_REAL1,hoeren.energy_tone,tragbar,grenznah,tragbar->grenznah,0.5593457515334201,0.9781145696722247,0.011,0.05,0.075,0.038,0.2125296124056316,0.3518213974426006
SOL_2023_5M_REAL1,hoeren.energy_shift,grenznah,grenznah,grenznah->grenznah,1.0,0.9999999999999972,0.062,0.062,0.212,0.212,0.35271143820959877,0.3527114382095926
SOL_2023_5M_REAL1,fuehlen.mcm_coherence,tragbar,grenznah,tragbar->grenznah,0.6964075203621365,0.9479021471483313,0.007,0.011,0.033,0.039,0.2954977396981087,0.4047300770385951
SOL_2023_5M_REAL1,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.5963025891769975,0.7087082978476742,0.002,0.009,0.004,0.002,0.24835908991335542,0.3210562623184169
SOL_2023_5M_REAL1,fuehlen.mcm_asymmetry,tragbar,tragbar,tragbar->tragbar,0.5170282202381206,0.5190731072029691,0.005,0.007,0.083,0.071,0.17819648131145943,0.18519346520603608
SOL_2024_5M_REAL1,sehen.form_flow,tragbar,grenznah,tragbar->grenznah,0.8370617159919711,0.9996439781915654,0.033,0.054,0.046,0.042,0.28926272948334364,0.33812953455825334
SOL_2024_5M_REAL1,sehen.form_stability,uebersteuert,uebersteuert,uebersteuert->uebersteuert,1.0,1.0,0.467,0.15,0.484,0.018,0.4915,0.5421457579123866
SOL_2024_5M_REAL1,sehen.form_change,grenznah,grenznah,grenznah->grenznah,0.991012915566763,0.9990471040874727,0.054,0.054,0.044,0.044,0.3397556462795561,0.3422295246383327
SOL_2024_5M_REAL1,hoeren.energy_tone,tragbar,grenznah,tragbar->grenznah,0.49083933400480484,0.9202976796551253,0.006,0.045,0.079,0.043,0.19179810453437587,0.3475554768384702
SOL_2024_5M_REAL1,hoeren.energy_shift,grenznah,grenznah,grenznah->grenznah,1.0,0.9999153524013196,0.069,0.054,0.024,0.028,0.4001686943798063,0.375789355829174
SOL_2024_5M_REAL1,fuehlen.mcm_coherence,grenznah,grenznah,grenznah->grenznah,0.9649758673398546,0.9320610366387714,0.029,0.006,0.006,0.044,0.3794689229628609,0.3824391120097285
SOL_2024_5M_REAL1,fuehlen.mcm_tension,tragbar,tragbar,tragbar->tragbar,0.5711830482457295,0.6995149886494463,0.003,0.004,0.001,0.001,0.2564064536921712,0.34667353150205343
