network_state,role_class,node_count,observations_total,worlds_total,avg_neighbor_count,avg_rekopplung,avg_strain,top_roles,top_movement_quality,top_stability_quality,top_drift_quality,top_nodes
netz_offen_verbunden,offene_brueckenrolle,37,1231,454,1.837838,-0.03861,0.046825,aufsteigende_verdichtung:32 | -:4 | brueckenkern:1,role_condensing:32 | -:4 | maturation_reifung:1,gaining_weight:32 | -:4 | kurze_mehrweltspur:1,surface_role_movement:32 | -:4 | feld_jung_instabiler_austritt:1,1jwnjz4:360 | 1q3us3f:203 | 14l8khu:154 | 0v5p8er:122 | 0w4x7xs:89 | 1ds636q:33 | 0ultars:27 | 1hs3jsa:24
netz_rekoppelnd_verbunden,rekoppelnde_brueckenrolle,32,510,274,1.6875,0.026703,-0.020958,aufsteigende_verdichtung:25 | -:4 | absteigende_entlastung:2 | schwacher_anschluss:1,role_condensing:25 | -:4 | role_releasing:2 | maturation_jung_gehalten:1,gaining_weight:25 | -:4 | losing_role_weight:2 | segment_nicht_gelesen:1,surface_role_movement:25 | -:4 | role_releasing_or_fading:2 | feld_unguelesen:1,1eju9g0:128 | 077r0df:78 | 0om13wf:75 | 1al8fjz:72 | 00dz86x:13 | 06ccuqv:12 | 0i7gfxw:8 | 1n9f8vr:8
netz_driftend_getragen,getragene_driftrolle,22,1120,492,2.181818,0.02395,-0.014202,stabile_rolle:13 | rollendrift:7 | kernnah_gehalten:2,role_stable:13 | role_drifting:7 | role_core_near_retained:2,stable_surface:13 | variable_but_carried:6 | stable_core:2 | gaining_weight:1,low_drift:15 | explicit_role_drift:7,1ahj81f:307 | 0z748ck:211 | 0qzjuvj:155 | 0db07p4:121 | 0geqqo3:78 | 0lne9ax:46 | 05lquqm:42 | 0aztxel:35
netz_fragmentiert_belastet,belastete_fragmentrolle,28,4163,1402,3.392857,-0.058689,0.062391,rollendrift:12 | stabile_rolle:10 | kernnah_gehalten:6,role_drifting:12 | role_stable:10 | role_core_near_retained:6,stable_surface:10 | variable_but_carried:8 | stable_core:6 | gaining_weight:4,low_drift:16 | explicit_role_drift:12,0e7qvj1:1474 | 18l3thm:837 | 0mji3u6:533 | 14coypf:271 | 1joiyc3:252 | 0ybr5e3:189 | 18n06fj:186 | 0jbl5pq:167
netz_zentrum_mit_anschluss,zentrumsnahe_anschlussrolle,8,7352,516,5.625,0.00183,0.005805,aufsteigende_verdichtung:4 | kernnah_gehalten:3 | absteigende_entlastung:1,role_condensing:4 | role_core_near_retained:3 | role_releasing:1,core_near_retained:7 | losing_role_weight:1,core_boundary_movement:7 | role_releasing_or_fading:1,1hdpu9s:4516 | 0b7nep9:1124 | 0ykar6i:1030 | 1jx2k4i:269 | 1xx3u1e:215 | 0hjnwsk:131 | 0l3i7ey:46 | 17c7qwp:21
netz_rekoppelnd_einzeln,einzelrekopplungsrolle,16,32,32,0.0,0.0,0.0,absteigende_entlastung:16,role_releasing:16,losing_role_weight:16,role_releasing_or_fading:16,04s5k7g:2 | 0h9ka55:2 | 0jatqr8:2 | 0jdgxa5:2 | 0mqw5s3:2 | 0n22aiv:2 | 0rz7ra9:2 | 0sxikqi:2
