pair,signature,events,worlds,share,pressure_delta,rekopplung_delta
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,40,4,0.540541,0.010388,-0.001264
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->rekoppelnde_lage,10,4,0.135135,-0.063618,0.014487
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->druck_lage,7,3,0.094595,0.140402,-0.050485
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->offene_lage,4,2,0.054054,0.054652,-0.002862
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,druck_lage->rekoppelnde_lage->rekoppelnde_lage,3,2,0.040541,-0.078967,0.049454
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->rekoppelnde_lage->bewegungsbruch,2,2,0.027027,0.074972,-0.019520
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->druck_lage,2,2,0.027027,0.080093,-0.060399
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,bewegungsbruch->rekoppelnde_lage->rekoppelnde_lage,2,1,0.027027,-0.039559,0.015225
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,1,1,0.013514,-0.084445,0.032151
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,gehaltene_form->rekoppelnde_lage->rekoppelnde_lage,1,1,0.013514,-0.039705,-0.009010
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,gehaltene_form->gehaltene_form->rekoppelnde_lage,1,1,0.013514,-0.010086,-0.012180
dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,offene_lage->rekoppelnde_lage->druck_lage,1,1,0.013514,0.122015,-0.041710
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,11,4,0.164179,-0.032887,0.007722
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->rekoppelnde_lage,7,2,0.104478,0.059606,-0.036209
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->bewegungsbruch,7,2,0.104478,0.076203,-0.024079
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->offene_lage->rekoppelnde_lage,5,2,0.074627,0.011422,-0.011669
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->druck_lage->offene_lage,4,3,0.059701,0.050758,-0.023213
dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,3,2,0.044776,-0.030580,0.025980
