world,source,start_tick,end_tick,passive_role_near,rekopplung_level,carry_level,strain_level,sensory_level,visual_gap_level,hearing_gap_level,sensory_delta,rekopplung_delta,strain_delta_next,rekopplung_delta_next,preview_carry_next,preview,family,effect_class,passive_only,influences_action,raw_form,drift_pct,abs_drift_pct,avg_abs_return_pct,avg_range_pct,max_range_pct,volume_change_pct,direction_change_ratio,direction_persistence
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3701,3800,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.016421,0.010042,0.003995,-0.006277,1,dio_mcm_episode_0e7qvj1,dio_155c,stabil,1,0,gemischte_rohwelt,-0.313261,0.313261,0.064685,0.1375,0.279183,-41.03121,0.357143,0.642857
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4101,4200,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.00505,0.006144,0.007613,-0.007397,1,dio_mcm_episode_0ykar6i,dio_0l7p,stabil,1,0,gemischte_rohwelt,-0.890869,0.890869,0.092792,0.180944,0.619408,-17.089269,0.408163,0.591837
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4301,4400,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,mid,0.005524,0.005934,0.005714,-0.005491,1,dio_mcm_episode_0ykar6i,dio_0m9z,stabil,1,0,gemischte_rohwelt,-0.675442,0.675442,0.079847,0.165964,0.555459,189.153128,0.377551,0.622449
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4501,4600,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.010224,0.007957,0.000239,0.000114,1,dio_mcm_episode_0ykar6i,dio_0m9z,stabil,1,0,gemischte_rohwelt,1.172353,1.172353,0.078697,0.152315,0.519121,-49.977239,0.418367,0.581633
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4601,4700,mischrolle_brueckennaehe_zentrumsnaehe,high,mid,low,high,low,mid,0.004676,0.000114,0.004703,-0.004385,1,dio_mcm_episode_0ykar6i,dio_0l7p,stabil,1,0,gemischte_rohwelt,-1.142066,1.142066,0.06192,0.120379,0.472606,97.053594,0.377551,0.622449
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5801,5900,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.017043,0.005433,0.003002,-0.002084,1,dio_mcm_episode_0b7nep9,dio_0m9z,stabil,1,0,gemischte_rohwelt,-0.486311,0.486311,0.048044,0.096053,0.217549,411.164075,0.418367,0.581633
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6901,7000,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.008745,0.00207,-0.001182,0.000817,1,dio_mcm_episode_0ykar6i,dio_155c,stabil,1,0,gemischte_rohwelt,-0.889749,0.889749,0.071073,0.15283,0.703262,1441.223296,0.44898,0.55102
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7201,7300,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.003643,0.001704,-0.00247,0.003089,1,dio_mcm_episode_0ykar6i,dio_0l7p,stabil,1,0,gemischte_rohwelt,-0.155824,0.155824,0.077673,0.141504,0.564752,114.630388,0.479592,0.520408
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7301,7400,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.001158,0.003089,0.010393,-0.010489,1,dio_mcm_episode_0ykar6i,dio_14wj,stabil,1,0,gemischte_rohwelt,2.128075,2.128075,0.093325,0.172152,0.423321,1.425402,0.469388,0.530612
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7601,7700,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.01354,0.004996,-0.003092,0.002951,1,dio_mcm_episode_0geqqo3,dio_104t,stabil,1,0,gemischte_rohwelt,0.322275,0.322275,0.049758,0.096644,0.282859,-2.065742,0.367347,0.632653
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7701,7800,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.004298,0.002951,0.009163,-0.008356,1,dio_mcm_episode_0geqqo3,dio_104t,stabil,1,0,gemischte_rohwelt,0.169843,0.169843,0.043615,0.091271,0.207586,198.681277,0.285714,0.714286
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,8001,8100,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.000603,6.5e-05,0.003526,-0.001988,0,dio_mcm_episode_0geqqo3,dio_104t,stabil,1,0,gemischte_rohwelt,-0.227574,0.227574,0.09014,0.166116,0.517241,122.145474,0.397959,0.602041
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,8701,8800,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.022619,0.011391,0.027733,-0.028662,0,dio_mcm_episode_0w4x7xs,dio_104t,stabil,1,0,gemischte_rohwelt,-0.859879,0.859879,0.09813,0.193691,0.549127,-12.159387,0.428571,0.571429
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,9501,9600,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,high,0.010299,0.003704,0.010361,-0.013203,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,-0.490004,0.490004,0.058272,0.115179,0.373208,-27.139613,0.377551,0.622449
XRP_2024_5M,debug\adapted_field_xrp_2024_5m_10k\dio_mini_lauf_2\episodes.csv,9901,9994,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.004449,0.001359,0.0,0.0,0,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0,gemischte_rohwelt,-0.312561,0.312561,0.069729,0.132977,0.37037,-20.102793,0.402174,0.597826
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3601,3700,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.003369,0.004975,0.002787,-0.002268,1,dio_mcm_episode_0b7nep9,dio_104t,stabil,1,0,gemischte_rohwelt,0.93423,0.93423,0.105267,0.204706,0.547741,-27.001414,0.489796,0.510204
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4201,4300,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.000887,-4.3e-05,0.001517,-0.001843,1,dio_mcm_episode_0b7nep9,dio_0l7p,stabil,1,0,gemischte_rohwelt,-1.034865,1.034865,0.105989,0.210397,0.585087,709.807012,0.377551,0.622449
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4501,4600,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.012349,0.011593,0.002371,-0.0023,1,dio_mcm_episode_0b7nep9,dio_104t,stabil,1,0,gemischte_rohwelt,1.166543,1.166543,0.10683,0.199839,0.616371,-71.144751,0.489796,0.510204
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4801,4900,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.001385,0.00171,0.003248,-0.004225,1,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0,gemischte_rohwelt,0.549176,0.549176,0.091858,0.183853,0.758706,-67.308957,0.418367,0.581633
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6901,7000,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.005886,0.00181,0.003235,-0.005774,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,-0.876859,0.876859,0.088134,0.198724,0.602178,-31.949765,0.489796,0.510204
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7101,7200,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.009285,0.007428,5.5e-05,-0.00056,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,0.671574,0.671574,0.083621,0.192209,0.479026,-47.306755,0.397959,0.602041
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7201,7300,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.001932,-0.00056,0.002631,-0.001509,0,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,0.501092,0.501092,0.079063,0.151928,0.344344,-34.995371,0.397959,0.602041
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7401,7500,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.00468,0.002308,-0.000741,-0.000751,1,dio_mcm_episode_14coypf,dio_104t,stabil,1,0,gemischte_rohwelt,-0.124938,0.124938,0.085632,0.17107,0.387597,-30.115562,0.397959,0.602041
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7501,7600,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.001802,-0.000751,-0.004471,0.004062,1,dio_mcm_episode_14coypf,dio_0l7p,stabil,1,0,gemischte_rohwelt,-0.387888,0.387888,0.06828,0.144401,0.35309,18.675967,0.397959,0.602041
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,7601,7700,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.004641,0.004062,0.011082,-0.009798,1,dio_mcm_episode_14coypf,dio_104t,stabil,1,0,gemischte_rohwelt,-0.087951,0.087951,0.057938,0.117354,0.238484,8.252737,0.377551,0.622449
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,8001,8100,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.009934,0.005538,0.003284,-0.006267,1,dio_mcm_episode_14coypf,dio_0m9z,stabil,1,0,gemischte_rohwelt,0.075978,0.075978,0.099527,0.185136,0.637674,14.915184,0.438776,0.561224
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,8301,8400,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.028891,0.017376,0.002835,-0.002295,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,-1.102629,1.102629,0.101712,0.195037,0.7504,-74.127962,0.489796,0.510204
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,8701,8800,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,mid,low,mid,0.004866,0.000429,0.009344,-0.009155,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,gemischte_rohwelt,-1.172801,1.172801,0.09463,0.175122,0.557739,68.91251,0.44898,0.55102
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,9201,9300,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.007925,0.003605,0.000141,0.000784,1,dio_mcm_episode_1jwnjz4,dio_104t,stabil,1,0,gemischte_rohwelt,0.568541,0.568541,0.07169,0.129919,0.315617,-2.849033,0.5,0.5
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,9301,9400,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.001308,0.000784,-0.000873,0.00045,1,dio_mcm_episode_1jwnjz4,dio_0l7p,stabil,1,0,gemischte_rohwelt,-0.389741,0.389741,0.074188,0.144157,0.620725,-25.185526,0.428571,0.571429
DOGE_2024_5M,debug\adapted_field_doge_2024_5m_10k\dio_mini_lauf_2\episodes.csv,9601,9700,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,high,0.003086,-0.000344,-0.001196,-0.000374,1,dio_mcm_episode_14coypf,dio_0m9z,stabil,1,0,gemischte_rohwelt,0.202455,0.202455,0.050135,0.093702,0.367927,73.189107,0.357143,0.642857
