family,transition,count_2024,count_2025,world_2023,base_total_2023,follow_total_2023,follow_range_2024,follow_range_2025,follow_range_2023,follow_hearing_2024,follow_hearing_2025,follow_hearing_2023,follow_tension_2024,follow_tension_2025,follow_tension_2023,candidate_range_delta_2425,candidate_hearing_delta_2425,candidate_tension_delta_2425,delta_2023_to_2425_range_mid,delta_2023_to_2425_hearing_mid,delta_2023_to_2425_tension_mid
dio_00pl,offen_und_gereift->nur_gereift,2,1,NEG_STRESS_2023,12,8,0.176949,0.146168,0.493629,0.021364,0.025280,0.024529,0.057090,0.056948,0.057870,0.030781,0.003916,0.000142,0.332070,0.001207,0.000851
dio_00pl,offen_und_gereift->nur_gereift,2,1,MOD_NEG_2023,12,11,0.176949,0.146168,0.304373,0.021364,0.025280,0.023029,0.057090,0.056948,0.057456,0.030781,0.003916,0.000142,0.142815,0.000293,0.000437
dio_00pl,offen_und_gereift->nur_gereift,2,1,ALTSEQ_2023,11,4,0.176949,0.146168,0.284026,0.021364,0.025280,0.023492,0.057090,0.056948,0.058378,0.030781,0.003916,0.000142,0.122468,0.000170,0.001359
dio_01hu,nur_gereift->offen_und_gereift,2,1,MOD_NEG_2023,7,10,0.095528,0.176281,0.150109,0.074019,0.076481,0.078516,0.074407,0.075978,0.076177,0.080753,0.002462,0.001571,0.014205,0.003266,0.000984
dio_01hu,nur_gereift->offen_und_gereift,2,1,ALTSEQ_2023,15,16,0.095528,0.176281,0.108041,0.074019,0.076481,0.073144,0.074407,0.075978,0.072550,0.080753,0.002462,0.001571,0.027863,0.002106,0.002642
dio_01q0,offen_und_gereift->nur_gereift,2,1,MOD_NEG_2023,9,8,0.561789,0.713075,0.310580,0.066134,0.075680,0.069595,0.075692,0.081646,0.078514,0.151286,0.009546,0.005954,0.326852,0.001312,0.000155
dio_01q0,offen_und_gereift->nur_gereift,2,1,ALTSEQ_2023,7,6,0.561789,0.713075,0.387505,0.066134,0.075680,0.070702,0.075692,0.081646,0.078905,0.151286,0.009546,0.005954,0.249927,0.000205,0.000236
dio_02x1,offen_und_gereift->nur_gereift,3,1,ALTSEQ_2023,9,2,0.491962,0.743171,0.289052,0.121398,0.128879,0.118540,0.129221,0.133526,0.129880,0.251209,0.007481,0.004305,0.328515,0.006598,0.001494
dio_033x,offen_und_gereift->nur_gereift,2,2,MOD_NEG_2023,5,5,0.962631,0.801085,0.803380,0.285056,0.260579,0.267902,0.227580,0.201859,0.218041,0.161546,0.024477,0.025721,0.078478,0.004916,0.003322
dio_04q7,offen_und_gereift->nur_gereift,2,2,ALTSEQ_2023,12,4,0.176786,0.638064,0.310465,0.041710,0.037537,0.033412,0.054562,0.053243,0.052078,0.461277,0.004173,0.001320,0.096960,0.006212,0.001824
dio_05ap,nur_gereift->offen_und_gereift,1,2,ALTSEQ_2023,13,19,0.078193,0.163165,0.180617,0.041574,0.044428,0.046575,0.047638,0.049870,0.051623,0.084972,0.002854,0.002232,0.059938,0.003574,0.002869
dio_05il,offen_und_gereift->nur_gereift,2,1,MOD_NEG_2023,2,1,1.331995,1.744890,0.583090,0.053105,0.021550,0.047694,0.104940,0.077426,0.096537,0.412895,0.031556,0.027514,0.955352,0.010367,0.005354
dio_092h,offen_und_gereift->nur_gereift,1,1,NEG_STRESS_2023,5,2,0.099108,0.801289,0.474861,0.261388,0.248758,0.264093,0.234576,0.227170,0.238900,0.702181,0.012630,0.007406,0.024662,0.009020,0.008027
dio_0d46,nur_gereift->offen_und_gereift,2,1,EXPANSION_2023,8,19,0.070259,0.313567,0.359668,0.183479,0.181688,0.179081,0.168520,0.165477,0.162881,0.243308,0.001792,0.003043,0.167755,0.003503,0.004117
dio_0dd2,nur_gereift->offen_und_gereift,1,1,NEG_STRESS_2023,41,43,0.117123,0.231740,0.189671,0.078675,0.076954,0.078582,0.076003,0.074072,0.076108,0.114617,0.001721,0.001931,0.015239,0.000768,0.001070
dio_0dsl,nur_gereift->offen_und_gereift,1,1,EXPANSION_2023,2,2,1.347739,2.139492,1.281710,0.061078,0.055360,0.063106,0.088519,0.083630,0.091526,0.791753,0.005718,0.004889,0.461906,0.004887,0.005451
dio_0dzv,nur_gereift->offen_und_gereift,1,1,MOD_NEG_2023,7,10,0.146276,0.419107,0.187992,0.079354,0.075966,0.076178,0.075991,0.073873,0.073294,0.272831,0.003388,0.002118,0.094699,0.001482,0.001638
dio_0f4r,offen_und_gereift->nur_gereift,1,3,ALTSEQ_2023,9,12,0.066443,0.399186,0.228237,0.121682,0.126709,0.130571,0.114269,0.117242,0.120744,0.332743,0.005027,0.002973,0.004577,0.006376,0.004989
dio_0fc4,nur_gereift->offen_und_gereift,1,1,NEG_STRESS_2023,3,3,0.183285,0.586490,0.448022,0.269470,0.277716,0.280431,0.244212,0.249540,0.251760,0.403205,0.008246,0.005328,0.063134,0.006838,0.004884
dio_0ioc,nur_gereift->offen_und_gereift,1,1,NEG_STRESS_2023,1,3,0.226721,0.367477,0.272399,0.213629,0.218581,0.215637,0.191962,0.199191,0.193644,0.140756,0.004952,0.007229,0.024700,0.000468,0.001932
dio_0lbk,offen_und_gereift->nur_gereift,1,1,MOD_NEG_2023,2,4,0.174006,0.909918,0.432486,0.005926,0.000936,0.008148,0.047378,0.058725,0.042596,0.735912,0.004990,0.011347,0.109476,0.004717,0.010455
dio_0lg0,offen_und_gereift->nur_gereift,1,1,NEG_STRESS_2023,4,2,0.236407,1.067138,1.130192,0.118549,0.139108,0.096938,0.129207,0.145629,0.122074,0.830731,0.020559,0.016422,0.478420,0.031891,0.015344
dio_0lr0,offen_und_gereift->nur_gereift,2,1,NEG_STRESS_2023,3,1,0.579072,1.345798,0.390117,0.137416,0.110070,0.100831,0.135126,0.122054,0.109704,0.766726,0.027346,0.013072,0.572318,0.022912,0.018886
dio_0ly7,nur_gereift->offen_und_gereift,1,1,ALTSEQ_2023,9,12,0.133903,0.283992,0.194509,0.044390,0.046445,0.043201,0.050395,0.051618,0.049639,0.150089,0.002055,0.001223,0.014439,0.002216,0.001367
dio_0m49,nur_gereift->offen_und_gereift,3,3,MOD_NEG_2023,7,10,0.188877,0.242739,0.170757,0.187676,0.186421,0.178357,0.175736,0.175667,0.171916,0.053862,0.001256,0.000070,0.045051,0.008692,0.003785
