category,item,shift_count,control_count,shift_share,control_share,share_delta
symbol_family,dio_0m9z,5,2,0.294118,0.117647,0.176471
symbol_family,dio_01qc,0,1,0.000000,0.058824,-0.058824
symbol_family,dio_0ipc,0,1,0.000000,0.058824,-0.058824
symbol_family,dio_0l7p,1,2,0.058824,0.117647,-0.058824
symbol_family,dio_0rkf,0,1,0.000000,0.058824,-0.058824
symbol_family,dio_0ypg,1,0,0.058824,0.000000,0.058824
symbol_family,dio_14wj,0,1,0.000000,0.058824,-0.058824
symbol_family,dio_155c,0,1,0.000000,0.058824,-0.058824
symbol_family,dio_1lsu,1,0,0.058824,0.000000,0.058824
symbol_family,dio_1q7h,1,0,0.058824,0.000000,0.058824
symbol_family,dio_104t,8,8,0.470588,0.470588,0.000000
mcm_preview_symbol,dio_mcm_episode_1joiyc3,0,8,0.000000,0.470588,-0.470588
mcm_preview_symbol,dio_mcm_episode_14coypf,4,0,0.235294,0.000000,0.235294
mcm_preview_symbol,dio_mcm_episode_0lfde2c,3,0,0.176471,0.000000,0.176471
mcm_preview_symbol,dio_mcm_episode_0b7nep9,2,0,0.117647,0.000000,0.117647
mcm_preview_symbol,dio_mcm_episode_0e7qvj1,3,5,0.176471,0.294118,-0.117647
mcm_preview_symbol,dio_mcm_episode_0geqqo3,1,0,0.058824,0.000000,0.058824
mcm_preview_symbol,dio_mcm_episode_183drjy,1,0,0.058824,0.000000,0.058824
mcm_preview_symbol,dio_mcm_episode_1ahj81f,0,1,0.000000,0.058824,-0.058824
mcm_preview_symbol,dio_mcm_episode_1eju9g0,1,0,0.058824,0.000000,0.058824
mcm_preview_symbol,dio_mcm_episode_1hdpu9s,1,0,0.058824,0.000000,0.058824
mcm_preview_symbol,dio_mcm_episode_1jx2k4i,0,1,0.000000,0.058824,-0.058824
mcm_preview_symbol,dio_mcm_episode_1t5bcxp,0,1,0.000000,0.058824,-0.058824
mcm_preview_symbol,-,1,1,0.058824,0.058824,0.000000
meaning_state,-,1,1,0.058824,0.058824,0.000000
meaning_state,meaning_stable_inner_field,16,16,0.941176,0.941176,0.000000
