source,target,direction_type,outside_token,outside_path_class,outside_zone,outside_role,relation,edge_kind,count,worlds,duration_avg,exit_phase,exit_rekopplung_delta_avg,exit_strain_delta_avg
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,kern_zu_aussen,dio_mcm_episode_18l3thm,brueckenpfad,stabile_bedeutungsinsel,zentrum_stabil,austritt,bruecke_zu_bruecke,23,5,42.347826,rekoppelnder_austritt,0.002303,-0.012668
dio_mcm_episode_0e7qvj1,dio_mcm_episode_18l3thm,kern_zu_aussen,dio_mcm_episode_18l3thm,brueckenpfad,stabile_bedeutungsinsel,zentrum_stabil,eintritt,bruecke_zu_bruecke,23,5,47.217391,oeffnend_belastender_austritt,-0.038477,0.046915
dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,aussen_zu_kern,dio_mcm_episode_18l3thm,brueckenpfad,stabile_bedeutungsinsel,zentrum_stabil,eintritt,bruecke_zu_bruecke,19,5,237.736842,gemischter_austritt,-0.036732,-0.012484
dio_mcm_episode_18l3thm,dio_mcm_episode_0e7qvj1,aussen_zu_kern,dio_mcm_episode_18l3thm,brueckenpfad,stabile_bedeutungsinsel,zentrum_stabil,austritt,bruecke_zu_bruecke,19,5,26.473684,oeffnend_belastender_austritt,-0.055124,0.068123
dio_mcm_episode_0mji3u6,dio_mcm_episode_0e7qvj1,kern_intern,-,-,-,-,eintritt,bruecke_zu_bruecke,11,5,683.727273,oeffnend_belastender_austritt,-0.077492,0.009061
dio_mcm_episode_0mji3u6,dio_mcm_episode_0e7qvj1,kern_intern,-,-,-,-,austritt,bruecke_zu_bruecke,11,5,8.909091,rekoppelnder_austritt,0.00254,-0.004263
dio_mcm_episode_0z748ck,dio_mcm_episode_0e7qvj1,aussen_zu_kern,dio_mcm_episode_0z748ck,stabile_insel,stabile_bedeutungsinsel,zentrum_stabil,eintritt,aussen_zu_bruecke,10,5,128.1,oeffnend_belastender_austritt,-0.02494,0.021623
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1jwnjz4,kern_zu_aussen,dio_mcm_episode_1jwnjz4,rekoppelnder_pfad,rekopplungszone,zentrum_stabil,austritt,bruecke_zu_aussen,7,1,28.285714,oeffnend_belastender_austritt,-0.003341,0.000688
dio_mcm_episode_1jwnjz4,dio_mcm_episode_0e7qvj1,aussen_zu_kern,dio_mcm_episode_1jwnjz4,rekoppelnder_pfad,rekopplungszone,zentrum_stabil,eintritt,aussen_zu_bruecke,6,1,10.833333,oeffnend_belastender_austritt,-0.005031,0.00124
dio_mcm_episode_1hdpu9s,dio_mcm_episode_0e7qvj1,aussen_zu_kern,dio_mcm_episode_1hdpu9s,stabile_insel,stabile_bedeutungsinsel,zentrum_stabil,eintritt,aussen_zu_bruecke,6,2,14.166667,oeffnend_belastender_austritt,-0.038872,0.033746
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mji3u6,kern_intern,-,-,-,-,austritt,bruecke_zu_bruecke,6,4,4.5,oeffnend_belastender_austritt,-0.023049,0.043685
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mji3u6,kern_intern,-,-,-,-,eintritt,bruecke_zu_bruecke,6,4,6.666667,rekoppelnder_austritt,0.014141,-0.011791
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1hdpu9s,kern_zu_aussen,dio_mcm_episode_1hdpu9s,stabile_insel,stabile_bedeutungsinsel,zentrum_stabil,austritt,bruecke_zu_aussen,6,2,26.666667,gemischter_austritt,-0.005101,-0.001273
dio_mcm_episode_18n06fj,dio_mcm_episode_0mji3u6,aussen_zu_kern,dio_mcm_episode_18n06fj,brueckenpfad,hoeherer_cluster_uebergang,zentrum_stabil,eintritt,bruecke_zu_bruecke,4,3,9.5,oeffnend_belastender_austritt,-0.01539,0.014754
dio_mcm_episode_18n06fj,dio_mcm_episode_0mji3u6,aussen_zu_kern,dio_mcm_episode_18n06fj,brueckenpfad,hoeherer_cluster_uebergang,zentrum_stabil,austritt,bruecke_zu_bruecke,4,3,3.0,oeffnend_belastender_austritt,-0.026,0.01644
dio_mcm_episode_0lfde2c,dio_mcm_episode_0e7qvj1,aussen_zu_kern,dio_mcm_episode_0lfde2c,rekoppelnder_pfad,rekopplungszone,zentrum_stabil,eintritt,aussen_zu_bruecke,2,1,266.5,oeffnend_belastender_austritt,-0.03427,0.025215
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1ggl8cd,kern_zu_aussen,dio_mcm_episode_1ggl8cd,unbekannt,unbekannt,unbekannt,austritt,bruecke_zu_aussen,2,2,2011.0,rekoppelnder_austritt,0.031548,-0.036689
dio_mcm_episode_10b8y4e,dio_mcm_episode_0mji3u6,aussen_zu_kern,dio_mcm_episode_10b8y4e,unbekannt,unbekannt,unbekannt,eintritt,aussen_zu_bruecke,1,1,20.0,rekoppelnder_austritt,0.00465,-0.035167
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1pmt8u2,kern_zu_aussen,dio_mcm_episode_1pmt8u2,junge_oberflaeche,junge_spur,zentrum_stabil,austritt,bruecke_zu_aussen,1,1,1985.0,rekoppelnder_austritt,0.002605,-0.004254
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0mw7rev,kern_zu_aussen,dio_mcm_episode_0mw7rev,randpfad,randnahe_verdichtung,spannungsrand_kippnaehe,austritt,bruecke_zu_aussen,1,1,25.0,oeffnend_belastender_austritt,-0.203185,0.22207
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0lfde2c,kern_zu_aussen,dio_mcm_episode_0lfde2c,rekoppelnder_pfad,rekopplungszone,zentrum_stabil,austritt,bruecke_zu_aussen,1,1,1.0,oeffnend_belastender_austritt,-0.083614,0.065613
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0jdgxa5,kern_zu_aussen,dio_mcm_episode_0jdgxa5,unbekannt,unbekannt,unbekannt,austritt,bruecke_zu_aussen,1,1,2007.0,oeffnend_belastender_austritt,-0.023727,0.04826
dio_mcm_episode_0e7qvj1,dio_mcm_episode_0n22aiv,kern_zu_aussen,dio_mcm_episode_0n22aiv,unbekannt,unbekannt,unbekannt,austritt,bruecke_zu_aussen,1,1,1753.0,oeffnend_belastender_austritt,-0.026727,0.033136
dio_mcm_episode_0e7qvj1,dio_mcm_episode_19dxnmz,kern_zu_aussen,dio_mcm_episode_19dxnmz,unbekannt,unbekannt,unbekannt,austritt,bruecke_zu_aussen,1,1,581.0,oeffnend_belastender_austritt,-0.153692,0.173211
dio_mcm_episode_0e7qvj1,dio_mcm_episode_19w9kxc,kern_zu_aussen,dio_mcm_episode_19w9kxc,unbekannt,unbekannt,unbekannt,austritt,bruecke_zu_aussen,1,1,750.0,oeffnend_belastender_austritt,-0.173938,0.218916
dio_mcm_episode_0e7qvj1,dio_mcm_episode_1ej5zl7,kern_zu_aussen,dio_mcm_episode_1ej5zl7,unbekannt,unbekannt,unbekannt,austritt,bruecke_zu_aussen,1,1,532.0,rekoppelnder_austritt,0.015073,-0.015183
