timeframe,pair,events,worlds,top_passive_quality,top_share,quality_profile,top_signature,top_signature_share,drift_label
1h,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,103,4,eng_getragen,0.553398,"eng_getragen:57; breit_driftend:28; fragmentiert:18",rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,0.553398,wiederkehrend_variabel
1h,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,97,4,fragmentiert,0.639175,"fragmentiert:62; breit_driftend:25; eng_getragen:10",rekoppelnde_lage->bewegungsbruch->rekoppelnde_lage,0.134021,lokal_offen
15m,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,91,4,eng_getragen,0.637363,"eng_getragen:58; breit_driftend:23; fragmentiert:10",rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,0.637363,wiederkehrend_stabil
15m,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,80,4,fragmentiert,0.475000,"fragmentiert:38; breit_driftend:32; eng_getragen:9; offen_driftend:1",rekoppelnde_lage->offene_lage->rekoppelnde_lage,0.150000,lokal_offen
5m,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,79,4,eng_getragen,0.607595,"eng_getragen:48; breit_driftend:24; fragmentiert:7",rekoppelnde_lage->rekoppelnde_lage->rekoppelnde_lage,0.607595,wiederkehrend_stabil
5m,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,69,4,fragmentiert,0.536232,"fragmentiert:37; breit_driftend:26; eng_getragen:6",rekoppelnde_lage->druck_lage->bewegungsbruch,0.130435,lokal_offen
