worldlage_sequence,occurrences,dominant_outcome,outcome_counts,avg_delta_zentrum,avg_delta_rand,avg_delta_rekopplung,avg_delta_strain,passive_only,influences_action
normale_weltspannung->normale_weltspannung,64,beruhigend,beruhigend:44;neutral:20,0.007305,-0.003047,0.000861,-0.001195,1,0
ueberstabil_extrem_leise_scharf->ueberstabil_extrem_leise_scharf,33,neutral,neutral:33,0.0,-7.6e-05,5e-06,-7e-06,1,0
offen_suchend->offen_suchend,29,beruhigend,beruhigend:26;neutral:3,0.009138,-0.00431,0.001282,-0.001738,1,0
offen_suchend->normale_weltspannung,17,beruhigend,beruhigend:10;neutral:7,0.007794,-0.002794,0.000844,-0.001163,1,0
normale_weltspannung->offen_suchend,15,beruhigend,beruhigend:14;neutral:1,0.008,-0.004333,0.001204,-0.001646,1,0
ruhig_zentrumsnah->normale_weltspannung,10,beruhigend,beruhigend:8;neutral:2,0.00875,-0.003,0.000829,-0.001147,1,0
normale_weltspannung->randlastige_sinneslage,8,beruhigend,beruhigend:8,0.009063,-0.0075,0.001327,-0.001822,1,0
normale_weltspannung->ruhig_zentrumsnah,8,neutral,neutral:7;beruhigend:1,0.005625,-0.000625,0.000576,-0.000796,1,0
randlastige_sinneslage->offen_suchend,8,beruhigend,beruhigend:5;neutral:3,0.006875,-0.003438,0.001237,-0.001662,1,0
normale_weltspannung->lauter_feldkontakt,7,neutral,neutral:5;beruhigend:2,0.011786,-0.000714,0.001015,-0.00143,1,0
randlastige_sinneslage->randlastige_sinneslage,6,beruhigend,beruhigend:6,0.002917,-0.050417,0.001158,-0.001736,1,0
lauter_feldkontakt->normale_weltspannung,4,beruhigend,beruhigend:3;neutral:1,0.01125,-0.00375,0.001049,-0.001458,1,0
offen_suchend->randlastige_sinneslage,4,beruhigend,beruhigend:4,0.00375,-0.010625,0.001498,-0.002031,1,0
randlastige_sinneslage->normale_weltspannung,4,beruhigend,beruhigend:4,0.009375,-0.004375,0.000785,-0.001064,1,0
randlastige_sinneslage->ueberstabil_mit_randreiz,3,neutral,neutral:2;stabil_leicht:1,0.0,-0.016667,0.000314,-0.000478,1,0
ruhig_zentrumsnah->ruhig_zentrumsnah,3,neutral,neutral:3,0.011667,0.0,0.000753,-0.001051,1,0
ueberstabil_extrem_leise_scharf->ueberstabil_mit_randreiz,3,beruhigend,beruhigend:2;neutral:1,0.0,-0.033333,0.000705,-0.001075,1,0
ueberstabil_mit_randreiz->randlastige_sinneslage,3,beruhigend,beruhigend:3,0.0,-0.06,0.001141,-0.001741,1,0
ueberstabil_mit_randreiz->ueberstabil_extrem_leise_scharf,3,neutral,neutral:3,0.0,0.0,0.0,0.0,1,0
lauter_feldkontakt->lauter_feldkontakt,2,neutral,neutral:1;beruhigend:1,0.01375,-0.00375,0.00144,-0.002047,1,0
lauter_feldkontakt->offen_suchend,2,beruhigend,beruhigend:1;neutral:1,0.0025,-0.00125,0.001148,-0.00155,1,0
offen_suchend->ruhig_zentrumsnah,2,neutral,neutral:2,0.005,0.0,0.000468,-0.000658,1,0
ruhig_zentrumsnah->offen_suchend,2,beruhigend,beruhigend:1;neutral:1,0.0075,-0.0025,0.001295,-0.001809,1,0
leise_duenn->ruhig_zentrumsnah,1,neutral,neutral:1,0.005,0.0,0.000605,-0.000801,1,0
normale_weltspannung->leise_duenn,1,neutral,neutral:1,0.0025,0.0,0.00066,-0.000827,1,0
ruhig_zentrumsnah->ueberstabil_extrem_leise_scharf,1,neutral,neutral:1,0.0,0.0,3e-05,-4.8e-05,1,0
ueberstabil_extrem_leise_scharf->ueberstabil_gemischt,1,neutral,neutral:1,0.0,-0.0025,8.2e-05,-0.000124,1,0
ueberstabil_gemischt->ruhig_zentrumsnah,1,neutral,neutral:1,0.0,0.0,0.0,0.0,1,0
ueberstabil_gemischt->ueberstabil_gemischt,1,neutral,neutral:1,0.0,0.0,0.0,0.0,1,0
