worldlage_sequence,occurrences,dominant_outcome,outcome_counts,avg_delta_zentrum,avg_delta_rand,avg_delta_rekopplung,avg_delta_strain,passive_only,influences_action
normale_weltspannung->normale_weltspannung,83,neutral,neutral:53;beruhigend:30,0.007229,-0.002229,0.000804,-0.001115,1,0
ueberstabil_extrem_leise_scharf->ueberstabil_extrem_leise_scharf,75,neutral,neutral:75,0.0,-6.7e-05,4e-06,-6e-06,1,0
offen_suchend->offen_suchend,37,neutral,neutral:23;beruhigend:14,0.009459,-0.002027,0.001238,-0.001656,1,0
offen_suchend->normale_weltspannung,30,beruhigend,beruhigend:15;neutral:15,0.007833,-0.003,0.000862,-0.001183,1,0
normale_weltspannung->offen_suchend,25,beruhigend,beruhigend:17;neutral:8,0.0076,-0.0042,0.001153,-0.001577,1,0
randlastige_sinneslage->randlastige_sinneslage,25,beruhigend,beruhigend:25,0.003,-0.039,0.001318,-0.001906,1,0
randlastige_sinneslage->offen_suchend,23,beruhigend,beruhigend:14;neutral:9,0.008261,-0.003696,0.00121,-0.001634,1,0
offen_suchend->randlastige_sinneslage,22,beruhigend,beruhigend:20;neutral:2,0.006818,-0.010227,0.001523,-0.002083,1,0
normale_weltspannung->ruhig_zentrumsnah,20,neutral,neutral:18;beruhigend:2,0.0065,-0.0005,0.000539,-0.000758,1,0
normale_weltspannung->lauter_feldkontakt,17,beruhigend,beruhigend:9;neutral:8,0.011176,-0.003824,0.001185,-0.001666,1,0
randlastige_sinneslage->normale_weltspannung,17,beruhigend,beruhigend:11;neutral:6,0.009412,-0.003824,0.000936,-0.001291,1,0
ruhig_zentrumsnah->normale_weltspannung,17,neutral,neutral:15;beruhigend:2,0.009412,-0.000588,0.000852,-0.001193,1,0
ruhig_zentrumsnah->ruhig_zentrumsnah,15,neutral,neutral:13;stabil_leicht:1;beruhigend:1,0.005667,-0.000667,0.000454,-0.000641,1,0
normale_weltspannung->randlastige_sinneslage,13,beruhigend,beruhigend:12;neutral:1,0.009615,-0.008846,0.001195,-0.001653,1,0
lauter_feldkontakt->normale_weltspannung,9,beruhigend,beruhigend:5;neutral:4,0.007778,-0.003889,0.001034,-0.001438,1,0
lauter_feldkontakt->offen_suchend,8,beruhigend,beruhigend:5;neutral:3,0.005,-0.004375,0.001184,-0.001602,1,0
lauter_feldkontakt->lauter_feldkontakt,7,beruhigend,beruhigend:5;neutral:2,0.010714,-0.004286,0.001254,-0.001765,1,0
ruhig_zentrumsnah->offen_suchend,5,beruhigend,beruhigend:3;neutral:2,0.008,-0.004,0.001191,-0.001643,1,0
ruhig_zentrumsnah->randlastige_sinneslage,5,beruhigend,beruhigend:5,0.005,-0.009,0.001228,-0.001733,1,0
lauter_feldkontakt->randlastige_sinneslage,4,beruhigend,beruhigend:4,0.01,-0.01,0.001035,-0.001446,1,0
leise_duenn->ruhig_zentrumsnah,4,neutral,neutral:4,0.00375,0.0,0.000569,-0.000758,1,0
offen_suchend->ruhig_zentrumsnah,4,neutral,neutral:3;beruhigend:1,0.01,-0.00125,0.00051,-0.000706,1,0
ruhig_zentrumsnah->lauter_feldkontakt,4,neutral,neutral:3;beruhigend:1,0.01,-0.00125,0.00107,-0.001494,1,0
randlastige_sinneslage->ruhig_zentrumsnah,3,neutral,neutral:3,0.005,0.0,0.000475,-0.00067,1,0
randlastige_sinneslage->ueberstabil_mit_randreiz,3,beruhigend,beruhigend:3,0.0,-0.033333,0.000628,-0.000957,1,0
ruhig_zentrumsnah->leise_duenn,3,neutral,neutral:3,0.006667,0.0,0.000722,-0.000953,1,0
ueberstabil_extrem_leise_scharf->ueberstabil_mit_randreiz,3,beruhigend,beruhigend:3,0.0,-0.026667,0.000646,-0.000984,1,0
ueberstabil_mit_randreiz->randlastige_sinneslage,3,beruhigend,beruhigend:3,0.0,-0.06,0.00114,-0.001741,1,0
ueberstabil_mit_randreiz->ueberstabil_extrem_leise_scharf,3,neutral,neutral:3,0.0,0.0,0.0,0.0,1,0
leise_duenn->normale_weltspannung,2,neutral,neutral:2,0.0075,0.0,0.000881,-0.001199,1,0
normale_weltspannung->leise_duenn,2,neutral,neutral:2,0.0025,0.0,0.000757,-0.000981,1,0
offen_suchend->lauter_feldkontakt,2,beruhigend,beruhigend:2,0.0075,-0.005,0.001466,-0.002025,1,0
lauter_feldkontakt->ruhig_zentrumsnah,1,neutral,neutral:1,0.025,0.0,0.000663,-0.00097,1,0
leise_duenn->leise_duenn,1,neutral,neutral:1,0.01,0.0,0.000596,-0.000787,1,0
offen_suchend->leise_duenn,1,neutral,neutral:1,0.005,0.0,0.000728,-0.000982,1,0
ruhig_zentrumsnah->ueberstabil_extrem_leise_scharf,1,neutral,neutral:1,0.0,0.0,6e-05,-9.6e-05,1,0
ruhig_zentrumsnah->ueberstabil_gemischt,1,neutral,neutral:1,0.0,0.0,0.0,0.0,1,0
ueberstabil_extrem_leise_scharf->ruhig_zentrumsnah,1,neutral,neutral:1,0.0,-0.005,0.000166,-0.000247,1,0
ueberstabil_gemischt->ruhig_zentrumsnah,1,neutral,neutral:1,0.0,0.0,0.0,0.0,1,0
ueberstabil_gemischt->ueberstabil_gemischt,1,neutral,neutral:1,0.0,0.0,0.0,0.0,1,0
