world,transition,from_role,to_role,start_tick,previous_duration,current_duration,current_raw_field_intake,current_rekopplung,current_strain
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,10,9,1,0.047698,0.714978,0.106309
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,11,1,6,0.1033315,0.666581,0.16157616666666666
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,17,6,2,0.0630395,0.712316,0.11134
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,19,2,1,0.139802,0.671985,0.160073
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,20,1,1,0.064482,0.709202,0.114719
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,21,1,11,0.09269863636363636,0.6727715454545454,0.15618218181818183
SOL_QUIET_1H,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,32,11,1,0.429584,0.585892,0.287011
SOL_QUIET_1H,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,33,1,1,0.162712,0.644112,0.192443
SOL_QUIET_1H,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,34,1,1,0.261437,0.588576,0.270023
SOL_QUIET_1H,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,35,1,34,0.11071944117647059,0.6599485882352941,0.17067114705882355
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,69,34,1,0.065071,0.704154,0.119911
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,70,1,8,0.1316065,0.66469325,0.169756625
SOL_QUIET_1H,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,78,8,1,0.432305,0.5971,0.260085
SOL_QUIET_1H,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,79,1,2,0.158365,0.6732315,0.163182
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,81,2,1,0.077411,0.703995,0.120762
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,82,1,10,0.1325509,0.6645152999999999,0.1689679
SOL_QUIET_1H,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,92,10,1,0.306686,0.597628,0.259569
SOL_QUIET_1H,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,93,1,4,0.1327925,0.65079625,0.18499000000000002
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,97,4,1,0.060847,0.713147,0.116883
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,98,1,1,0.070971,0.68907,0.13992
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,99,1,1,0.054403,0.702928,0.13112
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,100,1,2,0.11647550000000001,0.6777439999999999,0.1544535
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,102,2,1,0.040954,0.711038,0.108765
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,103,1,12,0.13770849999999998,0.6653300833333333,0.17027808333333336
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,115,12,1,0.128373,0.705184,0.124886
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,116,1,17,0.11166164705882353,0.6801005294117647,0.15350611764705882
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,133,17,1,0.102132,0.713664,0.123571
SOL_QUIET_1H,rekopplungsnaehe->spannungsrand_kippnaehe,rekopplungsnaehe,spannungsrand_kippnaehe,134,1,1,0.485287,0.547402,0.328353
SOL_QUIET_1H,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,135,1,5,0.1245302,0.666626,0.17141420000000002
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,140,5,1,0.084348,0.715289,0.122925
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,141,1,3,0.146532,0.6893763333333333,0.15148133333333333
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,144,3,1,0.092339,0.705896,0.130975
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,145,1,5,0.1147052,0.6727756,0.1666388
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,150,5,1,0.071464,0.70648,0.130539
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,151,1,3,0.129293,0.6812693333333333,0.16541766666666666
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,154,3,1,0.035833,0.706058,0.113018
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,155,1,1,0.05834,0.689501,0.13588
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,156,1,3,0.052642333333333326,0.705739,0.12333866666666667
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,159,3,2,0.2084795,0.6571180000000001,0.18218800000000002
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,161,2,1,0.085841,0.713895,0.130557
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,162,1,2,0.1256505,0.683528,0.151373
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,164,2,1,0.106812,0.706687,0.143175
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,165,1,1,0.171685,0.683563,0.147938
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,166,1,2,0.053622,0.7075815000000001,0.123725
SOL_QUIET_1H,rekopplungsnaehe->zentrum_stabil,rekopplungsnaehe,zentrum_stabil,168,2,1,0.075454,0.717927,0.131744
SOL_QUIET_1H,zentrum_stabil->rekopplungsnaehe,zentrum_stabil,rekopplungsnaehe,169,1,1,0.099568,0.711241,0.134829
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,170,1,5,0.1373566,0.6890814,0.1473154
SOL_QUIET_1H,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,175,5,1,0.355664,0.582961,0.27699
SOL_QUIET_1H,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,176,1,4,0.1484725,0.661324,0.177169
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,180,4,2,0.070202,0.7157735000000001,0.131955
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,182,2,2,0.133859,0.691961,0.147595
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,184,2,2,0.0801625,0.7174815,0.13904899999999998
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,186,2,2,0.1419055,0.6961315,0.14505400000000002
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,188,2,1,0.079998,0.717943,0.143158
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,189,1,2,0.27026150000000004,0.6378745,0.210227
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,191,2,1,0.0627,0.714668,0.130317
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,192,1,12,0.13317658333333335,0.6613775,0.1731115
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,204,12,2,0.09151500000000001,0.7154735000000001,0.140758
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,206,2,6,0.13934883333333334,0.674499,0.16443083333333333
SOL_QUIET_1H,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,212,6,1,0.113657,0.704539,0.145417
SOL_QUIET_1H,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,213,1,1,0.082776,0.694623,0.137837
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,214,1,1,0.08594,0.719001,0.127066
SOL_QUIET_1H,zentrum_stabil->offene_variante,zentrum_stabil,offene_variante,215,1,4,0.10331925,0.6915035,0.14934225
SOL_QUIET_1H,offene_variante->zentrum_stabil,offene_variante,zentrum_stabil,219,4,1,0.083283,0.725534,0.121829
