target_group,source_chain,holdout_label,holdout_asset,events,expected_field_contact_class,observed_field_contact_class,field_relation,landkarte_class,field_recall_share,sensory_recall_share,motion_recall_share,avg_carry,avg_strain,avg_rekopplung,symbols,observed_sensory_classes,observed_motion_classes
oberflaeche_rekoppelt,long_btc_sol,btc2024,BTC,18,offene_rekopplung,tragende_rekopplung,rekopplungsqualitaet_verschoben,verschobene_rekopplungsqualitaet,0.3333333333333333,0.0,0.3333333333333333,0.4197963333333333,0.206312,0.6295759999999999,dio_mcm_episode_1y7uo9c:18,sicht_stabil_gedaempft_mittel:6;sicht_wechselt_gedaempft_leise:6;sicht_zerfaellt_gedaempft_leise:6,weite_unruhige_vorphase_fallend:18
oberflaeche_rekoppelt,long_btc_sol,doge2024,DOGE,12,offene_rekopplung,offene_rekopplung,feldrolle_identisch,stabil_wiederkehrend,1.0,0.5,0.3333333333333333,0.385281,0.26053849999999995,0.5913265,dio_mcm_episode_16yidit:12,sicht_wechselt_hell_getragen_mittel:6;sicht_zerfaellt_wechselnd_mittel:6,enge_unruhige_vorphase_fallend:6;weite_unruhige_vorphase_fallend:6
oberflaeche_rekoppelt,multiasset,btc2024,BTC,27,tragende_rekopplung,tragende_rekopplung,feldrolle_identisch,teilstabil_wiederkehrend,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.4197963333333333,0.206312,0.629576,dio_mcm_episode_1y7uo9c:27,sicht_stabil_gedaempft_mittel:9;sicht_wechselt_gedaempft_leise:9;sicht_zerfaellt_gedaempft_leise:9,weite_unruhige_vorphase_fallend:27
oberflaeche_rekoppelt,multiasset,doge2024,DOGE,18,tragende_rekopplung,offene_rekopplung,rekopplungsqualitaet_verschoben,verschobene_rekopplungsqualitaet,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.385281,0.26053849999999995,0.5913265,dio_mcm_episode_16yidit:18,sicht_wechselt_hell_getragen_mittel:9;sicht_zerfaellt_wechselnd_mittel:9,enge_unruhige_vorphase_fallend:9;weite_unruhige_vorphase_fallend:9
oberflaeche_rekoppelt_spaet,long_btc_sol,doge2024,DOGE,12,offene_rekopplung,offene_rekopplung,feldrolle_identisch,stabil_wiederkehrend,1.0,1.0,0.16666666666666666,0.37612700000000004,0.2665855,0.5902824999999999,dio_mcm_episode_0x60uui:12,sicht_zerfaellt_hoch_schwingend_laut:12,enge_unruhige_vorphase_steigend:8;enge_unruhige_vorphase_fallend:2;enge_unruhige_vorphase_seitwaerts:2
oberflaeche_rekoppelt_spaet,long_btc_sol,paxg2024,PAXG,6,offene_rekopplung,offene_rekopplung,feldrolle_identisch,stabil_wiederkehrend,1.0,1.0,0.0,0.374006,0.265263,0.589984,dio_mcm_episode_0x60uui:6,sicht_zerfaellt_hoch_schwingend_laut:6,mittlere_vorphase_seitwaerts:6
oberflaeche_rekoppelt_spaet,multiasset,doge2024,DOGE,18,offene_rekopplung,offene_rekopplung,feldrolle_identisch,stabil_wiederkehrend,1.0,1.0,0.05555555555555555,0.37612700000000004,0.2665855,0.5902825,dio_mcm_episode_0x60uui:18,sicht_zerfaellt_hoch_schwingend_laut:18,enge_unruhige_vorphase_steigend:12;enge_unruhige_vorphase_fallend:3;enge_unruhige_vorphase_seitwaerts:3
oberflaeche_rekoppelt_spaet,multiasset,paxg2024,PAXG,9,offene_rekopplung,offene_rekopplung,feldrolle_identisch,stabil_wiederkehrend,1.0,1.0,0.1111111111111111,0.374006,0.265263,0.589984,dio_mcm_episode_0x60uui:9,sicht_zerfaellt_hoch_schwingend_laut:9,mittlere_vorphase_seitwaerts:9
rekopplung_oeffnet,long_btc_sol,btc2024,BTC,30,spannungsnahe_oeffnung,spannungsnahe_oeffnung,feldrolle_identisch,stabil_wiederkehrend,0.8,1.0,0.26666666666666666,0.36789900000000003,0.2881286,0.5758502,dio_mcm_episode_0xg0gjh:18;dio_mcm_episode_16bqw8k:12,sicht_zerfaellt_hoch_schwingend_laut:30,enge_unruhige_vorphase_steigend:8;enge_unruhige_vorphase_fallend:8;weite_unruhige_vorphase_steigend:6;weite_unruhige_vorphase_fallend:4;enge_unruhige_vorphase_seitwaerts:4
rekopplung_oeffnet,long_btc_sol,doge2024,DOGE,42,spannungsnahe_oeffnung,spannungsnahe_oeffnung,feldrolle_identisch,teilstabil_wiederkehrend,0.5714285714285714,0.42857142857142855,0.38095238095238093,0.3639408571428572,0.2831387142857143,0.5784681428571429,dio_mcm_episode_16bqw8k:30;dio_mcm_episode_0xg0gjh:12,sicht_stabil_hoch_schwingend_laut:24;sicht_zerfaellt_hoch_schwingend_laut:18,enge_unruhige_vorphase_fallend:18;enge_unruhige_vorphase_steigend:16;weite_unruhige_vorphase_fallend:4;weite_unruhige_vorphase_steigend:2;weite_unruhige_vorphase_seitwaerts:2
