preview_symbol,previous_reading,btc_quiet_phase,btc_quiet_profile,btc_quiet_depth,btc_quiet_count,btc_quiet_world_count,memory_depth_score_after_btc_quiet,memory_world_count_after_btc_quiet,memory_count_after_btc_quiet,interpretation
dio_mcm_episode_1i3ov0z,starker_btc_field_quiet_anker,ruhig_getragene_nahe,0.736766,0.758043,1472,4,0.756193,10,2070,robuste_btc_quiet_feldrolle
dio_mcm_episode_12fuh1y,enge_zentrumsnahe_ruhiglage_keine_breite_generalisation,zentrumsnah_getragen,0.62376,0.742056,5,3,0.722871,11,18,enge_zentrumsnahe_nebenrolle
