family,world_hits,occurrences,pre_hearing,hit_hearing,pre_tension,hit_tension,pre_range,hit_range,hearing_delta,tension_delta,range_delta
ALLE,6,270,0.029841,0.041627,0.043816,0.051124,1.219028,1.208149,0.011786,0.007308,-0.010879
dio_01hu,2,4,0.047238,0.050417,0.068407,0.064801,1.774645,1.595027,0.003179,-0.003607,-0.179618
dio_0ly7,4,266,0.021142,0.037232,0.031520,0.044285,0.941219,1.014710,0.016090,0.012765,0.073490
