map_role;family;source_role;hits;before_hits;after_hits;stable_share;unrest_share;avg_strain;avg_trust;fieldtime_embedding;bridge_type;trust_delta;strain_delta;interpretation
randfamilie;dio_1v2w;target;590;;;0.0;1.0;0.17630298305084746;0.689335620338983;0.6975281677966101;randspannung;;;randnahe Spannungsfamilie und Ausgangspunkt der Karte
beidseitige_bruecke;dio_155c;stabile_bruecke;27;5;22;0.9808575803981623;0.01914241960183767;0.1554488472434916;0.8172482538284839;0.7779957438361408;balancierte_bruecke;0.007079519091625408;3.6118704778265176e-05;beidseitige stabile Bruecke
instabile_kontaktzone;dio_0m9z;stabile_bruecke;23;7;16;0.7430167597765364;0.2569832402234637;0.16391623506660938;0.8097980356682424;0.7701819813064031;instabile_kontaktzone;0.001871386777327122;0.006433933830048089;gemischte Kontaktzone mit instabiler Naehe
randnahe_unruhe;dio_0jkk;randnahe_unruhe;16;11;5;0.010309278350515464;0.9896907216494846;0.17919935463917525;0.7210054103092784;0.7107358960824743;randnahe_unruhe;;;weitere randnahe Unruhefamilie
randnahe_unruhe;dio_05yg;randnahe_unruhe;14;5;9;0.008350730688935281;0.9916492693110647;0.17600751565762002;0.7195388413361169;0.7113314217118998;randnahe_unruhe;;;weitere randnahe Unruhefamilie
randnahe_unruhe;dio_00ja;randnahe_unruhe;14;3;11;0.27909887359199;0.72090112640801;0.16135588610763454;0.757846719649562;0.7372871301001251;randnahe_unruhe;;;weitere randnahe Unruhefamilie
offene_bruecke;dio_0g2r;stabile_bruecke;13;4;9;0.9060773480662984;0.09392265193370165;0.14699239042357273;0.7318575046040515;0.7257013616942909;offene_bruecke;0.03558686763425245;0.0014997458635704064;offene Bruecke mit stabiler Naehe, aber noch offener Rollenbindung
beidseitige_bruecke;dio_0h9h;stabile_bruecke;13;5;8;1.0;0.0;0.13823860382008626;0.7937612649414665;0.765606073629082;balancierte_bruecke;-0.014425348399426774;0.00046768069756331077;beidseitige stabile Bruecke
instabile_kontaktzone;dio_0pxr;unbestimmt;13;11;2;0.5147058823529411;0.4852941176470588;0.16286599019607845;0.6524332549019608;0.6846468083333334;unbestimmt;;;gemischte Kontaktzone mit instabiler Naehe
beidseitige_bruecke;dio_00ly;stabile_bruecke;11;4;7;1.0;0.0;0.13583143285123966;0.7626425857438016;0.7456330609504133;balancierte_bruecke;0.000210625914315421;0.002841585161964477;beidseitige stabile Bruecke
offene_bruecke;dio_1gp2;stabile_bruecke;11;4;7;0.8635578583765112;0.13644214162348878;0.14929198445595857;0.742417597582038;0.7335992696027633;offene_bruecke;-0.004035260563380327;-0.0015698080985915575;offene Bruecke mit stabiler Naehe, aber noch offener Rollenbindung
offene_bruecke;dio_0pq6;stabile_bruecke;10;5;5;0.7718631178707225;0.22813688212927757;0.1483824486692015;0.6743344106463879;0.6983103087452471;offene_bruecke;0.06858134505928859;-0.0024495889328063347;offene Bruecke mit stabiler Naehe, aber noch offener Rollenbindung
beidseitige_bruecke;dio_104t;stabile_bruecke;9;1;8;0.9854368932038835;0.014563106796116505;0.148518155609493;0.8390560674217907;0.7960932874190939;balancierte_bruecke;0.0026685206812652185;0.0064197596647742605;beidseitige stabile Bruecke
