key,count,dominant_effect,dominant_adaptive_state,avg_static_rekopplung,avg_adaptive_rekopplung,avg_adaptive_delta,avg_experience,avg_weight_carry,avg_weight_alignment,avg_weight_strain_relief,avg_weight_sensory,weight_carry_span,weight_alignment_span,weight_strain_relief_span,weight_sensory_span,max_weight_span
field_stabil::dio_104t,61,stabil,adaptive_rekopplung_angehoben,0.714928,0.751384,0.036455,0.375228,0.297289,0.217976,0.271168,0.213567,0.132041,0.02309,0.07514,0.077959,0.132041
field_stabil::dio_0m9z,35,stabil,adaptive_rekopplung_angehoben,0.705527,0.742528,0.037001,0.350794,0.294713,0.21871,0.272587,0.21399,0.010389,0.002922,0.004772,0.005196,0.010389
field_stabil::dio_155c,34,stabil,adaptive_rekopplung_angehoben,0.70651,0.742383,0.035873,0.446079,0.303752,0.21894,0.267879,0.209429,0.125651,0.022559,0.074184,0.074808,0.125651
field_stabil::dio_0h9h,32,stabil,adaptive_rekopplung_angehoben,0.716177,0.754694,0.038517,0.255208,0.29928,0.218329,0.269444,0.212947,0.13323,0.023151,0.075974,0.080392,0.13323
field_stabil::dio_0l7p,26,stabil,adaptive_jung,0.717107,0.756353,0.039246,0.275641,0.29779,0.218188,0.270726,0.213295,0.132041,0.023133,0.07514,0.077785,0.132041
field_stabil::dio_0pz6,16,stabil,adaptive_rekopplung_angehoben,0.716957,0.76218,0.045223,0.642361,0.293141,0.217657,0.273527,0.215676,0.006497,0.002162,0.002907,0.002765,0.006497
field_stabil::dio_00ly,16,stabil,adaptive_jung,0.713021,0.757205,0.044183,0.25,0.292492,0.217004,0.273929,0.216575,0.009529,0.002325,0.003422,0.004452,0.009529
field_tragend_unruhig::dio_00ja,16,tragend_unruhig,adaptive_rekopplung_angehoben,0.691396,0.728746,0.03735,0.385417,0.294864,0.218349,0.274979,0.211809,0.013748,0.001324,0.003679,0.011558,0.013748
field_stabil::dio_09bn,15,stabil,adaptive_jung,0.715741,0.760641,0.0449,0.362963,0.293671,0.217224,0.272778,0.216327,0.007574,0.002197,0.003609,0.001935,0.007574
field_tragend_unruhig::dio_0m9z,14,tragend_unruhig,adaptive_rekopplung_angehoben,0.694944,0.731173,0.036229,0.428571,0.295133,0.218594,0.272433,0.21384,0.011175,0.002922,0.004772,0.005949,0.011175
field_stabil::dio_1ewh,13,stabil,adaptive_rekopplung_angehoben,0.696545,0.739562,0.043017,0.363248,0.291758,0.217394,0.274243,0.216605,0.007067,0.001819,0.002216,0.004685,0.007067
field_stabil::dio_1kpz,12,stabil,adaptive_jung,0.714055,0.759993,0.045938,0.393519,0.292096,0.216801,0.273676,0.217427,0.004083,0.0027,0.001922,0.002409,0.004083
field_stabil::dio_17ct,12,stabil,adaptive_rekopplung_angehoben,0.70406,0.74866,0.0446,0.476852,0.293265,0.217654,0.27334,0.215741,0.007564,0.00226,0.003047,0.002725,0.007564
field_stabil::dio_0oc3,12,stabil,adaptive_jung,0.686573,0.729412,0.042839,0.203704,0.293609,0.218539,0.273927,0.213925,0.009054,0.002734,0.003946,0.005088,0.009054
field_stabil::dio_0g2r,11,stabil,adaptive_jung,0.694521,0.738392,0.043871,0.116162,0.291088,0.218014,0.275079,0.21582,0.010974,0.00261,0.001572,0.009758,0.010974
field_tragend_unruhig::dio_0jkk,11,tragend_unruhig,adaptive_jung,0.674742,0.714468,0.039726,0.186869,0.293671,0.219025,0.274757,0.212547,0.010151,0.001239,0.004631,0.00605,0.010151
field_stabil::dio_14wj,10,stabil,adaptive_rekopplung_angehoben,0.710578,0.756458,0.04588,0.927778,0.291859,0.218218,0.274329,0.215594,0.007096,0.001856,0.001976,0.003265,0.007096
field_stabil::dio_1cic,10,stabil,adaptive_rekopplung_angehoben,0.703421,0.748108,0.044687,0.811111,0.293332,0.217779,0.27416,0.214728,0.005512,0.00147,0.001068,0.003583,0.005512
field_tragend_unruhig::dio_05yg,10,tragend_unruhig,adaptive_rekopplung_angehoben,0.670404,0.710326,0.039922,0.422222,0.293367,0.218654,0.274848,0.213131,0.01007,0.002091,0.003079,0.007401,0.01007
field_tragend_unruhig::dio_1v2w,10,tragend_unruhig,adaptive_jung,0.671837,0.709586,0.037749,0.272222,0.295943,0.219,0.275276,0.209781,0.009121,0.002576,0.003385,0.009765,0.009765
field_stabil::dio_06s7,9,stabil,adaptive_rekopplung_angehoben,0.713542,0.76055,0.047008,0.790124,0.292696,0.217936,0.273935,0.215434,0.004939,0.001535,0.002417,0.001209,0.004939
field_stabil::dio_07uk,8,stabil,adaptive_rekopplung_angehoben,0.709355,0.758802,0.049447,0.548611,0.291317,0.217478,0.274029,0.217176,0.004969,0.003456,0.002166,0.003478,0.004969
field_stabil::dio_1lsu,8,stabil,adaptive_jung,0.695461,0.741942,0.046481,0.340278,0.291182,0.217665,0.275088,0.216065,0.004949,0.002378,0.00137,0.002862,0.004949
field_stabil::dio_0fe7,8,stabil,adaptive_jung,0.697788,0.743612,0.045824,0.291667,0.292185,0.21714,0.273949,0.216725,0.003473,0.001858,0.001262,0.001754,0.003473
field_stabil::dio_1u5i,8,stabil,adaptive_jung,0.704854,0.750343,0.045489,0.430556,0.292561,0.217303,0.274294,0.215843,0.001713,0.001779,0.000268,0.001383,0.001779
field_stabil::dio_1gp2,8,stabil,adaptive_jung,0.689892,0.734082,0.04419,0.361111,0.291438,0.217711,0.274504,0.216347,0.006894,0.001612,0.000725,0.008282,0.008282
