world,pair,event_tick,before_class,switch_class,after_class,pressure_delta,rekopplung_delta
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1620,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,0.022110,-0.011335
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1631,bewegungsbruch,rekoppelnde_lage,rekoppelnde_lage,-0.063568,0.002226
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1637,rekoppelnde_lage,druck_lage,rekoppelnde_lage,0.030907,-0.013311
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1646,rekoppelnde_lage,offene_lage,rekoppelnde_lage,0.014845,-0.006692
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1707,offene_lage,rekoppelnde_lage,bewegungsbruch,0.044008,0.003493
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1715,rekoppelnde_lage,bewegungsbruch,gehaltene_form,-0.070084,-0.011124
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,1833,rekoppelnde_lage,druck_lage,offene_lage,0.167915,-0.040300
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2133,rekoppelnde_lage,offene_lage,offene_lage,-0.025586,-0.010286
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2142,rekoppelnde_lage,druck_lage,bewegungsbruch,-0.059056,-0.001995
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2515,rekoppelnde_lage,druck_lage,bewegungsbruch,0.048083,-0.007222
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2525,rekoppelnde_lage,bewegungsbruch,rekoppelnde_lage,-0.039416,0.001691
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2567,druck_lage,offene_lage,offene_lage,-0.199289,0.023276
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2762,rekoppelnde_lage,druck_lage,bewegungsbruch,0.112135,-0.039950
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2816,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.047336,0.008983
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,2848,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,0.145576,-0.049833
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3007,rekoppelnde_lage,druck_lage,rekoppelnde_lage,-0.094484,0.039391
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3411,offene_lage,bewegungsbruch,offene_lage,-0.022583,0.017784
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3420,rekoppelnde_lage,offene_lage,offene_lage,-0.000250,0.008475
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3427,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.043515,0.018237
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3436,rekoppelnde_lage,offene_lage,rekoppelnde_lage,-0.096784,0.024552
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3439,rekoppelnde_lage,bewegungsbruch,bewegungsbruch,0.045692,-0.016798
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3481,rekoppelnde_lage,druck_lage,offene_lage,-0.126020,0.039352
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3731,gehaltene_form,gehaltene_form,druck_lage,0.082750,-0.025641
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_183drjy->dio_mcm_episode_1t5bcxp,3871,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.076201,0.047030
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1147,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.029405,0.018100
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1454,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.096908,0.020253
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1619,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,0.020036,-0.013279
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1621,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,0.080089,-0.011404
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1635,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,0.088224,-0.020155
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1643,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.027518,-0.003243
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1653,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.018473,0.030942
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1711,bewegungsbruch,rekoppelnde_lage,rekoppelnde_lage,-0.022809,0.001575
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,1832,rekoppelnde_lage,rekoppelnde_lage,druck_lage,0.169232,-0.035430
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2113,rekoppelnde_lage,rekoppelnde_lage,offene_lage,0.039765,-0.013134
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2136,offene_lage,rekoppelnde_lage,rekoppelnde_lage,-0.079431,0.022138
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2158,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,0.005797,0.019779
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2523,offene_lage,rekoppelnde_lage,bewegungsbruch,0.061333,-0.018158
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2526,bewegungsbruch,rekoppelnde_lage,rekoppelnde_lage,-0.063784,0.036050
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2761,rekoppelnde_lage,rekoppelnde_lage,druck_lage,0.204393,-0.057790
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2772,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,-0.007663,0.011013
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2817,bewegungsbruch,rekoppelnde_lage,rekoppelnde_lage,-0.069130,0.028105
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2849,rekoppelnde_lage,rekoppelnde_lage,druck_lage,0.300208,-0.087085
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,2984,offene_lage,rekoppelnde_lage,rekoppelnde_lage,-0.051546,-0.002858
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,3009,druck_lage,rekoppelnde_lage,rekoppelnde_lage,-0.148176,0.055399
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,3393,offene_lage,rekoppelnde_lage,rekoppelnde_lage,-0.013549,0.022034
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,3417,rekoppelnde_lage,rekoppelnde_lage,rekoppelnde_lage,0.014449,-0.004725
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,3423,offene_lage,rekoppelnde_lage,rekoppelnde_lage,-0.047281,0.006956
LONG2024_5M_BTC_QUIET_4000,dio_mcm_episode_1t5bcxp->dio_mcm_episode_183drjy,3429,rekoppelnde_lage,rekoppelnde_lage,gehaltene_form,0.047580,0.025618
