family,transition,world,profile,range_delta,hearing_delta,tension_delta,follow_hearing,follow_tension
dio_1fll,nur_gereift->offen_und_gereift,MOD_NEG_2023,hoerprofil_entlastet,0.029938,0.080390,0.075610,0.013614,0.023719
dio_10dv,nur_gereift->offen_und_gereift,ALTSEQ_2023,rangegetriebene_umgebung,0.100089,0.000392,0.001116,0.117070,0.114397
dio_1j1f,nur_gereift->offen_und_gereift,NEG_STRESS_2023,hoerprofil_entlastet,0.062649,0.132076,0.072533,0.036748,0.086386
dio_1r55,nur_gereift->offen_und_gereift,ALTSEQ_2023,rangegetriebene_umgebung,0.078301,0.040115,0.030289,0.133456,0.127218
dio_0f4r,offen_und_gereift->nur_gereift,ALTSEQ_2023,rangegetriebene_umgebung,0.123514,0.034084,0.018359,0.130571,0.120744
dio_0dd2,nur_gereift->offen_und_gereift,NEG_STRESS_2023,milieu_umlagert_nahe,0.057548,0.008872,0.016707,0.078582,0.076108
dio_1yme,nur_gereift->offen_und_gereift,NEG_STRESS_2023,rangegetriebene_umgebung,0.087546,0.000116,0.007636,0.113638,0.105453
dio_0ly7,nur_gereift->offen_und_gereift,ALTSEQ_2023,milieu_umlagert_nahe,0.032063,0.044319,0.042618,0.043201,0.049639
dio_01hu,nur_gereift->offen_und_gereift,MOD_NEG_2023,milieu_umlagert_nahe,0.031393,0.018564,0.024840,0.078516,0.076177
dio_0ioc,nur_gereift->offen_und_gereift,NEG_STRESS_2023,hoerprofil_springt_hoch,0.018073,0.089970,0.073768,0.215637,0.193644
dio_1wdi,offen_und_gereift->nur_gereift,EXPANSION_2023,hoerprofil_entlastet,0.026150,0.080079,0.062891,0.005916,0.031470
dio_1r55,nur_gereift->offen_und_gereift,MOD_NEG_2023,rangegetriebene_umgebung,0.073154,0.030178,0.022567,0.136181,0.131029
dio_10dv,nur_gereift->offen_und_gereift,MOD_NEG_2023,milieu_umlagert_nahe,0.071596,0.025264,0.020613,0.124760,0.122902
dio_01hu,nur_gereift->offen_und_gereift,ALTSEQ_2023,milieu_umlagert_nahe,0.035995,0.034892,0.035665,0.073144,0.072550
dio_14d9,offen_und_gereift->nur_gereift,ALTSEQ_2023,rangegetriebene_umgebung,0.107923,0.031583,0.019602,0.129878,0.123473
dio_1cmd,nur_gereift->offen_und_gereift,ALTSEQ_2023,rangegetriebene_umgebung,0.155473,0.147325,0.117484,0.265460,0.235024
dio_13o0,offen_und_gereift->nur_gereift,ALTSEQ_2023,hoerprofil_entlastet,0.007673,0.076701,0.067418,0.011308,0.026501
dio_092h,offen_und_gereift->nur_gereift,NEG_STRESS_2023,rangegetriebene_umgebung,0.201993,0.174848,0.148299,0.264093,0.238900
dio_1qyl,offen_und_gereift->nur_gereift,NEG_STRESS_2023,rangegetriebene_umgebung,0.081509,0.064357,0.045321,0.031903,0.056538
dio_1yt8,offen_und_gereift->nur_gereift,NEG_STRESS_2023,hoerprofil_entlastet,0.050883,0.071840,0.052871,0.010059,0.036163
