row_type,asset,window,family,phase,followup_state,followup_quality,reading
family_state,SOL,3000_4500,dio_06er,frueh,lokale_qualitaet_driftet,phase_ohne_nullfamilie,gemeinsame_drift_mit_btc
family_state,SOL,3000_4500,dio_0tay,frueh,lokale_qualitaet_reproduziert,phase_nullnah,gemeinsam_getragen_mit_btc
family_state,SOL,3000_4500,dio_14wj,frueh,lokale_qualitaet_reproduziert,phase_nullnah,gemeinsam_getragen_mit_btc
family_state,SOL,3000_4500,dio_1kpz,frueh,lokale_qualitaet_reproduziert,phase_nullnah,sol_spezifisch_getragen
family_state,SOL,3000_4500,dio_1kpz,mitte,lokale_qualitaet_wird_offen,phase_offen_gemischt,sol_spezifisch_geoeffnet
family_state,BTC,3000_4500,dio_06er,frueh,lokale_qualitaet_driftet,phase_ohne_nullfamilie,gemeinsame_drift_mit_sol
family_state,BTC,3000_4500,dio_0nlj,mitte,lokale_qualitaet_wird_offen,phase_offen_gemischt,gemeinsam_geoeffnet_mit_doge
family_state,BTC,3000_4500,dio_0tay,frueh,lokale_qualitaet_reproduziert,phase_nullnah,gemeinsam_getragen_mit_sol
family_state,BTC,3000_4500,dio_14wj,frueh,lokale_qualitaet_reproduziert,phase_nullnah,gemeinsam_getragen_mit_sol
family_state,BTC,3000_4500,dio_14wj,spaet,lokale_qualitaet_reproduziert,phase_nullnah,btc_spezifisch_spaet_getragen
family_state,DOGE,3000_4500,dio_0nlj,mitte,lokale_qualitaet_wird_offen,phase_offen_gemischt,doge_nur_offene_restkopplung
world_feature,B_FOCUS,2400_3900,rows,1500,,,starke_ueberexpansion
world_feature,B_FOCUS,2400_3900,drift,5.131498,,,starke_ueberexpansion
world_feature,B_FOCUS,2400_3900,avg_abs_return,0.001289,,,lautere_bewegung
world_feature,B_FOCUS,2400_3900,avg_range,0.006039,,,breitere_kerzen
world_feature,B_FOCUS,2400_3900,direction_change_ratio,0.016689,,,gerichtet_aber_ueberdehnt
world_feature,B_FOCUS,3000_4500,rows,1500,,,balancierte_gerichtete_expansion
world_feature,B_FOCUS,3000_4500,drift,1.335919,,,balancierte_gerichtete_expansion
world_feature,B_FOCUS,3000_4500,avg_abs_return,0.000703,,,weniger_rau
world_feature,B_FOCUS,3000_4500,avg_range,0.004060,,,engere_form
world_feature,B_FOCUS,3000_4500,direction_change_ratio,0.015354,,,ruhig_gerichtet
world_feature,B_FOCUS,3200_5200,rows,2000,,,laenger_mit_mehr_wechsel
world_feature,B_FOCUS,3200_5200,drift,2.040129,,,mittlere_expansion
world_feature,B_FOCUS,3200_5200,avg_abs_return,0.000848,,,mittlere_lautstaerke
world_feature,B_FOCUS,3200_5200,avg_range,0.005300,,,breitere_form
world_feature,B_FOCUS,3200_5200,direction_change_ratio,0.037538,,,mehr_richtungswechsel
