world,source,start_tick,end_tick,passive_role_near,rekopplung_level,carry_level,strain_level,sensory_level,visual_gap_level,hearing_gap_level,sensory_delta,rekopplung_delta,strain_delta_next,rekopplung_delta_next,preview_carry_next,preview,family,effect_class,passive_only,influences_action
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1,100,randdrucknaehe,low,low,high,high,low,high,0.0,0.0,-0.012516,0.017164,0,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,101,200,brueckennaehe,mid,low,low,high,low,low,0.003406,0.017164,0.012177,-0.009606,1,dio_mcm_episode_1ahj81f,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,201,300,keine_naehe,low,low,high,mid,mid,mid,-0.011136,-0.009606,-0.006707,0.005044,0,dio_mcm_episode_1ahj81f,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,301,400,keine_naehe,low,low,mid,mid,high,low,-0.000913,0.005044,0.002158,-0.002891,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,401,500,keine_naehe,low,low,high,low,high,low,-0.003581,-0.002891,-0.002757,0.009359,1,dio_mcm_episode_1joiyc3,dio_155c,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,501,600,brueckennaehe,mid,mid,mid,mid,mid,low,0.005534,0.009359,-0.003923,0.005838,1,dio_mcm_episode_1joiyc3,dio_155c,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,601,700,brueckennaehe,mid,mid,low,high,mid,mid,0.006025,0.005838,0.03039,-0.034276,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,701,800,keine_naehe,low,low,high,low,high,high,-0.050922,-0.034276,-0.018921,0.025772,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,801,900,keine_naehe,low,mid,high,low,high,high,0.03213,0.025772,-0.009596,0.008675,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,901,1000,brueckennaehe,mid,mid,low,mid,mid,mid,0.011167,0.008675,0.004082,-0.006542,1,dio_mcm_episode_1joiyc3,dio_1gp2,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1001,1100,keine_naehe,mid,mid,mid,low,mid,mid,-0.003998,-0.006542,0.011018,-0.00718,1,dio_mcm_episode_1joiyc3,dio_0m9z,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1101,1200,keine_naehe,low,low,high,low,high,high,-0.013114,-0.00718,-0.014114,0.015419,0,dio_mcm_episode_1joiyc3,dio_0h9h,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1201,1300,keine_naehe,high,high,mid,low,high,low,0.015683,0.015419,0.00485,-0.005689,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1301,1400,keine_naehe,mid,mid,high,low,high,mid,-0.006597,-0.005689,-0.005781,0.00597,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1401,1500,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,mid,mid,mid,0.013177,0.00597,-0.007308,0.00869,1,dio_mcm_episode_0e7qvj1,dio_155c,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1501,1600,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.01061,0.00869,0.008175,-0.00507,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1601,1700,keine_naehe,high,high,mid,high,low,high,-0.009298,-0.00507,0.002653,-0.003153,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1701,1800,keine_naehe,high,high,mid,mid,low,high,-0.003312,-0.003153,-0.009856,0.008721,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1801,1900,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.011659,0.008721,0.00439,-0.003627,1,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1901,1994,zentrumsnaehe,high,high,low,high,low,high,-0.006558,-0.003627,0.0,0.0,0,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1,100,randdrucknaehe,low,low,high,high,low,mid,0.0,0.0,-0.000617,0.007151,1,dio_mcm_episode_1joiyc3,dio_155c,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,101,200,keine_naehe,low,low,high,mid,mid,high,-0.006115,0.007151,-0.005402,0.010147,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,201,300,brueckennaehe,low,low,mid,high,low,mid,0.006915,0.010147,-0.004096,0.00239,1,dio_mcm_episode_1joiyc3,dio_0m9z,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,301,400,keine_naehe,mid,low,low,high,mid,low,-0.003564,0.00239,0.008307,-0.01064,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,401,500,keine_naehe,low,low,high,low,high,low,-0.006895,-0.01064,-0.010428,0.013683,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,501,600,brueckennaehe,mid,mid,low,high,low,low,0.009406,0.013683,-0.003218,0.004441,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,601,700,mischrolle_brueckennaehe_zentrumsnaehe,high,mid,low,high,low,low,0.004529,0.004441,0.029646,-0.030865,1,dio_mcm_episode_1joiyc3,dio_0m9z,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,701,800,keine_naehe,low,low,high,low,high,high,-0.043843,-0.030865,-0.014736,0.018922,1,dio_mcm_episode_1joiyc3,dio_155c,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,801,900,keine_naehe,low,low,high,low,high,high,0.028817,0.018922,-0.009103,0.008932,1,dio_mcm_episode_1joiyc3,dio_155c,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,901,1000,brueckennaehe,mid,mid,low,mid,mid,low,0.007017,0.008932,0.001067,-0.00457,1,dio_mcm_episode_1joiyc3,dio_06s7,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1001,1100,keine_naehe,low,mid,mid,mid,mid,low,0.000956,-0.00457,0.003684,0.002693,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1101,1200,keine_naehe,mid,mid,mid,low,high,mid,-0.009142,0.002693,-0.004682,0.005847,0,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1201,1300,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,mid,low,mid,0.008887,0.005847,0.006007,-0.005709,1,dio_mcm_episode_0e7qvj1,dio_0l7p,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1301,1400,keine_naehe,mid,mid,high,low,high,high,-0.011025,-0.005709,-0.006348,0.007806,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1401,1500,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.013196,0.007806,0.001047,-0.004042,1,dio_mcm_episode_0e7qvj1,dio_0h9h,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1501,1600,keine_naehe,high,high,mid,mid,high,low,-0.006199,-0.004042,0.002887,0.001634,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1601,1700,keine_naehe,high,high,mid,low,mid,high,-0.001117,0.001634,0.004695,-0.00592,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1701,1800,keine_naehe,mid,high,high,low,high,high,-0.006804,-0.00592,-0.005601,0.008805,1,dio_mcm_episode_0e7qvj1,dio_155c,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1801,1900,brueckennaehe,high,high,mid,mid,mid,high,0.00795,0.008805,-0.003795,0.000297,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1901,1994,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.007358,0.000297,0.0,0.0,0,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1,100,randdrucknaehe,low,low,high,high,low,mid,0.0,0.0,-0.007724,0.009277,0,dio_mcm_episode_1ahj81f,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,101,200,keine_naehe,low,low,low,high,mid,low,-0.002423,0.009277,0.003081,-0.005689,0,dio_mcm_episode_0ko7wqc,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,201,300,keine_naehe,low,low,mid,mid,high,low,-0.013056,-0.005689,0.001164,0.000865,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,301,400,keine_naehe,low,low,mid,mid,high,mid,-0.00069,0.000865,0.008188,-0.009265,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,401,500,keine_naehe,low,low,high,low,high,mid,-0.018362,-0.009265,-0.006533,0.011604,0,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,501,600,keine_naehe,low,low,high,low,high,mid,0.01223,0.011604,0.004091,-0.00225,1,dio_mcm_episode_1jx2k4i,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,601,700,entlastungsnaehe,low,low,high,low,mid,high,-0.000878,-0.00225,-0.004267,-0.004726,1,dio_mcm_episode_1jx2k4i,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,701,800,keine_naehe,low,low,high,low,high,low,-0.003656,-0.004726,-0.00551,0.011534,1,dio_mcm_episode_1jx2k4i,dio_0l7p,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,801,900,brueckennaehe,low,low,mid,mid,high,low,0.01037,0.011534,-0.005193,0.01471,1,dio_mcm_episode_1jx2k4i,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,901,1000,brueckennaehe,mid,low,low,high,mid,low,0.012982,0.01471,0.006119,-0.012025,0,dio_mcm_episode_1jx2k4i,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1001,1100,keine_naehe,low,low,mid,mid,high,mid,-0.014589,-0.012025,-2.9e-05,0.006757,1,dio_mcm_episode_0dgle71,dio_00ja,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1101,1200,brueckennaehe,mid,low,mid,high,mid,mid,0.006713,0.006757,-0.00123,0.001088,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1201,1300,brueckennaehe,mid,low,low,high,low,mid,0.004672,0.001088,0.006996,-0.014111,1,dio_mcm_episode_0dgle71,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1301,1400,keine_naehe,low,low,high,low,high,mid,-0.020067,-0.014111,-0.00305,0.01505,1,dio_mcm_episode_0dgle71,dio_1lsu,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1401,1500,brueckennaehe,mid,low,mid,high,low,high,0.017346,0.01505,-0.003703,0.003394,1,dio_mcm_episode_0dgle71,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1501,1600,brueckennaehe,mid,low,mid,high,low,mid,0.001273,0.003394,0.010758,-0.013452,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1601,1700,keine_naehe,low,low,high,low,mid,high,-0.014336,-0.013452,0.002177,0.002076,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1701,1800,keine_naehe,low,low,high,low,mid,high,-0.001801,0.002076,0.000839,-0.001072,1,dio_mcm_episode_0dgle71,dio_1u5i,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1801,1900,keine_naehe,low,low,high,low,mid,high,-0.001661,-0.001072,-0.013241,0.007345,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,1901,2000,mischrolle_brueckennaehe_entlastungsnaehe,mid,mid,mid,mid,mid,mid,0.009686,0.007345,-0.002006,-0.003098,1,dio_mcm_episode_0dgle71,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2001,2100,keine_naehe,low,low,low,mid,high,low,0.002052,-0.003098,0.003571,-0.007797,0,dio_mcm_episode_0dgle71,dio_155c,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2101,2200,keine_naehe,low,low,mid,low,high,low,-0.012337,-0.007797,-0.004456,0.00871,0,dio_mcm_episode_0b7nep9,dio_0l7p,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2201,2300,keine_naehe,low,mid,low,low,high,low,0.006308,0.00871,-0.005024,0.018854,0,dio_mcm_episode_0ykar6i,dio_0l7p,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2301,2400,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,low,0.027238,0.018854,0.009646,-0.020887,1,dio_mcm_episode_0ybr5e3,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2401,2500,keine_naehe,low,low,mid,mid,high,mid,-0.026706,-0.020887,0.008145,-0.01101,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2501,2600,keine_naehe,low,low,high,low,high,mid,-0.014472,-0.01101,-0.002524,0.006487,0,dio_mcm_episode_0ybr5e3,dio_1gp2,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2601,2700,keine_naehe,low,low,high,low,high,high,0.008805,0.006487,-0.006469,0.006166,1,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2701,2800,keine_naehe,low,low,mid,low,high,mid,0.004295,0.006166,0.003531,-0.008575,1,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2801,2900,keine_naehe,low,low,mid,low,high,low,-0.009032,-0.008575,-0.007642,0.012878,1,dio_mcm_episode_0ykar6i,dio_00ja,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,2901,3000,brueckennaehe,mid,mid,low,mid,high,low,0.014388,0.012878,0.002107,-0.003998,1,dio_mcm_episode_0ykar6i,dio_0l7p,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3001,3100,keine_naehe,low,mid,low,low,high,low,-0.009265,-0.003998,-0.00527,0.00534,1,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3101,3200,brueckennaehe,mid,high,low,mid,high,low,0.010038,0.00534,0.00705,-0.001585,1,dio_mcm_episode_0ykar6i,dio_1uof,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3201,3300,keine_naehe,mid,mid,mid,mid,high,mid,-0.004565,-0.001585,0.002268,-0.009936,1,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3301,3400,keine_naehe,low,low,mid,low,high,low,-0.007035,-0.009936,-0.005761,0.017063,1,dio_mcm_episode_0ykar6i,dio_1gp2,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3401,3500,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,mid,high,low,0.014308,0.017063,-0.000862,0.003044,1,dio_mcm_episode_0ykar6i,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3501,3600,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.007535,0.003044,0.003125,-0.00563,1,dio_mcm_episode_0ykar6i,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3601,3700,keine_naehe,high,high,mid,mid,high,low,-0.007159,-0.00563,-0.001948,0.012991,1,dio_mcm_episode_0ykar6i,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3701,3800,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.016501,0.012991,0.009486,-0.016715,0,dio_mcm_episode_0ykar6i,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3801,3900,entlastungsnaehe,mid,mid,high,mid,low,high,-0.017787,-0.016715,-0.001697,-0.001931,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3901,4000,keine_naehe,mid,mid,high,mid,mid,high,-0.002789,-0.001931,-0.00799,0.00491,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4001,4100,brueckennaehe,mid,mid,low,high,mid,low,0.007992,0.00491,0.00102,0.011449,1,dio_mcm_episode_0ybr5e3,dio_1fll,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4101,4200,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.006489,0.011449,0.00734,-0.012612,0,dio_mcm_episode_0ybr5e3,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4201,4300,keine_naehe,mid,mid,high,mid,mid,mid,-0.012806,-0.012612,0.003492,-0.012581,0,dio_mcm_episode_1xx3u1e,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4301,4400,keine_naehe,low,low,high,low,high,high,-0.017658,-0.012581,-0.010025,0.009125,1,dio_mcm_episode_0ybr5e3,dio_0m9z,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4401,4500,brueckennaehe,mid,mid,low,mid,high,low,0.014412,0.009125,-0.001135,0.005623,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4501,4600,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,mid,high,low,0.002648,0.005623,0.006307,-0.005124,1,dio_mcm_episode_0ybr5e3,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4601,4700,keine_naehe,mid,mid,mid,mid,mid,high,-0.003522,-0.005124,0.002601,-0.00582,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4701,4800,keine_naehe,low,mid,high,low,high,high,-0.008488,-0.00582,-0.010493,0.014783,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4801,4900,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.020964,0.014783,0.00099,0.001564,1,dio_mcm_episode_0ybr5e3,dio_14wj,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4901,5000,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.005553,0.001564,0.00597,-0.015774,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5001,5100,keine_naehe,low,mid,mid,low,high,mid,-0.026073,-0.015774,-0.005869,0.008939,1,dio_mcm_episode_0ybr5e3,dio_104t,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5101,5200,brueckennaehe,mid,high,low,mid,high,low,0.006891,0.008939,2e-05,0.007828,1,dio_mcm_episode_0ybr5e3,dio_00ja,stabil,1,0
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5201,5300,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,mid,low,0.012513,0.007828,0.003417,-0.008063,1,dio_mcm_episode_0ybr5e3,dio_14wj,stabil,1,0
