asset,world,scale,block_index,base_sequence,raw_class,score,delta_auditory,delta_visual,delta_pressure,delta_range,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_range_pct,price_move_pct,passive_only,influences_action,holdout_group,center_control_type,center_similarity_distance,center_reference_hearing,center_reference_pressure,center_reference_range
DOGE,DOGE_2024_5M_CONTRAST,100,49,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.388569,0.040856,0.032372,0.008808,-0.306533,0.478087,0.692507,0.118493,0.125464,-0.024823,1,0,CONTRAST,same_target_not_center_origin,0.002126,0.477092,0.118239,0.125133
DOGE,DOGE_2024_5M,100,49,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.388569,0.040856,0.032372,0.008808,-0.306533,0.478087,0.692507,0.118493,0.125464,-0.024823,1,0,HOLDOUT1,same_target_not_center_origin,0.002126,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,100,17,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.198351,0.0726,0.018502,0.01383,-0.093419,0.482094,0.66656,0.118461,0.122476,0.103741,1,0,HOLDOUT2,same_target_not_center_origin,0.006819,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,100,93,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.17886,0.071814,0.016822,0.013189,-0.077035,0.481308,0.66488,0.11782,0.13886,-0.315927,1,0,HOLDOUT2,same_target_not_center_origin,0.010697,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,200,47,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.227236,0.067202,0.031,0.013129,-0.115905,0.476696,0.679058,0.11776,0.09999,0.056776,1,0,HOLDOUT2,same_target_not_center_origin,0.011113,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,100,79,randlastige_sinneslage->lauter_feldkontakt,gemischte_rohwelt,0.15975,0.064881,0.006689,0.014242,-0.073938,0.474375,0.654747,0.118873,0.141957,-1.187817,1,0,HOLDOUT2,same_target_not_center_origin,0.011141,0.477092,0.118239,0.125133
SOL,SOL_2025_REC,100,42,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.304434,0.062681,0.023832,0.012243,-0.205678,0.479236,0.673327,0.118109,0.16294,2.350413,1,0,HOLDOUT1,same_target_not_center_origin,0.015897,0.477092,0.118239,0.125133
XRP,XRP_2024_5M_CONTRAST,100,57,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.33778,0.040113,0.007809,0.008899,-0.280959,0.470208,0.669437,0.116888,0.14427,1.536492,1,0,CONTRAST,same_target_not_center_origin,0.018987,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,200,8,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.185368,0.058362,0.021232,0.01125,-0.094524,0.467856,0.66929,0.115881,0.121371,0.51389,1,0,HOLDOUT2,same_target_not_center_origin,0.019985,0.477092,0.118239,0.125133
XRP,XRP_2024_5M_CONTRAST,100,92,offen_suchend->lauter_feldkontakt,gemischte_rohwelt,0.339483,0.042363,0.001569,0.007379,-0.288172,0.472458,0.663197,0.115368,0.137057,-0.138477,1,0,CONTRAST,same_target_not_center_origin,0.020292,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,400,23,normale_weltspannung->lauter_feldkontakt,gemischte_rohwelt,0.203378,0.059985,0.02764,0.011341,-0.104412,0.469479,0.675698,0.115972,0.111483,0.285204,1,0,HOLDOUT2,same_target_not_center_origin,0.021459,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,200,30,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.132031,0.063668,0.016455,0.013342,-0.038566,0.473162,0.664513,0.117973,0.177329,-2.146196,1,0,HOLDOUT2,same_target_not_center_origin,0.023263,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,100,16,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.172387,0.044124,0.023963,0.008671,-0.095629,0.453618,0.672021,0.113302,0.120266,0.409724,1,0,HOLDOUT2,same_origin_not_loud_contact,0.044926,0.477092,0.118239,0.125133
SOL,SOL_2025_STRESS,200,16,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.287381,0.045927,0.052138,0.008028,-0.181288,0.462482,0.701633,0.113894,0.18733,-0.798228,1,0,CONTRAST,same_origin_not_loud_contact,0.053760,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,100,38,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.178876,0.040716,0.032529,0.00615,-0.099481,0.45021,0.680587,0.110781,0.116414,0.388118,1,0,HOLDOUT2,same_origin_not_loud_contact,0.059766,0.477092,0.118239,0.125133
BTC,BTC_2024_5M,100,56,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.196722,0.037891,0.021595,0.006444,-0.130792,0.447385,0.669653,0.111075,0.085103,0.097533,1,0,HOLDOUT2,same_origin_not_loud_contact,0.072374,0.477092,0.118239,0.125133
SOL,SOL_2025_STRESS,100,32,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.266971,0.031349,0.049995,0.004906,-0.180721,0.447904,0.69949,0.110772,0.187897,0.180245,1,0,CONTRAST,same_origin_not_loud_contact,0.081024,0.477092,0.118239,0.125133
SOL,SOL_2025_STRESS,100,54,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.225668,0.033799,0.042189,0.00457,-0.14511,0.450354,0.691684,0.110436,0.223508,-1.938686,1,0,CONTRAST,same_origin_not_loud_contact,0.092382,0.477092,0.118239,0.125133
SOL,SOL_2025_STRESS,200,6,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.167686,0.040382,0.032299,0.008003,-0.087002,0.456937,0.681794,0.113869,0.281616,-0.233006,1,0,CONTRAST,same_origin_not_loud_contact,0.092405,0.477092,0.118239,0.125133
