world,start,end,class,role_count,durable_role_count,long_role_count,strain_role_count,unique_symbols,episodes,avg_rekopplung,avg_carry,avg_strain,avg_afterimage,top_roles,data_path
HARMONIE_KOMPAKT,0,2000,einzelrekopplung,1,1,1,0,39,1994,0.7520961648395882,0.6070775355763021,0.11996797306363391,0.7767868986762436,dio_mcm_episode_1v8o9kh:field_carried:1994,data\scan_harmonie-kompakt_start0_size2000.csv
ZEITDEHNUNG_KOMPAKT,0,2000,uebergang_mit_randkontakt,3,2,2,1,142,1994,0.7364430597773366,0.5774290552520907,0.1272610554414164,0.5693767020332269,dio_mcm_episode_0wjn8vm:field_carried:1644; dio_mcm_episode_1bdmoa8:field_carried:349; dio_mcm_episode_15uimof:field_strained:1,data\scan_zeitdehnung-kompakt_start0_size2000.csv
BRUCH_RAND_A,0,2000,uebergang_mit_randkontakt,3,2,2,1,43,1994,0.7508566301145048,0.6048337994364261,0.12183749838372436,0.7645281690094876,dio_mcm_episode_0wjn8vm:field_carried:1294; dio_mcm_episode_1bdmoa8:field_carried:699; dio_mcm_episode_15uimof:field_strained:1,data\scan_bruch-rand-a_start0_size2000.csv
BRUCH_RAND_A,2000,4000,einzelrekopplung,1,1,1,0,140,1994,0.7306685950604561,0.5684964741074632,0.1300679552658015,0.5002153120133828,dio_mcm_episode_0d9qets:field_carried:1994,data\scan_bruch-rand-a_start2000_size2000.csv
BRUCH_RAND_A,4000,6000,uebergang_mit_randkontakt,3,2,2,1,50,1994,0.7501732724230802,0.6029413532470776,0.12210049584717281,0.748495954277679,dio_mcm_episode_0wjn8vm:field_carried:1094; dio_mcm_episode_1bdmoa8:field_carried:899; dio_mcm_episode_0e6i6ce:field_strained:1,data\scan_bruch-rand-a_start4000_size2000.csv
RAND_DOMINANZ_A,0,2000,uebergang_mit_randkontakt,3,2,2,1,145,1994,0.7272365081181085,0.5686211676199768,0.139692548667108,0.5677380371091622,dio_mcm_episode_1q3us3f:field_carried:1394; dio_mcm_episode_1bdmoa8:field_carried:599; dio_mcm_episode_15uimof:field_strained:1,data\scan_rand-dominanz-a_start0_size2000.csv
RAND_DOMINANZ_A,2000,4000,einzelrekopplung,1,1,1,0,96,1994,0.7292999820937659,0.5695776842164199,0.1320600545591417,0.46863500929728313,dio_mcm_episode_04dzz4p:field_carried:1994,data\scan_rand-dominanz-a_start2000_size2000.csv
RAND_DOMINANZ_A,4000,6000,uebergang_mit_randkontakt,3,2,2,1,84,1994,0.7426752176374025,0.5918813378677669,0.1272293970639651,0.6768824279025785,dio_mcm_episode_1bdmoa8:field_carried:1399; dio_mcm_episode_1q3us3f:field_carried:594; dio_mcm_episode_0d2gm2j:field_strained:1,data\scan_rand-dominanz-a_start4000_size2000.csv
RAND_KIPP,0,2000,uebergang_mit_randkontakt,3,2,2,1,145,1994,0.72723650814692,0.5686211676532658,0.13969254862103822,0.5677380371091622,dio_mcm_episode_1q3us3f:field_carried:1394; dio_mcm_episode_1bdmoa8:field_carried:599; dio_mcm_episode_15uimof:field_strained:1,data\scan_rand-kipp_start0_size2000.csv
RAND_KIPP,2000,4000,einzelrekopplung,1,1,1,0,96,1994,0.7292999833936992,0.5695776850632757,0.13206005306951757,0.46863500929728313,dio_mcm_episode_04dzz4p:field_carried:1994,data\scan_rand-kipp_start2000_size2000.csv
RAND_KIPP,4000,6000,uebergang_mit_randkontakt,3,2,2,1,84,1994,0.7426752167007433,0.5918813372262918,0.12722939852524018,0.6768824279025785,dio_mcm_episode_1bdmoa8:field_carried:1399; dio_mcm_episode_1q3us3f:field_carried:594; dio_mcm_episode_0d2gm2j:field_strained:1,data\scan_rand-kipp_start4000_size2000.csv
